| People and Society | Argentina |
| --- | --- |
| Population: | 44,694,198 (July 2018 est.) |
| Nationality: | noun: Argentine(s) |
| Nationality: | adjective: Argentine |
| Ethnic groups: | European (mostly Spanish and Italian descent) and mestizo (mixed European and Amerindian ancestry) 97.2%, Amerindian 2.4%, African 0.4% (2010 est.) |
| Languages: | Spanish (official), Italian, English, German, French, indigenous (Mapudungun, Quechua) |
| Religions: | nominally Roman Catholic 92% (less than 20% practicing), Protestant 2%, Jewish 2%, other 4% |
| Demographic profile: | Argentina's population continues to grow but at a slower rate because of its steadily declining birth rate. Argentina's fertility decline began earlier than in the rest of Latin America, occurring most rapidly between the early 20th century and the 1950s, and then becoming more gradual. Life expectancy has been improving, most notably among the young and the poor. While the population under age 15 is shrinking, the youth cohort - ages 15-24 - is the largest in Argentina's history and will continue to bolster the working-age population. If this large working-age population is well-educated and gainfully employed, Argentina is likely to experience an economic boost and possibly higher per capita savings and investment. Although literacy and primary school enrollment are nearly universal, grade repetition is problematic and secondary school completion is low. Both of these issues vary widely by region and socioeconomic group. |
| Demographic profile: | Argentina has been primarily a country of immigration for most of its history, welcoming European immigrants (often providing needed low-skilled labor) after its independence in the 19th century and attracting especially large numbers from Spain and Italy. More than 7 million European immigrants are estimated to have arrived in Argentina between 1880 and 1930, when it adopted a more restrictive immigration policy. European immigration also began to wane in the 1930s because of the global depression. The inflow rebounded temporarily following WWII and resumed its decline in the 1950s when Argentina's military dictators tightened immigration rules and European economies rebounded. Regional migration increased, however, supplying low-skilled workers escaping economic and political instability in their home countries. As of 2015, immigrants made up almost 5% of Argentina's population, the largest share in South America. Migration from neighboring countries accounted for approximately 80% of Argentina's immigrant population in 2015. |
| Demographic profile: | The first waves of highly skilled Argentine emigrant workers headed mainly to the United States and Spain in the 1960s and 1970s, driven by economic decline and repressive military dictatorships. The 2008 European economic crisis drove the return migration of some Argentinean and other Latin American nationals, as well as the immigration of Europeans to South America, where Argentina was a key recipient. In 2015, Argentina received the highest number of legal migrants in Latin America and the Caribbean. The majority of its migrant inflow came from Paraguay and Bolivia. |
| Age structure: | 0-14 years: 24.44% (male 5,629,345 /female 5,293,680) |
| Age structure: | 15-24 years: 15.2% (male 3,476,344 /female 3,317,151) |
| Age structure: | 25-54 years: 39.46% (male 8,808,591 /female 8,826,379) |
| Age structure: | 55-64 years: 9.12% (male 1,977,421 /female 2,096,665) |
| Age structure: | 65 years and over: 11.79% (male 2,216,487 /female 3,052,135) (2018 est.) |
| Dependency ratios: | total dependency ratio: 56.5 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 39.4 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 17.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 5.8 (2015 est.) |
| Median age: | total: 31.9 years (2018 est.) |
| Median age: | male: 30.7 years |
| Median age: | female: 33.1 years |
| Population growth rate: | 0.89% (2018 est.) |
| Birth rate: | 16.5 births/1,000 population (2018 est.) |
| Death rate: | 7.5 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.1 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | one-third of the population lives in Buenos Aires; pockets of agglomeration occur throughout the northern and central parts of the country; Patagonia to the south remains sparsely populated |
| Urbanization: | urban population: 92% of total population (2019) |
| Urbanization: | rate of urbanization: 1.07% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 15.057 million BUENOS AIRES (capital), 1.560 million Cordoba, 1.510 million Rosario, 1.153 million Mendoza, 971,000 San Miguel de Tucuman, 874,000 La Plata (2019) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2018 est.) |
