| People and Society | China |
| --- | --- |
| Population: | 1,384,688,986 (July 2018 est.) |
| Nationality: | noun: Chinese (singular and plural) |
| Nationality: | adjective: Chinese |
| Ethnic groups: | Han Chinese 91.6%, Zhuang 1.3%, other (includes Hui, Manchu, Uighur, Miao, Yi, Tujia, Tibetan, Mongol, Dong, Buyei, Yao, Bai, Korean, Hani, Li, Kazakh, Dai, and other nationalities) 7.1% (2010 est.) |
| Ethnic groups: | note: the Chinese Government officially recognizes 56 ethnic groups |
| Languages: | Standard Chinese or Mandarin (official; Putonghua, based on the Beijing dialect), Yue (Cantonese), Wu (Shanghainese), Minbei (Fuzhou), Minnan (Hokkien-Taiwanese), Xiang, Gan, Hakka dialects, minority languages (see Ethnic groups entry) |
| Languages: | note: Zhuang is official in Guangxi Zhuang, Yue is official in Guangdong, Mongolian is official in Nei Mongol, Uighur is official in Xinjiang Uygur, Kyrgyz is official in Xinjiang Uygur, and Tibetan is official in Xizang (Tibet) |
| Religions: | Buddhist 18.2%, Christian 5.1%, Muslim 1.8%, folk religion 21.9%, Hindu < 0.1%, Jewish < 0.1%, other 0.7% (includes Daoist (Taoist)), unaffiliated 52.2% (2010 est.) |
| Religions: | note: officially atheist |
| Age structure: | 0-14 years: 17.22% (male 128,270,371 /female 110,120,535) |
| Age structure: | 15-24 years: 12.32% (male 91,443,139 /female 79,181,726) |
| Age structure: | 25-54 years: 47.84% (male 338,189,015 /female 324,180,103) |
| Age structure: | 55-64 years: 11.35% (male 79,340,391 /female 77,857,806) |
| Age structure: | 65 years and over: 11.27% (male 74,277,631 /female 81,828,269) (2018 est.) |
| Dependency ratios: | total dependency ratio: 37.7 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 24.3 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 13.3 (2015 est.) |
| Dependency ratios: | potential support ratio: 7.5 (2015 est.) |
| Dependency ratios: | data do not include Hong Kong, Macau, and Taiwan |
| Median age: | total: 37.7 years (2018 est.) |
| Median age: | male: 36.8 years |
| Median age: | female: 38.8 years |
| Population growth rate: | 0.37% (2018 est.) |
| Birth rate: | 12.1 births/1,000 population (2018 est.) |
| Death rate: | 8 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.4 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | overwhelming majority of the population is found in the eastern half of the country; the west, with its vast mountainous and desert areas, remains sparsely populated; though ranked first in the world in total population, overall density is less than that of many other countries in Asia and Europe; high population density is found along the Yangtze and Yellow River valleys, the Xi Jiang River delta, the Sichuan Basin (around Chengdu), in and around Beijing, and the industrial area around Shenyang |
| Urbanization: | urban population: 60.3% of total population (2019) |
| Urbanization: | rate of urbanization: 2.42% annual rate of change (2015-20 est.) |
| Urbanization: | note: data do not include Hong Kong and Macau |
| Major urban areas - population: | 26.317 million Shanghai, 20.035 million BEIJING (capital), 15.354 million Chongqing, 12.968 million Guangzhou, 13.396 million Tianjin, 12.129 million Shenzhen (2019) |
| Sex ratio: | at birth: 1.13 male(s)/female |
| Sex ratio: | 0-14 years: 1.16 male(s)/female |
| Sex ratio: | 15-24 years: 1.15 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.91 male(s)/female |
| Sex ratio: | total population: 1.06 male(s)/female (2018 est.) |
| Maternal mortality rate: | 29 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 11.8 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 12.2 deaths/1,000 live births |
| Infant mortality rate: | female: 11.4 deaths/1,000 live births |
| Life expectancy at birth: | total population: 75.8 years (2018 est.) |
| Life expectancy at birth: | male: 73.7 years |
| Life expectancy at birth: | female: 78.1 years |
| Total fertility rate: | 1.6 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 84.5% (2017) |
| Drinking water source: | improved: urban: 97.5% of population |
| Drinking water source: | rural: 93% of population |
| Drinking water source: | total: 95.5% of population |
| Drinking water source: | unimproved: urban: 2.5% of population |
| Drinking water source: | rural: 7% of population |
| Drinking water source: | total: 4.5% of population (2015 est.) |
| Current Health Expenditure: | 5% (2016) |
| Physicians density: | 1.79 physicians/1,000 population (2015) |
| Hospital bed density: | 4.2 beds/1,000 population (2012) |
| Sanitation facility access: | improved: urban: 86.6% of population (2015 est.) |
| Sanitation facility access: | rural: 63.7% of population (2015 est.) |
| Sanitation facility access: | total: 76.5% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 13.4% of population (2015 est.) |
| Sanitation facility access: | rural: 36.3% of population (2015 est.) |
| Sanitation facility access: | total: 23.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: Japanese encephalitis (2016) |
| Major infectious diseases: | soil contact diseases: hantaviral hemorrhagic fever with renal syndrome (HFRS) (2016) |
| Obesity - adult prevalence rate: | 6.2% (2016) |
| Children under the age of 5 years underweight: | 2.4% (2013) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.4% |
| Literacy: | male: 98.2% |
| Literacy: | female: 94.5% (2015) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2015) |
| People - note: | in October 2015, the Chinese Government announced that it would change its rules to allow all couples to have two children, loosening a 1979 mandate that restricted many couples to one child; the new policy was implemented on 1 January 2016 to address Chinaâ€™s rapidly aging population and economic needs |
