| People and Society | China |
| --- | --- |
| Population: | 1,394,015,977 (July 2020 est.) |
| Nationality: | noun: Chinese (singular and plural) |
| Nationality: | adjective: Chinese |
| Ethnic groups: | Han Chinese 91.6%, Zhuang 1.3%, other (includes Hui, Manchu, Uighur, Miao, Yi, Tujia, Tibetan, Mongol, Dong, Buyei, Yao, Bai, Korean, Hani, Li, Kazakh, Dai, and other nationalities) 7.1% (2010 est.) |
| Ethnic groups: | note: the Chinese Government officially recognizes 56 ethnic groups |
| Languages: | Standard Chinese or Mandarin (official; Putonghua, based on the Beijing dialect), Yue (Cantonese), Wu (Shanghainese), Minbei (Fuzhou), Minnan (Hokkien-Taiwanese), Xiang, Gan, Hakka dialects, minority languages (see Ethnic groups entry) |
| Languages: | note: Zhuang is official in Guangxi Zhuang, Yue is official in Guangdong, Mongolian is official in Nei Mongol, Uighur is official in Xinjiang Uygur, Kyrgyz is official in Xinjiang Uygur, and Tibetan is official in Xizang (Tibet) |
| Religions: | Buddhist 18.2%, Christian 5.1%, Muslim 1.8%, folk religion 21.9%, Hindu < 0.1%, Jewish < 0.1%, other 0.7% (includes Daoist (Taoist)), unaffiliated 52.2% (2010 est.) |
| Religions: | note: officially atheist |
| Age structure: | 0-14 years: 17.29% (male 129,296,339/female 111,782,427) |
| Age structure: | 15-24 years: 11.48% (male 86,129,841/female 73,876,148) |
| Age structure: | 25-54 years: 46.81% (male 333,789,731/female 318,711,557) |
| Age structure: | 55-64 years: 12.08% (male 84,827,645/female 83,557,507) |
| Age structure: | 65 years and over: 12.34% (male 81,586,490/female 90,458,292) (2020 est.) |
| Dependency ratios: | total dependency ratio: 42.2 |
| Dependency ratios: | youth dependency ratio: 25.2 |
| Dependency ratios: | elderly dependency ratio: 17 |
| Dependency ratios: | potential support ratio: 5.9 (2020 est.) |
| Dependency ratios: | data do not include Hong Kong, Macau, and Taiwan |
| Median age: | total: 38.4 years |
| Median age: | male: 37.5 years |
| Median age: | female: 39.4 years (2020 est.) |
| Population growth rate: | 0.32% (2020 est.) |
| Birth rate: | 11.6 births/1,000 population (2020 est.) |
| Death rate: | 8.2 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.4 migrant(s)/1,000 population (2020 est.) |
