| People and Society | ARMENIA |
| --- | --- |
| Population: | 3,045,191 (July 2017 est.) |
| Nationality: | noun: Armenian(s) |
| Nationality: | adjective: Armenian |
| Ethnic groups: | Armenian 98.1%, Yezidi (Kurd) 1.1%, other 0.7% (2011 est.) |
| Languages: | Armenian (official) 97.9%, Kurdish (spoken by Yezidi minority) 1%, other 1% (2011 est.) |
| Religions: | Armenian Apostolic 92.6%, Evangelical 1%, other 2.4%, none 1.1%, unspecified 2.9% (2011 est.) |
| Age structure: | 0-14 years: 18.94% (male 306,322/female 270,388) |
| Age structure: | 15-24 years: 12.89% (male 203,358/female 189,092) |
| Age structure: | 25-54 years: 43.43% (male 640,881/female 681,784) |
| Age structure: | 55-64 years: 13.41% (male 187,178/female 221,071) |
| Age structure: | 65 years and over: 11.33% (male 138,458/female 206,659) (2017 est.) |
| Dependency ratios: | total dependency ratio: 44.4 |
| Dependency ratios: | youth dependency ratio: 28.7 |
| Dependency ratios: | elderly dependency ratio: 15.8 |
| Dependency ratios: | potential support ratio: 6.3 (2015 est.) |
| Median age: | total: 35.1 years |
| Median age: | male: 33.3 years |
| Median age: | female: 36.9 years (2017 est.) |
| Population growth rate: | -0.21% (2017 est.) |
| Birth rate: | 12.9 births/1,000 population (2017 est.) |
| Death rate: | 9.4 deaths/1,000 population (2017 est.) |
| Net migration rate: | -5.7 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of the population is located in the northern half of the country; the capital of Yerevan is home to more than five times as many people as Gyumri, the second largest city in the country |
| Urbanization: | urban population: 62.5% of total population (2017) |
| Urbanization: | rate of urbanization: -0.1% annual rate of change (2015-20 est.) |
| Major urban areas - population: | YEREVAN (capital) 1,044 (2015) |
| Sex ratio: | at birth: 1.13 male(s)/female |
| Sex ratio: | 0-14 years: 1.14 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.84 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 24.4 years (2015/16 est.) |
| Maternal mortality ratio: | 25 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 12.7 deaths/1,000 live births |
| Infant mortality rate: | male: 14.1 deaths/1,000 live births |
| Infant mortality rate: | female: 11.1 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 74.9 years |
| Life expectancy at birth: | male: 71.6 years |
| Life expectancy at birth: | female: 78.5 years (2017 est.) |
| Total fertility rate: | 1.64 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 57.1% (2015/16) |
| Health expenditures: | 4.5% of GDP (2014) |
| Physicians density: | 2.8 physicians/1,000 population (2014) |
| Hospital bed density: | 3.9 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.2% of population |
| Sanitation facility access: | rural: 78.2% of population |
| Sanitation facility access: | total: 89.5% of population |
| unimproved: | urban: 3.8% of population |
| unimproved: | rural: 21.8% of population |
| unimproved: | total: 10.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3,300 (2016 est.) |
| HIV/AIDS - deaths: | <200 (2016 est.) |
| Obesity - adult prevalence rate: | 20.2% (2016) |
| Children under the age of 5 years underweight: | 2.6% (2016) |
| Education expenditures: | 2.8% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2015) |
| Unemployment, youth ages 15-24: | total: 32.5% |
| Unemployment, youth ages 15-24: | male: 28.6% |
| Unemployment, youth ages 15-24: | female: 37.2% (2013 est.) |
