| People and Society | Armenia |
| --- | --- |
| Population: | 3,021,324 (July 2020 est.) |
| Nationality: | noun: Armenian(s) |
| Nationality: | adjective: Armenian |
| Ethnic groups: | Armenian 98.1%, Yezidi (Kurd) 1.2%, other 0.7% (2011 est.) |
| Languages: | Armenian (official) 97.9%, Kurdish (spoken by Yezidi minority) 1%, other 1% (2011 est.) |
| Languages: | note: Russian is widely spoken |
| Religions: | Armenian Apostolic 92.6%, Evangelical 1%, other 2.4%, none 1.1%, unspecified 2.9% (2011 est.) |
| Age structure: | 0-14 years: 18.64% (male 297,320/female 265,969) |
| Age structure: | 15-24 years: 11.63% (male 184,258/female 167,197) |
| Age structure: | 25-54 years: 43.04% (male 639,101/female 661,421) |
| Age structure: | 55-64 years: 14.08% (male 195,754/female 229,580) |
| Age structure: | 65 years and over: 12.6% (male 154,117/female 226,607) (2020 est.) |
| Dependency ratios: | total dependency ratio: 48.4 |
| Dependency ratios: | youth dependency ratio: 30.9 |
| Dependency ratios: | elderly dependency ratio: 17.5 |
| Dependency ratios: | potential support ratio: 5.7 (2020 est.) |
| Median age: | total: 36.6 years |
| Median age: | male: 35.1 years |
| Median age: | female: 38.3 years (2020 est.) |
| Population growth rate: | -0.3% (2020 est.) |
| Birth rate: | 11.9 births/1,000 population (2020 est.) |
| Death rate: | 9.5 deaths/1,000 population (2020 est.) |
| Net migration rate: | -5.5 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | most of the population is located in the northern half of the country; the capital of Yerevan is home to more than five times as many people as Gyumri, the second largest city in the country |
| Urbanization: | urban population: 63.3% of total population (2020) |
| Urbanization: | rate of urbanization: 0.22% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1.086 million YEREVAN (capital) (2020) |
| Sex ratio: | at birth: 1.1 male(s)/female |
| Sex ratio: | 0-14 years: 1.12 male(s)/female |
| Sex ratio: | 15-24 years: 1.1 male(s)/female |
| Sex ratio: | 25-54 years: 0.97 male(s)/female |
| Sex ratio: | 55-64 years: 0.85 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 24.8 years (2017 est.) |
| Maternal mortality rate: | 26 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 11.5 deaths/1,000 live births |
| Infant mortality rate: | male: 12.9 deaths/1,000 live births |
| Infant mortality rate: | female: 10 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 75.6 years |
| Life expectancy at birth: | male: 72.3 years |
| Life expectancy at birth: | female: 79.2 years (2020 est.) |
| Total fertility rate: | 1.65 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 57.1% (2015/16) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 10.4% (2017) |
| Physicians density: | 4.4 physicians/1,000 population (2017) |
| Hospital bed density: | 4.2 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 84.5% of population |
| Sanitation facility access: | total: 93.6% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 15.5% of population |
| Sanitation facility access: | total: 6.4% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3,500 (2019 est.) |
| HIV/AIDS - deaths: | <100 (2019 est.) |
| Obesity - adult prevalence rate: | 20.2% (2016) |
| Children under the age of 5 years underweight: | 2.6% (2016) |
| Education expenditures: | 2.7% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.7% (2017) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2019) |
| Unemployment, youth ages 15-24: | total: 36.3% |
| Unemployment, youth ages 15-24: | male: 29.5% |
| Unemployment, youth ages 15-24: | female: 45.7% (2016 est.) |
