| People and Society | Burundi |
| --- | --- |
| Nationality: | noun: Burundian(s) |
| Nationality: | adjective: Burundian |
| Ethnic groups: | Hutu (Bantu) 85%, Tutsi (Hamitic) 14%, Twa (Pygmy) 1%, Europeans 3,000, South Asians 2,000 |
| Languages: | Kirundi (official), French (official), Swahili (along Lake Tanganyika and in the Bujumbura area) |
| Religions: | Christian 67% (Roman Catholic 62%, Protestant 5%), indigenous beliefs 23%, Muslim 10% |
| Population: | 10,216,190 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 46% (male 2,360,214/female 2,335,541) |
| Age structure: | 15-64 years: 51.6% (male 2,598,011/female 2,669,376) |
| Age structure: | 65 years and over: 2.5% (male 101,207/female 151,841) (2011 est.) |
| Median age: | total: 16.9 years |
| Median age: | male: 16.6 years |
| Median age: | female: 17.2 years (2011 est.) |
| Population growth rate: | 3.462% (2011 est.) |
| Birth rate: | 41.01 births/1,000 population (2011 est.) |
| Death rate: | 9.61 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 3.22 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 11% of total population (2010) |
| Urbanization: | rate of urbanization: 4.9% annual rate of change (2010-15 est.) |
| Major cities - population: | BUJUMBURA (capital) 455,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2011 est.) |
| Maternal mortality rate: | 970 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 61.82 deaths/1,000 live births |
| Infant mortality rate: | male: 66.4 deaths/1,000 live births |
| Infant mortality rate: | female: 57.1 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 58.78 years |
| Life expectancy at birth: | male: 57.09 years |
| Life expectancy at birth: | female: 60.52 years (2011 est.) |
| Total fertility rate: | 6.16 children born/woman (2011 est.) |
| Health expenditures: | 13.1% of GDP (2009) |
| Physicians density: | 0.03 physicians/1,000 population (2004) |
| Hospital bed density: | 0.73 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 83% of population |
| Drinking water source: | rural: 71% of population |
| Drinking water source: | total: 72% of population |
| unimproved: | urban: 17% of population |
| unimproved: | rural: 29% of population |
| unimproved: | total: 28% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 49% of population |
| Sanitation facility access: | rural: 46% of population |
| Sanitation facility access: | total: 46% of population |
| unimproved: | urban: 51% of population |
| unimproved: | rural: 54% of population |
| unimproved: | total: 54% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 3.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 180,000 (2009 est.) |
| HIV/AIDS - deaths: | 15,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 38.9% (2000) |
| Education expenditures: | 8.3% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 59.3% |
| Literacy: | male: 67.3% |
| Literacy: | female: 52.2% (2000 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2009) |
