| People and Society | BURUNDI |
| --- | --- |
| Population: | 11,466,756 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.) |
| Nationality: | noun: Burundian(s) |
| Nationality: | adjective: Burundian |
| Ethnic groups: | Hutu (Bantu) 85%, Tutsi (Hamitic) 14%, Twa (Pygmy) 1%, Europeans 3,000, South Asians 2,000 |
| Languages: | Kirundi 29.7% (official), Kirundi and other language 9.1%, French (official) and French and other language 0.3%, Swahili and Swahili and other language 0.2% (along Lake Tanganyika and in the Bujumbura area), English (official) and English and other language 0.06%, more than 2 languages 3.7%, unspecified 56.9% |
| Languages: | note: data represent language read and written by people 10 years of age or older; spoken Kirundi is widespread (2008 est.) |
| Religions: | Roman Catholic 62.1%, Protestant 23.9% (includes Adventist 2.3% and other Protestant 21.6%), Muslim 2.5%, other 3.6%, unspecified 7.9% (2008 est.) |
| Demographic profile: | Burundi is a densely populated country with a high population growth rate, factors that combined with land scarcity and poverty place a large share of its population at risk of food insecurity. About 90% of the population relies on subsistence agriculture. Subdivision of land to sons, and redistribution to returning refugees, results in smaller, overworked, and less productive plots. Food shortages, poverty, and a lack of clean water contribute to a 60% chronic malnutrition rate among children. A lack of reproductive health services has prevented a significant reduction in Burundi’s maternal mortality and fertility rates, which are both among the world’s highest. With two-thirds of its population under the age of 25 and a birth rate of about 6 children per woman, Burundi’s population will continue to expand rapidly for decades to come, putting additional strain on a poor country. |
| Demographic profile: | Historically, migration flows into and out of Burundi have consisted overwhelmingly of refugees from violent conflicts. In the last decade, more than a half million Burundian refugees returned home from neighboring countries, mainly Tanzania. Reintegrating the returnees has been problematic due to their prolonged time in exile, land scarcity, poor infrastructure, poverty, and unemployment. Repatriates and existing residents (including internally displaced persons) compete for limited land and other resources. To further complicate matters, international aid organizations reduced their assistance because they no longer classified Burundi as a post-conflict country. Conditions have deteriorated since renewed violence erupted in April 2015, causing another outpouring of refugees. In addition to refugee out-migration, Burundi has hosted thousands of refugees from neighboring countries, mostly from the Democratic Republic of the Congo and lesser numbers from Rwanda. |
| Age structure: | 0-14 years: 45.57% (male 2,628,767/female 2,596,719) |
| Age structure: | 15-24 years: 19.15% (male 1,095,213/female 1,100,314) |
| Age structure: | 25-54 years: 28.74% (male 1,643,319/female 1,651,679) |
| Age structure: | 55-64 years: 3.92% (male 212,074/female 237,324) |
| Age structure: | 65 years and over: 2.63% (male 129,482/female 171,865) (2017 est.) |
| Dependency ratios: | total dependency ratio: 89.6 |
| Dependency ratios: | youth dependency ratio: 84.8 |
| Dependency ratios: | elderly dependency ratio: 4.7 |
| Dependency ratios: | potential support ratio: 21.1 (2015 est.) |
| Median age: | total: 17 years |
| Median age: | male: 16.8 years |
| Median age: | female: 17.3 years (2017 est.) |
| Population growth rate: | 3.25% (2017 est.) |
| Birth rate: | 41.3 births/1,000 population (2017 est.) |
| Death rate: | 8.8 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | one of Africa's most densely populated countries; concentrations tend to be in the north and along the northern shore of Lake Tanganyika in the west; most people live on farms near areas of fertile volcanic soil |
| Urbanization: | urban population: 12.7% of total population (2017) |
| Urbanization: | rate of urbanization: 5.48% annual rate of change (2015-20 est.) |
| Major urban areas - population: | BUJUMBURA (capital) 751,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 21.3 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2010 est.) |
| Maternal mortality rate: | 712 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 58.8 deaths/1,000 live births |
| Infant mortality rate: | male: 65.3 deaths/1,000 live births |
| Infant mortality rate: | female: 52.2 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 60.9 years |
| Life expectancy at birth: | male: 59.2 years |
| Life expectancy at birth: | female: 62.7 years (2017 est.) |
| Total fertility rate: | 5.99 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 31.7% (2012) |
| Health expenditures: | 7.5% of GDP (2014) |
| Hospital bed density: | 1.9 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 91.1% of population |
| Drinking water source: | rural: 73.8% of population |
| Drinking water source: | total: 75.9% of population |
| unimproved: | urban: 8.9% of population |
| unimproved: | rural: 26.2% of population |
| unimproved: | total: 24.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 43.8% of population |
