| People and Society | SURINAME |
| --- | --- |
| Population: | 591,919 (July 2017 est.) |
| Nationality: | noun: Surinamer(s) |
| Nationality: | adjective: Surinamese |
| Ethnic groups: | Hindustani (also known locally as "East Indians"; their ancestors emigrated from northern India in the latter part of the 19th century) 27.4%, "Maroon" (their African ancestors were brought to the country in the 17th and 18th centuries as slaves and escaped to the interior) 21.7%, Creole (mixed white and black) 15.7%, Javanese 13.7%, mixed 13.4%, other 7.6%, unspecified 0.6% (2012 est.) |
| Languages: | Dutch (official), English (widely spoken), Sranang Tongo (Surinamese, sometimes called Taki-Taki, is the native language of Creoles and much of the younger population and is lingua franca among others), Caribbean Hindustani (a dialect of Hindi), Javanese |
| Religions: | Protestant 23.6% (includes Evangelical 11.2%, Moravian 11.2%, Reformed .7%, Lutheran .5%), Hindu 22.3%, Roman Catholic 21.6%, Muslim 13.8%, other Christian 3.2%, Winti 1.8%, Jehovah's Witness 1.2%, other 1.7%, none 7.5%, unspecified 3.2% (2012 est.) |
| Demographic profile: | Suriname is a pluralistic society consisting primarily of Creoles (persons of mixed African and European heritage), the descendants of escaped African slaves known as Maroons, and the descendants of Indian and Javanese contract workers. The country overall is in full, post-industrial demographic transition, with a low fertility rate, a moderate mortality rate, and a rising life expectancy. However, the Maroon population of the rural interior lags behind because of lower educational attainment and contraceptive use, higher malnutrition, and significantly less access to electricity, potable water, sanitation, infrastructure, and health care. |
| Demographic profile: | Some 350,000 people of Surinamese descent live in the Netherlands, Suriname's former colonial ruler. In the 19th century, better-educated, largely Dutch-speaking Surinamese began emigrating to the Netherlands. World War II interrupted the outflow, but it resumed after the war when Dutch labor demands grew - emigrants included all segments of the Creole population. Suriname still is strongly influenced by the Netherlands because most Surinamese have relatives living there and it is the largest supplier of development aid. Other emigration destinations include French Guiana and the United States. Suriname's immigration rules are flexible, and the country is easy to enter illegally because rainforests obscure its borders. Since the mid-1980s, Brazilians have settled in Suriname's capital, Paramaribo, or eastern Suriname, where they mine gold. This immigration is likely to slowly re-orient Suriname toward its Latin American roots. |
| Age structure: | 0-14 years: 24.62% (male 74,247/female 71,456) |
| Age structure: | 15-24 years: 17.44% (male 52,599/female 50,618) |
| Age structure: | 25-54 years: 44.4% (male 133,835/female 128,980) |
| Age structure: | 55-64 years: 7.54% (male 21,940/female 22,697) |
| Age structure: | 65 years and over: 6.01% (male 15,394/female 20,153) (2017 est.) |
| Dependency ratios: | total dependency ratio: 50.7 |
| Dependency ratios: | youth dependency ratio: 40.6 |
| Dependency ratios: | elderly dependency ratio: 10.1 |
| Dependency ratios: | potential support ratio: 9.9 (2015 est.) |
| Median age: | total: 29.8 years |
| Median age: | male: 29.4 years |
| Median age: | female: 30.2 years (2017 est.) |
| Population growth rate: | 1.02% (2017 est.) |
| Birth rate: | 15.8 births/1,000 population (2017 est.) |
| Death rate: | 6.1 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0.6 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population concentrated along the nothern coastal strip; the remainder of the country is sparsely populated |
| Urbanization: | urban population: 66% of total population (2017) |
| Urbanization: | rate of urbanization: 0.75% annual rate of change (2015-20 est.) |
| Major urban areas - population: | PARAMARIBO (capital) 234,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Maternal mortality rate: | 155 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 24.5 deaths/1,000 live births |
| Infant mortality rate: | male: 28.5 deaths/1,000 live births |
| Infant mortality rate: | female: 20.2 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 72.5 years |
| Life expectancy at birth: | male: 70.1 years |
| Life expectancy at birth: | female: 75.1 years (2017 est.) |
| Total fertility rate: | 1.93 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 47.6% (2010) |
| Health expenditures: | 5.7% of GDP (2014) |
| Hospital bed density: | 3.1 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.1% of population |
| Drinking water source: | rural: 88.4% of population |
| Drinking water source: | total: 94.8% of population |
| unimproved: | urban: 1.9% of population |
| unimproved: | rural: 11.6% of population |
| unimproved: | total: 5.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
