| People and Society | PANAMA |
| --- | --- |
| Population: | 3,753,142 (July 2017 est.) |
| Nationality: | noun: Panamanian(s) |
| Nationality: | adjective: Panamanian |
| Ethnic groups: | mestizo (mixed Amerindian and white) 65%, Native American 12.3% (Ngabe 7.6%, Kuna 2.4%, Embera 0.9%, Bugle 0.8%, other 0.4%, unspecified 0.2%), black or African descent 9.2%, mulatto 6.8%, white 6.7% (2010 est.) |
| Languages: | Spanish (official), indigenous languages (including Ngabere (or Guaymi), Buglere, Kuna, Embera, Wounaan, Naso (or Teribe), and Bri Bri), Panamanian English Creole (similar to Jamaican English Creole; a mixture of English and Spanish with elements of Ngabere; also known as Guari Guari and Colon Creole), English, Chinese (Yue and Hakka), Arabic, French Creole, other (Yiddish, Hebrew, Korean, Japanese) |
| Languages: | note: many Panamanians are bilingual |
| Religions: | Roman Catholic 85%, Protestant 15% |
| Demographic profile: | Panama is a country of demographic and economic contrasts. It is in the midst of a demographic transition, characterized by steadily declining rates of fertility, mortality, and population growth, but disparities persist based on wealth, geography, and ethnicity. Panama has one of the fastest growing economies in Latin America and dedicates substantial funding to social programs, yet poverty and inequality remain prevalent. The indigenous population accounts for a growing share of Panama's poor and extreme poor, while the non-indigenous rural poor have been more successful at rising out of poverty through rural-to-urban labor migration. The government's large expenditures on untargeted, indirect subsidies for water, electricity, and fuel have been ineffective, but its conditional cash transfer program has shown some promise in helping to decrease extreme poverty among the indigenous population. |
| Demographic profile: | Panama has expanded access to education and clean water, but the availability of sanitation and, to a lesser extent, electricity remains poor. The increase in secondary schooling - led by female enrollment - is spreading to rural and indigenous areas, which probably will help to alleviate poverty if educational quality and the availability of skilled jobs improve. Inadequate access to sanitation contributes to a high incidence of diarrhea in Panama's children, which is one of the main causes of Panama's elevated chronic malnutrition rate, especially among indigenous communities. |
| Age structure: | 0-14 years: 26.4% (male 505,711/female 484,980) |
| Age structure: | 15-24 years: 16.99% (male 324,897/female 312,729) |
| Age structure: | 25-54 years: 40.35% (male 766,747/female 747,472) |
| Age structure: | 55-64 years: 7.91% (male 147,069/female 149,706) |
| Age structure: | 65 years and over: 8.36% (male 144,086/female 169,745) (2017 est.) |
| Dependency ratios: | total dependency ratio: 54.8 |
| Dependency ratios: | youth dependency ratio: 43.1 |
| Dependency ratios: | elderly dependency ratio: 11.7 |
| Dependency ratios: | potential support ratio: 8.5 (2015 est.) |
| Median age: | total: 29.2 years |
| Median age: | male: 28.8 years |
| Median age: | female: 29.6 years (2017 est.) |
| Population growth rate: | 1.27% (2017 est.) |
| Birth rate: | 17.9 births/1,000 population (2017 est.) |
| Death rate: | 4.9 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population is concentrated towards the center of the country, particularly around the Canal, but a sizeable segment of the populace also lives in the far west around David; the eastern third of the country is sparsely inhabited |
| Urbanization: | urban population: 67.2% of total population (2017) |
| Urbanization: | rate of urbanization: 1.94% annual rate of change (2015-20 est.) |
| Major urban areas - population: | PANAMA CITY (capital) 1.673 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
