| People and Society | Eritrea |
| --- | --- |
| Nationality: | noun: Eritrean(s) |
| Nationality: | adjective: Eritrean |
| Ethnic groups: | nine recognized ethnic groups: Tigrinya 55%, Tigre 30%, Saho 4%, Kunama 2%, Rashaida 2%, Bilen 2%, other (Afar, Beni Amir, Nera) 5% (2010 est.) |
| Languages: | Tigrinya (official), Arabic (official), English (official), Tigre, Kunama, Afar, other Cushitic languages |
| Religions: | Muslim, Coptic Christian, Roman Catholic, Protestant |
| Population: | 6,233,682 (July 2013 est.) |
| Age structure: | 0-14 years: 41.3% (male 1,292,544/female 1,279,523) |
| Age structure: | 15-24 years: 20% (male 623,797/female 625,527) |
| Age structure: | 25-54 years: 31.2% (male 963,635/female 982,786) |
| Age structure: | 55-64 years: 3.8% (male 99,755/female 136,557) |
| Age structure: | 65 years and over: 3.7% (male 100,332/female 129,226) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 83.2 % |
| population pyramid: | youth dependency ratio: 79.1 % |
| population pyramid: | elderly dependency ratio: 4.1 % |
| population pyramid: | potential support ratio: 24.1 (2013) |
| Median age: | total: 18.9 years |
| Median age: | male: 18.6 years |
| Median age: | female: 19.3 years (2013 est.) |
| Population growth rate: | 2.36% (2013 est.) |
| Birth rate: | 31.39 births/1,000 population (2013 est.) |
| Death rate: | 7.78 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 21.3% of total population (2011) |
| Urbanization: | rate of urbanization: 5.01% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ASMARA (capital) 649,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.73 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 20.6 (2002 est.) |
| Maternal mortality rate: | 240 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 39.38 deaths/1,000 live births |
| Infant mortality rate: | male: 44.63 deaths/1,000 live births |
| Infant mortality rate: | female: 33.97 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 63.19 years |
| Life expectancy at birth: | male: 61.04 years |
| Life expectancy at birth: | female: 65.4 years (2013 est.) |
| Total fertility rate: | 4.25 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 8% (2002) |
| Health expenditures: | 2.6% of GDP (2011) |
| Physicians density: | 0.05 physicians/1,000 population (2004) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 74% of population |
| Drinking water source: | rural: 57% of population |
| Drinking water source: | total: 61% of population |
| unimproved: | urban: 26% of population |
| unimproved: | rural: 43% of population |
| unimproved: | total: 39% of population (2008 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 52% of population |
| Sanitation facility access: | rural: 4% of population |
| Sanitation facility access: | total: 14% of population |
| unimproved: | urban: 48% of population |
| unimproved: | rural: 96% of population |
| unimproved: | total: 86% of population (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 25,000 (2009 est.) |
| HIV/AIDS - deaths: | 1,700 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever (2013) |
| Obesity - adult prevalence rate: | 1.5% (2008) |
| Children under the age of 5 years underweight: | 34.5% (2002) |
| Education expenditures: | 2.1% of GDP (2006) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 68.9% |
| Literacy: | male: 79.5% |
| Literacy: | female: 59% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 5 years |
| School life expectancy (primary to tertiary education): | male: 5 years |
| School life expectancy (primary to tertiary education): | female: 4 years (2010) |
