| People and Society | Afghanistan |
| --- | --- |
| Population: | 34,940,837 (July 2018 est.) |
| Nationality: | noun: Afghan(s) |
| Nationality: | adjective: Afghan |
| Ethnic groups: | Pashtun, Tajik, Hazara, Uzbek, other (includes smaller numbers of Baloch, Turkmen, Nuristani, Pamiri, Arab, Gujar, Brahui, Qizilbash, Aimaq, Pashai, and Kyrghyz) (2015) |
| Ethnic groups: | note: current statistical data on the sensitive subject of ethnicity in Afghanistan are not available, and ethnicity data from small samples of respondents to opinion polls are not a reliable alternative; Afghanistan's 2004 constitution recognizes 14 ethnic groups: Pashtun, Tajik, Hazara, Uzbek, Baloch, Turkmen, Nuristani, Pamiri, Arab, Gujar, Brahui, Qizilbash, Aimaq, and Pashai |
| Languages: | Afghan Persian or Dari (official) 80% (Dari functions as the lingua franca), Pashto (official) 47%, Uzbek 11%, English 5%, Turkmen 2%, Urdu 2%, Pashayi 1%, Nuristani 1%, Arabic 1%, Balochi, Shughni, Pamiri, Hindi, Russian, German, French (2017 est.) |
| Languages: | note: data represent most widely spoken languages; shares sum to more than 100% because there is much bilingualism in the country and because respondents were allowed to select more than one language |
| Languages: | note: the Turkic languages Uzbek and Turkmen, as well as Balochi, Pashayi, Nuristani, and Pamiri are the third official languages in areas where the majority speaks them |
| Religions: | Muslim 99.7% (Sunni 84.7 - 89.7%, Shia 10 - 15%), other 0.3% (2009 est.) |
| Age structure: | 0-14 years: 40.92% (male 7,263,716 /female 7,033,427) |
| Age structure: | 15-24 years: 21.85% (male 3,883,693 /female 3,749,760) |
| Age structure: | 25-54 years: 30.68% (male 5,456,305 /female 5,263,332) |
| Age structure: | 55-64 years: 3.95% (male 679,766 /female 699,308) |
| Age structure: | 65 years and over: 2.61% (male 420,445 /female 491,085) (2018 est.) |
| Dependency ratios: | total dependency ratio: 88.8 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 84.1 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 4.7 (2015 est.) |
| Dependency ratios: | potential support ratio: 21.2 (2015 est.) |
| Median age: | total: 19 years |
| Median age: | male: 19 years |
| Median age: | female: 19.1 years (2018 est.) |
| Population growth rate: | 2.37% (2018 est.) |
