| People and Society | VIRGIN ISLANDS |
| --- | --- |
| Nationality: | noun: Virgin Islander(s) (US citizens) |
| Nationality: | adjective: Virgin Islander |
| Ethnic groups: | black 76%, white 15.6%, Asian 1.4%, other 4.9%, mixed 2.1% |
| Ethnic groups: | note: 17.4% self-identify as latino (2010 est.) |
| Languages: | English 71.6%, Spanish or Spanish Creole 17.2%, French or French Creole 8.6%, other 2.5% (2010 est.) |
| Religions: | Protestant 59% (Baptist 42%, Episcopalian 17%), Roman Catholic 34%, other 7% |
| Population: | 103,574 (July 2015 est.) |
| Age structure: | 0-14 years: 17.47% (male 9,124/female 8,966) |
| Age structure: | 15-24 years: 9.87% (male 4,642/female 5,576) |
| Age structure: | 25-54 years: 38.71% (male 18,103/female 21,994) |
| Age structure: | 55-64 years: 14.49% (male 7,194/female 7,819) |
| Age structure: | 65 years and over: 19.46% (male 9,110/female 11,046) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 61.2% |
| population pyramid: | youth dependency ratio: 32.8% |
| population pyramid: | elderly dependency ratio: 28.4% |
| population pyramid: | potential support ratio: 3.5% (2015 est.) |
| Median age: | total: 44.9 years |
| Median age: | male: 45.2 years |
| Median age: | female: 44.7 years (2015 est.) |
| Population growth rate: | -0.59% (2015 est.) |
| Birth rate: | 10.31 births/1,000 population (2015 est.) |
| Death rate: | 8.54 deaths/1,000 population (2015 est.) |
| Net migration rate: | -7.67 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 95.3% of total population (2015) |
| Urbanization: | rate of urbanization: 0.25% annual rate of change (2010-15 est.) |
| Major urban areas - population: | CHARLOTTE AMALIE (capital) 52,000 (2014) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 0.83 male(s)/female |
| Sex ratio: | 25-54 years: 0.82 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 0.87 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 6.64 deaths/1,000 live births |
| Infant mortality rate: | male: 7.35 deaths/1,000 live births |
| Infant mortality rate: | female: 5.89 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 79.89 years |
| Life expectancy at birth: | male: 76.84 years |
| Life expectancy at birth: | female: 83.11 years (2015 est.) |
| Total fertility rate: | 1.74 children born/woman (2015 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.4% of population |
| Sanitation facility access: | rural: 96.4% of population |
| Sanitation facility access: | total: 96.4% of population |
| unimproved: | urban: 3.6% of population |
| unimproved: | rural: 3.6% of population |
| unimproved: | total: 3.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
