CIA - The World Factbook -- United States Pacific Island Wildlife Refuges

| Geography | United States Pacific Island Wildlife Refuges |
| --- | --- |
| Location: | Oceania |
| | Baker Island: atoll in the North Pacific Ocean 3,390 km southwest of Honolulu, about halfway between Hawaii and Australia; |
| | Howland Island: island in the North Pacific Ocean 3,360 km southwest of Honolulu, about halfway between Hawaii and Australia; |
| | Jarvis Island: island in the South Pacific Ocean 2,415 km south of Honolulu, about halfway between Hawaii and Cook Islands; |
| | Johnston Atoll: atoll in the North Pacific Ocean 1,330 km southwest of Honolulu, about one-third of the way from Hawaii to the Marshall Islands; |
| | Kingman Reef: reef in the North Pacific Ocean 1,720 km south of Honolulu, about halfway between Hawaii and American Samoa; |
| | Midway Islands: atoll in the North Pacific Ocean 2,335 km northwest of Honolulu near the end of the Hawaiian Archipelago, about one-third of the way from Honolulu to Tokyo; |
| | Palmyra Atoll: atoll in the North Pacific Ocean 1,780 km south of Honolulu, about halfway between Hawaii and American Samoa |
| Geographic coordinates: | Baker Island: 0 13 N, 176 28 W; |
| | Howland Island: 0 48 N, 176 38 W; |
| | Jarvis Island: 0 23 S, 160 01 W; |
| | Johnston Atoll: 16 45 N, 169 31 W; |
| | Kingman Reef: 6 23 N, 162 25 W; |
| | Midway Islands: 28 12 N, 177 22 W; |
| | Palmyra Atoll: 5 53 N, 162 05 W |
| Map references: | Oceania |
| Area: | land: 6,959.41 sq km (emergent land - 22.41 sq km; submerged - 6,937 sq km) |
| | Baker Island: total - 129.1 sq km; emergent land - 2.1 sq km; submerged - 127 sq km |
| | Howland Island: total - 138.6 sq km; emergent land - 2.6 sq km; submerged - 136 sq km |
| | Jarvis Island: total - 152 sq km; emergent land - 5 sq km; submerged - 147 sq km |
| | Johnston Atoll: total - 276.6 sq km; emergent land - 2.6 sq km; submerged - 274 sq km |
| | Kingman Reef: total - 1,958.01 sq km; emergent land - 0.01 sq km; submerged - 1,958 sq km |
| | Midway Islands: total - 2,355.2 sq km; emergent land - 6.2 sq km; submerged - 2,349 sq km |
| | Palmyra Atoll: total - 1,949.9 sq km; emergent land - 3.9 sq km; submerged - 1,946 sq km |
| Area - comparative: | Baker Island: about 2.5 times the size of the National Mall in Washington, DC; |
| | Howland Island: about three times the size of the National Mall in Washington, DC; |
| | Jarvis Island: about eight times the size of the National Mall in Washington, DC; |
| | Johnston Atoll: about 4.5 times the size of the National Mall in Washington, DC; |
| | Kingman Reef: a little more than 1.5 times the size of the National Mall in Washington, DC; |
| | Midway Islands: about nine times the size of the National Mall in Washington, DC; |
| | Palmyra Atoll: about 20 times the size of the National Mall in Washington, DC |
| Land boundaries: | 0 km |
| Coastline: | Baker Island: 4.8 km |
| | Howland Island: 6.4 km |
| | Jarvis Island: 8 km |
| | Johnston Atoll: 34 km |
| | Kingman Reef: 3 km |
| | Midway Islands: 15 km |
| | Palmyra Atoll: 14.5 km |
| Maritime claims: | territorial sea: 12 nm |
| | exclusive economic zone: 200 nm |
| Climate: | Baker, Howland, and Jarvis Islands: equatorial; scant rainfall, constant wind, burning sun; |
| | Johnston Atoll and Kingman Reef: tropical, but generally dry; consistent northeast trade winds with little seasonal temperature variation; |
| | Midway Islands: subtropical with cool, moist winters (December to February) and warm, dry summers (May to October); moderated by prevailing easterly winds; most of the 107 cm of annual rainfall occurs during the winter; |
| | Palmyra Atoll: equatorial, hot; located within the low pressure area of the Intertropical Convergence Zone (ITCZ) where the northeast and southeast trade winds meet, it is extremely wet with between 400-500 cm of rainfall each year |
| Terrain: | low and nearly flat sandy coral islands with narrow fringing reefs that have developed at the top of submerged volcanic mountains, which in most cases rise steeply from the ocean floor |
| Elevation: | 0 m lowest point: Pacific Ocean |
| | 8 highest point: Baker Island, unnamed location - 3 Howland Island, unnamed location - 7 Jarvis Island, unnamed location - 10 Johnston Atoll, Sand Island - 2 Kingman Reef, unnamed location - less than 13 Midway Islands, unnamed location - 3 Palmyra Atoll, unnamed location - |
| Natural resources: | terrestrial and aquatic wildlife |
| Land use: | agricultural land: 0% (2011 est.) |
| | arable land: 0% (2011 est.) / permanent crops: 0% (2011 est.) / permanent pasture: 0% (2011 est.) |
| | forest: 0% (2011 est.) |
| | other: 100% (2011 est.) |
| Natural hazards: | Baker, Howland, and Jarvis Islands: the narrow fringing reef surrounding the island poses a maritime hazard; |
| | Kingman Reef: wet or awash most of the time, maximum elevation of less than 2 m makes Kingman Reef a maritime hazard; |
| | Midway Islands, Johnston, and Palmyra Atolls: NA |
| Environment - current issues: | Baker Island: no natural freshwater resources; feral cats, introduced in 1937 during a short-lived colonization effort, ravaged the avian population and were eradicated in 1965 |
| | Howland Island: no natural freshwater resources; the island habitat has suffered from invasive exotic species; black rats, introduced in 1854, were eradicated by feral cats within a year of their introduction in 1937; the cats preyed on the bird population and were eliminated by 1985 |
| | Jarvis Island: no natural freshwater resources; feral cats, introduced in the 1930s during a short-lived colonization venture, were not completely removed until 1990 |
| | Johnston Atoll: no natural freshwater resources; the seven decades under US military administration (1934-2004) left the atoll environmentally degraded and required large-scale remediation efforts; a swarm of Anoplolepis (crazy) ants invaded the island in 2010 damaging native wildlife; eradication has been largely, but not completely, successful |
| | Midway Islands:Â  many exotic species introduced, 75% of the roughly 200 plant species on the island are non-native; plastic pollution harms wildlife, via entanglement, ingestion, and toxic contamination |
| | Kingman Reef: none |
| | Palmyra Atoll: black rats, believed to have been introduced to the atoll during the US military occupation of the 1940s, severely degraded the ecosystem outcompeting native species (seabirds, crabs); following a successful rat removal project in 2011, native flora and fauna have begun to recover |
| Geography - note: | Baker, Howland, and Jarvis Islands: scattered vegetation consisting of grasses, prostrate vines, and low growing shrubs; primarily a nesting, roosting, and foraging habitat for seabirds, shorebirds, and marine wildlife; closed to the public; |
| | Johnston Atoll: Johnston Island and Sand Island are natural islands, which have been expanded by coral dredging; North Island (Akau) and East Island (Hikina) are manmade islands formed from coral dredging; the egg-shaped reef is 34 km in circumference; closed to the public; |
| | Kingman Reef: barren coral atoll with deep interior lagoon; closed to the public; |
| | Midway Islands: a coral atoll managed as a National Wildlife Refuge and open to the public for wildlife-related recreation in the form of wildlife observation and photography; |
| | Palmyra Atoll: the high rainfall and resulting lush vegetation make the environment of this atoll unique among the US Pacific Island territories; supports a large undisturbed stand of Pisonia beach forest |

| People and Society | United States Pacific Island Wildlife Refuges |
| --- | --- |
| Population: | no indigenous inhabitants |
| | note: public entry is only by special-use permit from US Fish and Wildlife Service and generally restricted to scientists and educators; visited annually by US Fish and Wildlife Service |
| | Jarvis Island: Millersville settlement on western side of island occasionally used as a weather station from 1935 until World War II, when it was abandoned; reoccupied in 1957 during the International Geophysical Year by scientists who left in 1958; currently unoccupied |
| | Johnston Atoll: in previous years, an average of 1,100 US military and civilian contractor personnel were present; as of May 2005, all US Government personnel had left the island |
| | Midway Islands: approximately 40 people make up the staff of US Fish and Wildlife Service and their services contractor living at the atoll |
| | Palmyra Atoll: four to 20 Nature Conservancy, US Fish and Wildlife staff, and researchers |

| Government | United States Pacific Island Wildlife Refuges |
| --- | --- |
| Country name: | conventional long form: none |
| | conventional short form: Baker Island |
| | etymology: self-descriptive name specifying the territories' affiliation and location |
| | Howland Island Jarvis Island Johnston Atoll Kingman Reef Midway Islands Palmyra Atoll |
| Dependency status: | unincorporated unorganized territories of the US; administered from Washington, DC, by the Fish and Wildlife Service of the US Department of the Interior as part of the National Wildlife Refuge System |
| | note: incorporated unorganized territory of the US; partly privately owned and partly federally owned; administered from Washington, DC, by the Fish and Wildlife Service of the US Department of the Interior; the Office of Insular Affairs of the US Department of the Interior continues to administer nine excluded areas comprising certain tidal and submerged lands within the 12 nm territorial sea or within the lagoon |
| Legal system: | the laws of the US, where applicable, apply |
| Diplomatic representation from the US: | none (territories of the US) |
| Flag description: | the flag of the US is used |

| Economy | United States Pacific Island Wildlife Refuges |
| --- | --- |
| Economy - overview: | no economic activity |

| Transportation | United States Pacific Island Wildlife Refuges |
| --- | --- |
| Airports: | Baker Island: one abandoned World War II runway of 1,665 m covered with vegetation and unusable (2013) |
| | Howland Island: airstrip constructed in 1937 for scheduled refueling stop on the round-the-world flight of Amelia EARHART and Fred NOONAN; the aviators left Lae, New Guinea, for Howland Island but were never seen again; the airstrip is no longer serviceable (2013) |
| | Johnston Atoll: one closed and not maintained (2013) |
| | Kingman Reef: lagoon was used as a halfway station between Hawaii and American Samoa by Pan American Airways for flying boats in 1937 and 1938 (2013) |
| | Midway Islands: 3 - one operational (2,377 m paved); no fuel for sale except emergencies (2013) |
| | Palmyra Atoll: 1 - 1,846 m unpaved runway; privately owned (2013) |
| Airports - with paved runways: | 2,438 to 3,047 m: 1 - Johnston Atoll; (2016) |
| | note - abandoned but usable |
| Airports - with unpaved runways: | 1 - Palmyra Atoll (2016) |
| Ports and terminals: | major seaport(s): Baker, Howland, and Jarvis Islands, and Kingman Reef |
