| People and Society | ROMANIA |
| --- | --- |
| Population: | 21,529,967 (July 2017 est.) |
| Nationality: | noun: Romanian(s) |
| Nationality: | adjective: Romanian |
| Ethnic groups: | Romanian 83.4%, Hungarian 6.1%, Romani 3.1%, Ukrainian 0.3%, German 0.2%, other 0.7%, unspecified 6.1% (2011 est.) |
| Ethnic groups: | note: Romani populations are usually underestimated in official statistics and may represent 5–11% of Romania's population |
| Languages: | Romanian (official) 85.4%, Hungarian 6.3%, Romani 1.2%, other 1%, unspecified 6.1% (2011 est.) |
| Religions: | Eastern Orthodox (including all sub-denominations) 81.9%, Protestant (various denominations including Reformed and Pentecostal) 6.4%, Roman Catholic 4.3%, other (includes Muslim) 0.9%, none or atheist 0.2%, unspecified 6.3% (2011 est.) |
| Age structure: | 0-14 years: 14.35% (male 1,586,976/female 1,502,864) |
| Age structure: | 15-24 years: 10.6% (male 1,170,679/female 1,110,727) |
| Age structure: | 25-54 years: 46.03% (male 5,016,529/female 4,893,792) |
| Age structure: | 55-64 years: 12.61% (male 1,271,281/female 1,443,414) |
| Age structure: | 65 years and over: 16.41% (male 1,428,599/female 2,105,106) (2017 est.) |
| Dependency ratios: | total dependency ratio: 48 |
| Dependency ratios: | youth dependency ratio: 22.8 |
| Dependency ratios: | elderly dependency ratio: 25.2 |
| Dependency ratios: | potential support ratio: 4 (2015 est.) |
| Median age: | total: 41.1 years |
| Median age: | male: 39.7 years |
| Median age: | female: 42.6 years (2017 est.) |
| Population growth rate: | -0.33% (2017 est.) |
| Birth rate: | 8.9 births/1,000 population (2017 est.) |
| Death rate: | 12 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | urbanization is not particularly high, and a fairly even population distribution can be found throughout most of the country, with urban areas attracting larger and denser populations; Hungarians, the country's largest minority, have a particularly strong presence in eastern Transylvania |
| Urbanization: | urban population: 54.9% of total population (2017) |
| Urbanization: | rate of urbanization: 0.05% annual rate of change (2015-20 est.) |
| Major urban areas - population: | BUCHAREST (capital) 1.868 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 26.7 years (2014 est.) |
| Maternal mortality rate: | 31 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 9.4 deaths/1,000 live births |
| Infant mortality rate: | male: 10.7 deaths/1,000 live births |
| Infant mortality rate: | female: 8 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 75.4 years |
| Life expectancy at birth: | male: 71.9 years |
| Life expectancy at birth: | female: 79 years (2017 est.) |
| Total fertility rate: | 1.35 children born/woman (2017 est.) |
| Health expenditures: | 5.6% of GDP (2014) |
| Physicians density: | 2.67 physicians/1,000 population (2013) |
| Hospital bed density: | 6.1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 92.2% of population |
| Sanitation facility access: | rural: 63.3% of population |
| Sanitation facility access: | total: 79.1% of population |
| unimproved: | urban: 7.8% of population |
| unimproved: | rural: 36.7% of population |
| unimproved: | total: 20.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 16,000 (2016 est.) |
| HIV/AIDS - deaths: | <200 (2016 est.) |
| Obesity - adult prevalence rate: | 22.5% (2016) |
| Education expenditures: | 2.9% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.8% |
| Literacy: | male: 99.1% |
| Literacy: | female: 98.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2015) |
| Unemployment, youth ages 15-24: | total: 21.7% |
| Unemployment, youth ages 15-24: | male: 20.6% |
| Unemployment, youth ages 15-24: | female: 23.4% (2015 est.) |
