| People and Society | ROMANIA |
| --- | --- |
| Nationality: | noun: Romanian(s) |
| Nationality: | adjective: Romanian |
| Ethnic groups: | Romanian 83.4%, Hungarian 6.1%, Roma 3.1%, Ukrainian 0.3%, German 0.2%, other 0.7%, unspecified 6.1% (2011 est.) |
| Languages: | Romanian (official) 85.4%, Hungarian 6.3%, Romany (Gypsy) 1.2%, other 1%, unspecified 6.1% (2011 est.) |
| Religions: | Eastern Orthodox (including all sub-denominations) 81.9%, Protestant (various denominations including Reformed and Pentecostal) 6.4%, Roman Catholic 4.3%, other (includes Muslim) 0.9%, none or atheist 0.2%, unspecified 6.3% (2011 est.) |
| Population: | 21,666,350 (July 2015 est.) |
| Age structure: | 0-14 years: 14.49% (male 1,612,090/female 1,526,432) |
| Age structure: | 15-24 years: 10.94% (male 1,215,309/female 1,154,618) |
| Age structure: | 25-54 years: 45.92% (male 5,030,926/female 4,919,140) |
| Age structure: | 55-64 years: 12.92% (male 1,308,475/female 1,491,858) |
| Age structure: | 65 years and over: 15.73% (male 1,376,634/female 2,030,868) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 48.9% |
| population pyramid: | youth dependency ratio: 23.1% |
| population pyramid: | elderly dependency ratio: 25.8% |
| population pyramid: | potential support ratio: 3.9% (2015 est.) |
| Median age: | total: 40.2 years |
| Median age: | male: 38.8 years |
| Median age: | female: 41.7 years (2015 est.) |
| Population growth rate: | -0.3% (2015 est.) |
| Birth rate: | 9.14 births/1,000 population (2015 est.) |
| Death rate: | 11.9 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.24 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 54.6% of total population (2015) |
| Urbanization: | rate of urbanization: 0.01% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BUCHAREST (capital) 1.868 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 9.89 deaths/1,000 live births |
| Infant mortality rate: | male: 11.23 deaths/1,000 live births |
| Infant mortality rate: | female: 8.47 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 74.92 years |
| Life expectancy at birth: | male: 71.46 years |
| Life expectancy at birth: | female: 78.59 years (2015 est.) |
| Total fertility rate: | 1.33 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 69.8% |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 (2005) |
| Health expenditures: | 5.3% of GDP (2013) |
| Physicians density: | 2.45 physicians/1,000 population (2012) |
| Hospital bed density: | 6.1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 92.2% of population |
| Sanitation facility access: | rural: 63.3% of population |
| Sanitation facility access: | total: 79.1% of population |
| unimproved: | urban: 7.8% of population |
| unimproved: | rural: 36.7% of population |
| unimproved: | total: 20.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.11% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 16,200 (2013 est.) |
| HIV/AIDS - deaths: | 500 (2013 est.) |
| Obesity - adult prevalence rate: | 23.4% (2014) |
| Education expenditures: | 3.1% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.8% |
| Literacy: | male: 99.1% |
| Literacy: | female: 98.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2011) |
| Child labor - children ages 5-14: | total number: 26,658 |
| Child labor - children ages 5-14: | percentage: 1% (2000 est.) |
| Unemployment, youth ages 15-24: | total: 22.7% |
| Unemployment, youth ages 15-24: | male: 22.3% |
| Unemployment, youth ages 15-24: | female: 23.2% (2012 est.) |
