| People and Society | Romania |
| --- | --- |
| Population: | 21,302,893 (July 2020 est.) |
| Nationality: | noun: Romanian(s) |
| Nationality: | adjective: Romanian |
| Ethnic groups: | Romanian 83.4%, Hungarian 6.1%, Romani 3.1%, Ukrainian 0.3%, German 0.2%, other 0.7%, unspecified 6.1% (2011 est.) |
| Ethnic groups: | note: Romani populations are usually underestimated in official statistics and may represent 5â€“11% of Romania's population |
| Languages: | Romanian (official) 85.4%, Hungarian 6.3%, Romani 1.2%, other 1%, unspecified 6.1% (2011 est.) |
| Religions: | Eastern Orthodox (including all sub-denominations) 81.9%, Protestant (various denominations including Reformed and Pentecostal) 6.4%, Roman Catholic 4.3%, other (includes Muslim) 0.9%, none or atheist 0.2%, unspecified 6.3% (2011 est.) |
| Age structure: | 0-14 years: 14.12% (male 1,545,196/female 1,463,700) |
| Age structure: | 15-24 years: 10.31% (male 1,126,997/female 1,068,817) |
| Age structure: | 25-54 years: 46.26% (male 4,993,886/female 4,860,408) |
| Age structure: | 55-64 years: 11.73% (male 1,176,814/female 1,322,048) |
| Age structure: | 65 years and over: 17.58% (male 1,516,472/female 2,228,555) (2020 est.) |
| Dependency ratios: | total dependency ratio: 53.3 |
| Dependency ratios: | youth dependency ratio: 23.8 |
| Dependency ratios: | elderly dependency ratio: 29.5 |
| Dependency ratios: | potential support ratio: 3.4 (2020 est.) |
| Median age: | total: 42.5 years |
| Median age: | male: 41 years |
| Median age: | female: 44 years (2020 est.) |
| Population growth rate: | -0.37% (2020 est.) |
| Birth rate: | 8.5 births/1,000 population (2020 est.) |
| Death rate: | 12 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | urbanization is not particularly high, and a fairly even population distribution can be found throughout most of the country, with urban areas attracting larger and denser populations; Hungarians, the country's largest minority, have a particularly strong presence in eastern Transylvania |
| Urbanization: | urban population: 54.2% of total population (2020) |
| Urbanization: | rate of urbanization: -0.38% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1.803 million BUCHAREST (capital) (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 27.1 years (2017 est.) |
| Maternal mortality rate: | 19 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 8.7 deaths/1,000 live births |
| Infant mortality rate: | male: 9.9 deaths/1,000 live births |
| Infant mortality rate: | female: 7.4 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 76 years |
| Life expectancy at birth: | male: 72.6 years |
| Life expectancy at birth: | female: 79.7 years (2020 est.) |
| Total fertility rate: | 1.38 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 5.2% (2017) |
| Physicians density: | 2.98 physicians/1,000 population (2017) |
| Hospital bed density: | 6.9 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 95.3% of population |
| Sanitation facility access: | rural: 71.5% of population |
| Sanitation facility access: | total: 84.3% of population |
| Sanitation facility access: | unimproved: urban: 4.7% of population |
| Sanitation facility access: | rural: 28.5% of population |
| Sanitation facility access: | total: 15.7% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 190,000 (2019 est.) |
| HIV/AIDS - deaths: | <500 (2019 est.) |
| Obesity - adult prevalence rate: | 22.5% (2016) |
| Education expenditures: | 3.1% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.8% |
| Literacy: | male: 99.1% |
| Literacy: | female: 98.6% (2018) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2018) |
| Unemployment, youth ages 15-24: | total: 16.2% |
| Unemployment, youth ages 15-24: | male: 16.3% |
| Unemployment, youth ages 15-24: | female: 16.2% (2018 est.) |
