| People and Society | Honduras |
| --- | --- |
| Nationality: | noun: Honduran(s) |
| Nationality: | adjective: Honduran |
| Ethnic groups: | mestizo (mixed Amerindian and European) 90%, Amerindian 7%, black 2%, white 1% |
| Languages: | Spanish (official), Amerindian dialects |
| Religions: | Roman Catholic 97%, Protestant 3% |
| Population: | 8,143,564 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 36.7% (male 1,528,271/female 1,464,428) |
| Age structure: | 15-64 years: 59.5% (male 2,431,607/female 2,412,951) |
| Age structure: | 65 years and over: 3.8% (male 136,035/female 170,272) (2011 est.) |
| Median age: | total: 21 years |
| Median age: | male: 20.6 years |
| Median age: | female: 21.4 years (2011 est.) |
| Population growth rate: | 1.888% (2011 est.) |
| Birth rate: | 25.14 births/1,000 population (2011 est.) |
| Death rate: | 5.02 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -1.25 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 52% of total population (2010) |
| Urbanization: | rate of urbanization: 3.1% annual rate of change (2010-15 est.) |
| Major cities - population: | TEGUCIGALPA (capital) 1 million (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2011 est.) |
| Maternal mortality rate: | 110 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 20.44 deaths/1,000 live births |
| Infant mortality rate: | male: 23.14 deaths/1,000 live births |
| Infant mortality rate: | female: 17.61 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 70.61 years |
| Life expectancy at birth: | male: 68.93 years |
| Life expectancy at birth: | female: 72.37 years (2011 est.) |
| Total fertility rate: | 3.09 children born/woman (2011 est.) |
| Health expenditures: | 7.3% of GDP (2009) |
| Physicians density: | 0.57 physicians/1,000 population (2000) |
| Hospital bed density: | 0.8 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95% of population |
| Drinking water source: | rural: 77% of population |
| Drinking water source: | total: 86% of population |
| unimproved: | urban: 5% of population |
| unimproved: | rural: 23% of population |
| unimproved: | total: 14% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 80% of population |
| Sanitation facility access: | rural: 62% of population |
| Sanitation facility access: | total: 71% of population |
| unimproved: | urban: 20% of population |
| unimproved: | rural: 38% of population |
| unimproved: | total: 29% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 39,000 (2009 est.) |
| HIV/AIDS - deaths: | 2,500 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2009) |
| Children under the age of 5 years underweight: | 8.6% (2006) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 80% |
| Literacy: | male: 79.8% |
| Literacy: | female: 80.2% (2001 census) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2008) |
| Unemployment, youth ages 15-24: | total: 7% |
| Unemployment, youth ages 15-24: | male: 5.2% |
| Unemployment, youth ages 15-24: | female: 11.2% (2005) |
