| People | Honduras |
| --- | --- |
| Population: | 7,639,327 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2008 est.) |
| Age structure: | 0-14 years: 38.7% (male 1,508,835/female 1,446,530) |
| Age structure: | 15-64 years: 57.8% (male 2,210,187/female 2,203,620) |
| Age structure: | 65 years and over: 3.5% (male 121,839/female 148,316) (2008 est.) |
| Median age: | total: 20 years |
| Median age: | male: 19.7 years |
| Median age: | female: 20.4 years (2008 est.) |
| Population growth rate: | 2.024% (2008 est.) |
| Birth rate: | 26.93 births/1,000 population (2008 est.) |
| Death rate: | 5.36 deaths/1,000 population (2008 est.) |
| Net migration rate: | -1.33 migrant(s)/1,000 population (2008 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 24.61 deaths/1,000 live births |
| Infant mortality rate: | male: 27.63 deaths/1,000 live births |
| Infant mortality rate: | female: 21.43 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 69.37 years |
| Life expectancy at birth: | male: 67.81 years |
| Life expectancy at birth: | female: 71.01 years (2008 est.) |
| Total fertility rate: | 3.38 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 1.8% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 63,000 (2003 est.) |
| HIV/AIDS - deaths: | 4,100 (2003 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2008) |
| Nationality: | noun: Honduran(s) |
| Nationality: | adjective: Honduran |
| Ethnic groups: | mestizo (mixed Amerindian and European) 90%, Amerindian 7%, black 2%, white 1% |
| Religions: | Roman Catholic 97%, Protestant 3% |
| Languages: | Spanish, Amerindian dialects |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 80% |
| Literacy: | male: 79.8% |
| Literacy: | female: 80.2% (2001 census) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2004) |
| Education expenditures: | 3.8% of GDP (1991) |
