| People and Society | Bolivia |
| --- | --- |
| Population: | 11,306,341 (July 2018 est.) |
| Nationality: | noun: Bolivian(s) |
| Nationality: | adjective: Bolivian |
| Ethnic groups: | mestizo (mixed white and Amerindian ancestry) 68%, indigenous 20%, white 5%, cholo/chola 2%, black 1%, other 1%, unspecified 3% ; 44% of respondents indicated feeling part of some indigenous group, predominantly Quechua or Aymara (2009 est.) |
| Ethnic groups: | note: results among surveys vary based on the wording of the ethnicity question and the available response choices; the 2001 national census did not provide "mestizo" as a response choice, resulting in a much higher proportion of respondents identifying themselves as belonging to one of the available indigenous ethnicity choices; the use of "mestizo" and "cholo" varies among response choices in surveys, with surveys using the terms interchangeably, providing one or the other as a response choice, or providing the two as separate response choices |
| Languages: | Spanish (official) 60.7%, Quechua (official) 21.2%, Aymara (official) 14.6%, foreign languages 2.4%, Guarani (official) 0.6%, other native languages 0.4%, none 0.1% (2001 est.) |
| Languages: | note: Bolivia's 2009 constitution designates Spanish and all indigenous languages as official; 36 indigenous languages are specified, including a few that are extinct |
| Religions: | Roman Catholic 76.8%, Evangelical and Pentecostal 8.1%, Protestant 7.9%, other 1.7%, none 5.5% (2012 est.) |
| Demographic profile: | Bolivia ranks at or near the bottom among Latin American countries in several areas of health and development, including poverty, education, fertility, malnutrition, mortality, and life expectancy. On the positive side, more children are being vaccinated and more pregnant women are getting prenatal care and having skilled health practitioners attend their births. |
| Demographic profile: | Boliviaâ€™s income inequality is the highest in Latin America and one of the highest in the world. Public education is of poor quality, and educational opportunities are among the most unevenly distributed in Latin America, with girls and indigenous and rural children less likely to be literate or to complete primary school. The lack of access to education and family planning services helps to sustain Boliviaâ€™s high fertility rateâ€”approximately three children per woman. Boliviaâ€™s lack of clean water and basic sanitation, especially in rural areas, contributes to health problems. |
| Demographic profile: | Between 7% and 16% of Boliviaâ€™s population lives abroad (estimates vary in part because of illegal migration). Emigrants primarily seek jobs and better wages in Argentina (the principal destination), the US, and Spain. In recent years, more restrictive immigration policies in Europe and the US have increased the flow of Bolivian emigrants to neighboring countries. Fewer Bolivians migrated to Brazil in 2015 and 2016 because of its recession; increasing numbers have been going to Chile, mainly to work as miners. |
| Age structure: | 0-14 years: 31.34% (male 1,805,765 /female 1,737,647) |
| Age structure: | 15-24 years: 19.37% (male 1,109,388 /female 1,080,662) |
| Age structure: | 25-54 years: 37.9% (male 2,098,847 /female 2,185,890) |
| Age structure: | 55-64 years: 5.96% (male 310,250 /female 363,403) |
| Age structure: | 65 years and over: 5.43% (male 270,435 /female 344,054) (2018 est.) |
| Dependency ratios: | total dependency ratio: 63.7 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 53.1 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 10.6 (2015 est.) |
| Dependency ratios: | potential support ratio: 9.4 (2015 est.) |
| Median age: | total: 24.6 years |
| Median age: | male: 23.9 years |
| Median age: | female: 25.4 years (2018 est.) |
| Population growth rate: | 1.48% (2018 est.) |
| Birth rate: | 21.6 births/1,000 population (2018 est.) |
| Death rate: | 6.3 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.5 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | a high altitude plain in the west between two cordillera of the Andes, known as the Altiplano, is the focal area for most of the population; a dense settlement pattern is also found in and around the city of Santa Cruz, located on the eastern side of the Andes |
| Urbanization: | urban population: 69.4% of total population (2018) |
