| People and Society | BOLIVIA |
| --- | --- |
| Population: | 11,138,234 (July 2017 est.) |
| Nationality: | noun: Bolivian(s) |
| Nationality: | adjective: Bolivian |
| Ethnic groups: | mestizo (mixed white and Amerindian ancestry) 68%, indigenous 20%, white 5%, cholo/chola 2%, black 1%, other 1%, unspecified 3% ; 44% of respondents indicated feeling part of some indigenous group, predominantly Quechua or Aymara |
| Ethnic groups: | note: results among surveys vary based on the wording of the ethnicity question and the available response choices; the 2001 national census did not provide "mestizo" as a response choice, resulting in a much higher proportion of respondents identifying themselves as belonging to one of the available indigenous ethnicity choices; the use of "mestizo" and "cholo" varies among response choices in surveys, with surveys using the terms interchangeably, providing one or the other as a response choice, or providing the two as separate response choices (2009 est.) |
| Languages: | Spanish (official) 60.7%, Quechua (official) 21.2%, Aymara (official) 14.6%, foreign languages 2.4%, Guarani (official) 0.6%, other native languages 0.4%, none 0.1% |
| Languages: | note: Bolivia's 2009 constitution designates Spanish and all indigenous languages as official; 36 indigenous languages are specified, including some that are extinct (2001 est.) |
| Religions: | Roman Catholic 76.8%, Evangelical and Pentecostal 8.1%, Protestant 7.9%, other 1.7%, none 5.5% (2012 est.) |
| Demographic profile: | Bolivia ranks at or near the bottom among Latin American countries in several areas of health and development, including poverty, education, fertility, malnutrition, mortality, and life expectancy. On the positive side, more children are being vaccinated and more pregnant women are getting prenatal care and having skilled health practitioners attend their births. Bolivia's income inequality is the highest in Latin America and one of the highest in the world. Public education is of poor quality, and educational opportunities are among the most unevenly distributed in Latin America, with girls and indigenous and rural children less likely to be literate or to complete primary school. The lack of access to education and family planning services helps to sustain Bolivia's high fertility rate - approximately three children per woman. Bolivia's lack of clean water and basic sanitation, especially in rural areas, contributes to health problems. |
| Demographic profile: | Almost 7% of Bolivia's population lives abroad, primarily to work in Argentina, Brazil, Spain, and the United States. In recent years, more restrictive immigration policies in Europe and the United States have increased the flow of Bolivian emigrants to neighboring Argentina and Brazil. |
| Age structure: | 0-14 years: 31.85% (male 1,807,735/female 1,739,763) |
| Age structure: | 15-24 years: 19.46% (male 1,098,097/female 1,069,950) |
| Age structure: | 25-54 years: 37.48% (male 2,041,866/female 2,133,065) |
| Age structure: | 55-64 years: 5.9% (male 303,409/female 353,598) |
