| People and Society | CONGO, REPUBLIC OF THE |
| --- | --- |
| Population: | 4,954,674 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.) |
| Nationality: | noun: Congolese (singular and plural) |
| Nationality: | adjective: Congolese or Congo |
| Ethnic groups: | Kongo 48%, Sangha 20%, M'Bochi 12%, Teke 17%, Europeans and other 3% |
| Languages: | French (official), Lingala and Monokutuba (lingua franca trade languages), many local languages and dialects (of which Kikongo is the most widespread) |
| Religions: | Roman Catholic 33.1%, Awakening Churches/Christian Revival 22.3%, Protestant 19.9%, Salutiste 2.2%, Muslim 1.6%, Kimbanguiste 1.5%, other 8.1%, none 11.3% (2010 est.) |
| Age structure: | 0-14 years: 41.67% (male 1,041,761/female 1,022,763) |
| Age structure: | 15-24 years: 17.1% (male 424,521/female 422,755) |
| Age structure: | 25-54 years: 33.89% (male 843,856/female 835,041) |
| Age structure: | 55-64 years: 4.29% (male 106,776/female 105,573) |
| Age structure: | 65 years and over: 3.06% (male 66,962/female 84,666) (2017 est.) |
| Dependency ratios: | total dependency ratio: 84.5 |
| Dependency ratios: | youth dependency ratio: 78.3 |
| Dependency ratios: | elderly dependency ratio: 6.2 |
| Dependency ratios: | potential support ratio: 16.1 (2015 est.) |
| Median age: | total: 19.7 years |
| Median age: | male: 19.5 years |
| Median age: | female: 19.8 years (2017 est.) |
| Population growth rate: | 2.11% (2017 est.) |
| Birth rate: | 34.4 births/1,000 population (2017 est.) |
| Death rate: | 9.5 deaths/1,000 population (2017 est.) |
| Net migration rate: | -3.8 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the population is primarily located in the south, in and around the capital of Brazzaville |
| Urbanization: | urban population: 66.2% of total population (2017) |
| Urbanization: | rate of urbanization: 3.02% annual rate of change (2015-20 est.) |
| Major urban areas - population: | BRAZZAVILLE (capital) 1.888 million; Pointe-Noire 969,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.8 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2011/12 est.) |
| Maternal mortality rate: | 442 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 54.9 deaths/1,000 live births |
| Infant mortality rate: | male: 59.8 deaths/1,000 live births |
| Infant mortality rate: | female: 49.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 59.8 years |
| Life expectancy at birth: | male: 58.6 years |
| Life expectancy at birth: | female: 61.1 years (2017 est.) |
| Total fertility rate: | 4.59 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 30.1% (2014/15) |
| Health expenditures: | 5.2% of GDP (2014) |
| Physicians density: | 0.11 physicians/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95.8% of population |
| Drinking water source: | rural: 40% of population |
| Drinking water source: | total: 76.5% of population |
| unimproved: | urban: 4.2% of population |
| unimproved: | rural: 60% of population |
| unimproved: | total: 23.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 20% of population |
| Sanitation facility access: | rural: 5.6% of population |
| Sanitation facility access: | total: 15% of population |
| unimproved: | urban: 80% of population |
| unimproved: | rural: 94.4% of population |
| unimproved: | total: 85% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 3.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 91,000 (2016 est.) |
| HIV/AIDS - deaths: | 3,800 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria and dengue fever |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: schistosomiasis (2016) |
| Obesity - adult prevalence rate: | 9.6% (2016) |
| Children under the age of 5 years underweight: | 12.3% (2015) |
| Education expenditures: | 6.2% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 79.3% |
| Literacy: | male: 86.4% |
| Literacy: | female: 72.9% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2012) |
