| People and Society | Russia |
| --- | --- |
| Nationality: | noun: Russian(s) |
| Nationality: | adjective: Russian |
| Ethnic groups: | Russian 79.8%, Tatar 3.8%, Ukrainian 2%, Bashkir 1.2%, Chuvash 1.1%, other or unspecified 12.1% (2002 census) |
| Languages: | Russian (official), many minority languages |
| Religions: | Russian Orthodox 15-20%, Muslim 10-15%, other Christian 2% (2006 est.) |
| Religions: | note: estimates are of practicing worshipers; Russia has large populations of non-practicing believers and non-believers, a legacy of over seven decades of Soviet rule |
| Population: | 142,500,482 (July 2013 est.) |
| Age structure: | 0-14 years: 16% (male 11,740,877/female 11,119,318) |
| Age structure: | 15-24 years: 11.5% (male 8,401,971/female 8,045,363) |
| Age structure: | 25-54 years: 45.9% (male 31,945,797/female 33,417,073) |
| Age structure: | 55-64 years: 13.5% (male 8,177,300/female 11,009,712) |
| Age structure: | 65 years and over: 13.1% (male 5,687,515/female 12,955,556) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 40.5 % |
| population pyramid: | youth dependency ratio: 22.2 % |
| population pyramid: | elderly dependency ratio: 18.3 % |
| population pyramid: | potential support ratio: 5.5 (2013) |
| Median age: | total: 38.8 years |
| Median age: | male: 35.8 years |
| Median age: | female: 41.8 years (2013 est.) |
| Population growth rate: | -0.02% (2013 est.) |
| Birth rate: | 12.11 births/1,000 population (2013 est.) |
| Death rate: | 13.97 deaths/1,000 population (2013 est.) |
| Net migration rate: | 1.69 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 73.8% of total population (2011) |
| Urbanization: | rate of urbanization: 0.13% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MOSCOW (capital) 10.523 million; Saint Petersburg 4.575 million; Novosibirsk 1.397 million; Yekaterinburg 1.344 million; Nizhniy Novgorod 1.267 million (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.74 male(s)/female |
| Sex ratio: | 65 years and over: 0.44 male(s)/female |
| Sex ratio: | total population: 0.86 male(s)/female (2013 est.) |
| Maternal mortality rate: | 34 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 7.19 deaths/1,000 live births |
| Infant mortality rate: | male: 8.04 deaths/1,000 live births |
| Infant mortality rate: | female: 6.29 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 69.85 years |
| Life expectancy at birth: | male: 64.04 years |
| Life expectancy at birth: | female: 76.02 years (2013 est.) |
| Total fertility rate: | 1.61 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 79.5% |
| Contraceptive prevalence rate: | note: percent of women under age 50 (2007) |
| Health expenditures: | 6.2% of GDP (2011) |
| Physicians density: | 4.31 physicians/1,000 population (2006) |
| Hospital bed density: | 9.7 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 92% of population |
| Drinking water source: | total: 97% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 8% of population |
| unimproved: | total: 3% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 74% of population |
| Sanitation facility access: | rural: 59% of population |
| Sanitation facility access: | total: 70% of population |
| unimproved: | urban: 26% of population |
| unimproved: | rural: 41% of population |
| unimproved: | total: 30% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 980,000 (2009 est.) |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne disease: tickborne encephalitis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 26.5% (2008) |
| Education expenditures: | 4.1% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.6% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2009) |
| Unemployment, youth ages 15-24: | total: 15.5% |
| Unemployment, youth ages 15-24: | male: 15.3% |
| Unemployment, youth ages 15-24: | female: 15.7% (2011) |
