| People and Society | Russia |
| --- | --- |
| Nationality: | noun: Russian(s) |
| Nationality: | adjective: Russian |
| Ethnic groups: | Russian 79.8%, Tatar 3.8%, Ukrainian 2%, Bashkir 1.2%, Chuvash 1.1%, other or unspecified 12.1% (2002 census) |
| Languages: | Russian (official), many minority languages |
| Religions: | Russian Orthodox 15-20%, Muslim 10-15%, other Christian 2% (2006 est.) |
| Religions: | note: estimates are of practicing worshipers; Russia has large populations of non-practicing believers and non-believers, a legacy of over seven decades of Soviet rule |
| Population: | 142,517,670 (July 2012 est.) |
| Age structure: | 0-14 years: 15.7% (male 11,498,268/ female 10,890,853) |
| Age structure: | 15-64 years: 71.3% (male 48,851,357/ female 52,806,900) |
| Age structure: | 65 years and over: 13% (male 5,622,464/ female 12,847,828) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 38.8 years |
| Median age: | male: 35.6 years |
| Median age: | female: 42.1 years (2012 est.) |
| Population growth rate: | -0.01% (2012 est.) |
| Birth rate: | 12.3 births/1,000 population (2012 est.) |
| Death rate: | 14.1 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | 0.29 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 73% of total population (2010) |
| Urbanization: | rate of urbanization: -0.2% annual rate of change (2010-15 est.) |
| Major cities - population: | MOSCOW (capital) 10.523 million; Saint Petersburg 4.575 million; Novosibirsk 1.397 million; Yekaterinburg 1.344 million; Nizhniy Novgorod 1.267 million (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | under 15 years: 1.06 male(s)/female |
| Sex ratio: | 15-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.43 male(s)/female |
| Sex ratio: | total population: 0.85 male(s)/female (2011 est.) |
| Maternal mortality rate: | 34 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 7.3 deaths/1,000 live births |
| Infant mortality rate: | male: 8.2 deaths/1,000 live births |
| Infant mortality rate: | female: 6.4 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 66.46 years |
| Life expectancy at birth: | male: 60.11 years |
| Life expectancy at birth: | female: 73.18 years (2012 est.) |
| Total fertility rate: | 1.61 children born/woman (2012 est.) |
| Health expenditures: | 5.4% of GDP (2009) |
| Physicians density: | 4.309 physicians/1,000 population (2006) |
| Hospital bed density: | 9.66 beds/1,000 population (2006) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93% of population |
| Sanitation facility access: | rural: 70% of population |
| Sanitation facility access: | total: 87% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 30% of population |
| unimproved: | total: 13% of population |
| HIV/AIDS - adult prevalence rate: | 1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 980,000 (2009 est.) |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne disease: tickborne encephalitis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Education expenditures: | 3.9% of GDP (2006) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.6% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.5% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2008) |
| Unemployment, youth ages 15-24: | total: 18.3% |
| Unemployment, youth ages 15-24: | male: 17.7% |
| Unemployment, youth ages 15-24: | female: 19.1% (2009) |
