| People and Society | Bhutan |
| --- | --- |
| Nationality: | noun: Bhutanese (singular and plural) |
| Nationality: | adjective: Bhutanese |
| Ethnic groups: | Ngalop (also known as Bhote) 50%, ethnic Nepalese 35% (includes Lhotsampas - one of several Nepalese ethnic groups), indigenous or migrant tribes 15% |
| Languages: | Sharchhopka 28%, Dzongkha (official) 24%, Lhotshamkha 22%, other 26% (includes foreign languages) (2005 est.) |
| Religions: | Lamaistic Buddhist 75.3%, Indian- and Nepalese-influenced Hinduism 22.1%, other 2.6% (2005 est.) |
| Population: | 733,643 |
| Population: | note: the Factbook population estimate is consistent with the first modern census of Bhutan, conducted in 2005; previous Factbook population estimates for Bhutan, which were on the order of three times the total population reported here, were based on Bhutanese Government publications that did not include the census (July 2014 est.) |
| Age structure: | 0-14 years: 27.3% (male 102,196/female 97,923) |
| Age structure: | 15-24 years: 20.1% (male 75,327/female 72,472) |
| Age structure: | 25-54 years: 40.8% (male 159,868/female 139,236) |
| Age structure: | 55-64 years: 5.8% (male 22,769/female 19,699) |
| Age structure: | 65 years and over: 6% (male 23,153/female 21,000) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 48.1 % |
| population pyramid: | youth dependency ratio: 40.8 % |
| population pyramid: | elderly dependency ratio: 7.2 % |
| population pyramid: | potential support ratio: 13.8 (2014 est.) |
| Median age: | total: 26.2 years |
| Median age: | male: 26.8 years |
| Median age: | female: 25.6 years (2014 est.) |
| Population growth rate: | 1.13% (2014 est.) |
| Birth rate: | 18.12 births/1,000 population (2014 est.) |
| Death rate: | 6.78 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 35.6% of total population (2011) |
| Urbanization: | rate of urbanization: 3.65% annual rate of change (2010-15 est.) |
| Major urban areas - population: | THIMPHU (capital) 99,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.15 male(s)/female |
| Sex ratio: | 55-64 years: 1.09 male(s)/female |
| Sex ratio: | 65 years and over: 1.11 male(s)/female |
| Sex ratio: | total population: 1.1 male(s)/female (2014 est.) |
| Maternal mortality rate: | 180 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 37.89 deaths/1,000 live births |
| Infant mortality rate: | male: 38.34 deaths/1,000 live births |
| Infant mortality rate: | female: 37.42 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 68.98 years |
| Life expectancy at birth: | male: 68.06 years |
| Life expectancy at birth: | female: 69.95 years (2014 est.) |
| Total fertility rate: | 2.02 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 65.6% (2010) |
| Health expenditures: | 4.1% of GDP (2011) |
| Physicians density: | 0.07 physicians/1,000 population (2008) |
| Hospital bed density: | 1.8 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.4% of population |
| Drinking water source: | rural: 97.3% of population |
| Drinking water source: | total: 98.1% of population |
| unimproved: | urban: 0.6% of population |
| unimproved: | rural: 2.7% of population |
| unimproved: | total: 1.9% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 74.5% of population |
| Sanitation facility access: | rural: 31.1% of population |
| Sanitation facility access: | total: 46.9% of population |
| unimproved: | urban: 25.5% of population |
| unimproved: | rural: 68.9% of population |
| unimproved: | total: 53.1% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,100 (2012 est.) |
| HIV/AIDS - deaths: | 100 (2012 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2013) |
| Obesity - adult prevalence rate: | 5.3% (2008) |
| Children under the age of 5 years underweight: | 12.8% (2010) |
| Education expenditures: | 4.7% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 52.8% |
| Literacy: | male: 65% |
| Literacy: | female: 38.7% (2005 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2012) |
| Child labor - children ages 5-14: | total number: 25,801 |
| Child labor - children ages 5-14: | percentage: 18 % (2010 est.) |
| Unemployment, youth ages 15-24: | total: 7.2% |
| Unemployment, youth ages 15-24: | male: 7.3% |
| Unemployment, youth ages 15-24: | female: 7.2% (2012) |
