| People and Society | Bhutan |
| --- | --- |
| Nationality: | noun: Bhutanese (singular and plural) |
| Nationality: | adjective: Bhutanese |
| Ethnic groups: | Bhote 50%, ethnic Nepalese 35% (includes Lhotsampas - one of several Nepalese ethnic groups), indigenous or migrant tribes 15% |
| Languages: | Sharchhopka 28%, Dzongkha (official) 24%, Lhotshamkha 22%, other 26% |
| Religions: | Lamaistic Buddhist 75%, Indian- and Nepalese-influenced Hinduism 25% |
| Population: | 725,296 (July 2013 est.) |
| Population: | note: the Factbook population estimate is consistent with the first modern census of Bhutan, conducted in 2005; previous Factbook population estimates for this country, which were on the order of three times the total population reported here, were based on Bhutanese government publications that did not include the census |
| Age structure: | 0-14 years: 27.8% (male 102,991/female 98,730) |
| Age structure: | 15-24 years: 20.6% (male 76,202/female 73,273) |
| Age structure: | 25-54 years: 39.9% (male 155,216/female 134,363) |
| Age structure: | 55-64 years: 5.7% (male 22,295/female 19,285) |
| Age structure: | 65 years and over: 5.9% (male 22,546/female 20,395) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 48.9 % |
| population pyramid: | youth dependency ratio: 41.8 % |
| population pyramid: | elderly dependency ratio: 7.1 % |
| population pyramid: | potential support ratio: 14 (2013) |
| Median age: | total: 25.7 years |
| Median age: | male: 26.3 years |
| Median age: | female: 25.1 years (2013 est.) |
| Population growth rate: | 1.15% (2013 est.) |
| Birth rate: | 18.43 births/1,000 population (2013 est.) |
| Death rate: | 6.88 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 35.6% of total population (2011) |
| Urbanization: | rate of urbanization: 3.65% annual rate of change (2010-15 est.) |
| Major urban areas - population: | THIMPHU (capital) 99,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.16 male(s)/female |
| Sex ratio: | 55-64 years: 1.16 male(s)/female |
| Sex ratio: | 65 years and over: 1.11 male(s)/female |
| Sex ratio: | total population: 1.1 male(s)/female (2013 est.) |
| Maternal mortality rate: | 180 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 39.97 deaths/1,000 live births |
| Infant mortality rate: | male: 40.52 deaths/1,000 live births |
| Infant mortality rate: | female: 39.4 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 68.44 years |
| Life expectancy at birth: | male: 67.54 years |
| Life expectancy at birth: | female: 69.38 years (2013 est.) |
| Total fertility rate: | 2.07 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 65.6% (2010) |
| Health expenditures: | 4.1% of GDP (2011) |
| Physicians density: | 0.07 physicians/1,000 population (2008) |
| Hospital bed density: | 1.8 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 94% of population |
| Drinking water source: | total: 96% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 6% of population |
| unimproved: | total: 4% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 73% of population |
| Sanitation facility access: | rural: 29% of population |
| Sanitation facility access: | total: 44% of population |
| unimproved: | urban: 27% of population |
| unimproved: | rural: 71% of population |
| unimproved: | total: 56% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 1,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2013) |
| Obesity - adult prevalence rate: | 5.3% (2008) |
| Children under the age of 5 years underweight: | 12.7% (2010) |
| Education expenditures: | 4.7% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 52.8% |
| Literacy: | male: 65% |
| Literacy: | female: 38.7% (2005 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2011) |
| Child labor - children ages 5-14: | total number: 25,801 |
| Child labor - children ages 5-14: | percentage: 18 % (2010 est.) |
| Unemployment, youth ages 15-24: | total: 9.4% |
| Unemployment, youth ages 15-24: | male: 6.8% |
| Unemployment, youth ages 15-24: | female: 10.9% (2011) |
