| People and Society | Singapore |
| --- | --- |
| Population: | 5,995,991 (July 2018 est.) |
| Nationality: | noun: Singaporean(s) |
| Nationality: | adjective: Singapore |
| Ethnic groups: | Chinese 74.3%, Malay 13.4%, Indian 9%, other 3.2% (2018 est.) |
| Ethnic groups: | note: individuals self-identify; the population is divided into four categories: Chinese, Malay (includes indigenous Malays and Indonesians), Indian (includes Indian, Pakistani, Bangladeshi, or Sri Lankan), and other ethnic groups (includes Eurasians, Caucasians, Japanese, Filipino, Vietnamese) |
| Languages: | English (official) 36.9%, Mandarin (official) 34.9%, other Chinese dialects (includes Hokkien, Cantonese, Teochew, Hakka) 12.2%, Malay (official) 10.7%, Tamil (official) 3.3%, other 2% (2015 est.) |
| Languages: | note: data represent language most frequently spoken at home |
| Religions: | Buddhist 33.2%, Christian 18.8%, Muslim 14%, Taoist 10%, Hindu 5%, other 0.6%, none 18.5% (2015 est.) |
| Age structure: | 0-14 years: 12.77% (male 391,714 /female 373,766) |
| Age structure: | 15-24 years: 16.05% (male 473,012 /female 489,553) |
| Age structure: | 25-54 years: 50.61% (male 1,476,528 /female 1,558,179) |
| Age structure: | 55-64 years: 10.53% (male 316,001 /female 315,648) |
| Age structure: | 65 years and over: 10.03% (male 274,863 /female 326,727) (2018 est.) |
| Dependency ratios: | total dependency ratio: 37.3 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 21.3 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 16 (2015 est.) |
| Dependency ratios: | potential support ratio: 6.2 (2015 est.) |
| Median age: | total: 34.9 years (2018 est.) |
| Median age: | male: 34.8 years |
| Median age: | female: 35.1 years |
| Population growth rate: | 1.79% (2018 est.) |
| Birth rate: | 8.7 births/1,000 population (2018 est.) |
| Death rate: | 3.5 deaths/1,000 population (2018 est.) |
| Net migration rate: | 12.7 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | most of the urbanization is along the southern coast, with relatively dense population clusters found in the central areas |
| Urbanization: | urban population: 100% of total population (2019) |
| Urbanization: | rate of urbanization: 1.39% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 5.868 million SINGAPORE (capital) (2019) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 0.97 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.84 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 30.5 years (2015 est.) |
| Mother's mean age at first birth: | median age |
| Maternal mortality rate: | 8 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 2.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 2.5 deaths/1,000 live births |
| Infant mortality rate: | female: 2.1 deaths/1,000 live births |
| Life expectancy at birth: | total population: 85.5 years (2018 est.) |
| Life expectancy at birth: | male: 82.8 years |
| Life expectancy at birth: | female: 88.3 years |
| Total fertility rate: | 0.84 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Current Health Expenditure: | 4.3% (2016) |
| Physicians density: | 2.31 physicians/1,000 population (2016) |
| Hospital bed density: | 2.4 beds/1,000 population (2015) |
| Sanitation facility access: | improved: urban: 100% of population (2015 est.) |
| Sanitation facility access: | total: 100% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0% of population (2015 est.) |
| Sanitation facility access: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 7,900 (2018 est.) |
| HIV/AIDS - deaths: | <100 (2018 est.) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 6.1% (2016) |
| Education expenditures: | 2.9% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97% |
| Literacy: | male: 98.7% |
| Literacy: | female: 95.4% (2016) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2016) |
| Unemployment, youth ages 15-24: | total: 9.1% |
| Unemployment, youth ages 15-24: | male: 6.2% |
| Unemployment, youth ages 15-24: | female: 12.5% (2016 est.) |
