| People and Society | Ethiopia |
| --- | --- |
| Nationality: | noun: Ethiopian(s) |
| Nationality: | adjective: Ethiopian |
| Ethnic groups: | Oromo 34.5%, Amhara (Amara) 26.9%, Somali (Somalie) 6.2%, Tigray (Tigrigna) 6.1%, Sidama 4%, Gurage 2.5%, Welaita 2.3%, Hadiya 1.7%, Afar (Affar) 1.7%, Gamo 1.5%, Gedeo 1.3%, other 11.3% (2007 Census) |
| Languages: | Oromo (official regional) 33.8%, Amharic (official) 29.3%, Somali 6.2%, Tigrayan (official regional) 5.9%, Sidamo 4%, Wolaytta 2.2%, Guragiegna 2%, Afar 1.7%, Hadiyya 1.7%, Gamo 1.5%, other 11.7%, English (official) (major foreign language taught in schools), Arabic (official) (2007 census) |
| Religions: | Ethiopian Orthodox 43.5%, Muslim 33.9%, Protestant 18.6%, traditional 2.6%, Catholic 0.7%, other 0.7% (2007 Census) |
| Population: | 93,877,025 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 44.4% (male 20,858,061/female 20,813,460) |
| Age structure: | 15-24 years: 19.9% (male 9,258,868/female 9,382,338) |
| Age structure: | 25-54 years: 29.1% (male 13,576,787/female 13,704,595) |
| Age structure: | 55-64 years: 3.9% (male 1,772,448/female 1,859,364) |
| Age structure: | 65 years and over: 2.8% (male 1,197,519/female 1,453,585) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 85.5 % |
| population pyramid: | youth dependency ratio: 79.2 % |
| population pyramid: | elderly dependency ratio: 6.3 % |
| population pyramid: | potential support ratio: 15.8 (2013) |
| Median age: | total: 17.5 years |
| Median age: | male: 17.3 years |
| Median age: | female: 17.6 years (2013 est.) |
| Population growth rate: | 2.9% (2013 est.) |
| Birth rate: | 38.07 births/1,000 population (2013 est.) |
| Death rate: | 8.87 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.23 migrant(s)/1,000 population |
| Net migration rate: | note: repatriation of Ethiopian refugees residing in Sudan is expected to continue for several years; some Sudanese, Somali, and Eritrean refugees, who fled to Ethiopia from the fighting or famine in their own countries, continue to return to their homes (2013 est.) |
| Urbanization: | urban population: 17% of total population (2011) |
| Urbanization: | rate of urbanization: 3.57% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ADDIS ABABA (capital) 2.863 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 19.6 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2011 est.) |
| Maternal mortality rate: | 350 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 58.28 deaths/1,000 live births |
| Infant mortality rate: | male: 66.58 deaths/1,000 live births |
| Infant mortality rate: | female: 49.73 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 60 years |
| Life expectancy at birth: | male: 57.73 years |
| Life expectancy at birth: | female: 62.35 years (2013 est.) |
| Total fertility rate: | 5.31 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 28.6% (2010/11) |
| Health expenditures: | 4.7% of GDP (2011) |
| Physicians density: | 0.03 physicians/1,000 population (2009) |
| Hospital bed density: | 6.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97% of population |
| Drinking water source: | rural: 34% of population |
| Drinking water source: | total: 44% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 66% of population |
| unimproved: | total: 56% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 29% of population |
| Sanitation facility access: | rural: 19% of population |
| Sanitation facility access: | total: 21% of population |
| unimproved: | urban: 71% of population |
| unimproved: | rural: 81% of population |
| unimproved: | total: 79% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: schistosomiasis (2013) |
| Obesity - adult prevalence rate: | 1.1% (2008) |
| Children under the age of 5 years underweight: | 29.2% (2011) |
| Education expenditures: | 4.7% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 39% |
| Literacy: | male: 49.1% |
| Literacy: | female: 28.9% (2007 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2011) |
| Child labor - children ages 5-14: | total number: 10,693,164 |
| Child labor - children ages 5-14: | percentage: 53 % (2005 est.) |
| Unemployment, youth ages 15-24: | total: 24.9% |
| Unemployment, youth ages 15-24: | male: 19.5% |
| Unemployment, youth ages 15-24: | female: 29.4% (2006) |
