| People and Society | Ethiopia |
| --- | --- |
| Nationality: | noun: Ethiopian(s) |
| Nationality: | adjective: Ethiopian |
| Ethnic groups: | Oromo 34.4%, Amhara (Amara) 27%, Somali (Somalie) 6.2%, Tigray (Tigrinya) 6.1%, Sidama 4%, Gurage 2.5%, Welaita 2.3%, Hadiya 1.7%, Afar (Affar) 1.7%, Gamo 1.5%, Gedeo 1.3%, Silte 1.3%, Kefficho 1.2%, other 10.5% (2007 est.) |
| Languages: | Oromo (official working language in the State of Oromiya) 33.8%, Amharic (official national language) 29.3%, Somali (official working language of the State of Sumale) 6.2%, Tigrigna (Tigrinya) (official working language of the State of Tigray) 5.9%, Sidamo 4%, Wolaytta 2.2%, Gurage 2%, Afar (official working language of the State of Afar) 1.7%, Hadiyya 1.7%, Gamo 1.5%, Gedeo 1.3%, Opuuo 1.2%, Kafa 1.1%, other 8.1%, English (major foreign language taught in schools), Arabic (2007 est.) |
| Religions: | Ethiopian Orthodox 43.5%, Muslim 33.9%, Protestant 18.5%, traditional 2.7%, Catholic 0.7%, other 0.6% (2007 est.) |
| Population: | 96,633,458 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.) |
| Age structure: | 0-14 years: 44.2% (male 21,376,243/female 21,308,454) |
| Age structure: | 15-24 years: 19.9% (male 9,557,462/female 9,692,275) |
| Age structure: | 25-54 years: 29.2% (male 14,023,218/female 14,176,263) |
| Age structure: | 55-64 years: 3.9% (male 1,826,602/female 1,919,212) |
| Age structure: | 65 years and over: 2.8% (male 1,242,171/female 1,511,558) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 83.5 % |
| population pyramid: | youth dependency ratio: 77.2 % |
| population pyramid: | elderly dependency ratio: 6.3 % |
| population pyramid: | potential support ratio: 15.8 (2014 est.) |
| Median age: | total: 17.6 years |
| Median age: | male: 17.4 years |
| Median age: | female: 17.7 years (2014 est.) |
| Population growth rate: | 2.89% (2014 est.) |
| Birth rate: | 37.66 births/1,000 population (2014 est.) |
| Death rate: | 8.52 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.23 migrant(s)/1,000 population |
| Net migration rate: | note: repatriation of Ethiopian refugees residing in Sudan is expected to continue for several years; some Sudanese, Somali, and Eritrean refugees, who fled to Ethiopia from the fighting or famine in their own countries, continue to return to their homes (2014 est.) |
| Urbanization: | urban population: 17% of total population (2011) |
| Urbanization: | rate of urbanization: 3.57% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ADDIS ABABA (capital) 2.979 million (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 19.6 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2011 est.) |
| Maternal mortality rate: | 350 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 55.77 deaths/1,000 live births |
| Infant mortality rate: | male: 63.77 deaths/1,000 live births |
| Infant mortality rate: | female: 47.53 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 60.75 years |
| Life expectancy at birth: | male: 58.43 years |
| Life expectancy at birth: | female: 63.15 years (2014 est.) |
| Total fertility rate: | 5.23 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 28.6% (2010/11) |
| Health expenditures: | 4.7% of GDP (2011) |
| Physicians density: | 0.03 physicians/1,000 population (2009) |
| Hospital bed density: | 6.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.8% of population |
| Drinking water source: | rural: 42.1% of population |
| Drinking water source: | total: 51.5% of population |
| unimproved: | urban: 3.2% of population |
| unimproved: | rural: 57.9% of population |
| unimproved: | total: 48.5% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 27.4% of population |
| Sanitation facility access: | rural: 22.8% of population |
| Sanitation facility access: | total: 23.6% of population |
| unimproved: | urban: 72.6% of population |
| unimproved: | rural: 77.2% of population |
| unimproved: | total: 76.4% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 1.3% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 758,600 (2012 est.) |
| HIV/AIDS - deaths: | 47,200 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: schistosomiasis (2013) |
| Obesity - adult prevalence rate: | 1.1% (2008) |
| Children under the age of 5 years underweight: | 29.2% (2011) |
| Education expenditures: | 4.7% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 39% |
| Literacy: | male: 49.1% |
| Literacy: | female: 28.9% (2007 est.) |
| School life expectancy (primary to tertiary education): | total: 7 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 6 years (2005) |
| Child labor - children ages 5-14: | total number: 10,693,164 |
| Child labor - children ages 5-14: | percentage: 53 % (2005 est.) |
| Unemployment, youth ages 15-24: | total: 24.9% |
| Unemployment, youth ages 15-24: | male: 19.5% |
| Unemployment, youth ages 15-24: | female: 29.4% (2006) |
