| People and Society | CAMEROON |
| --- | --- |
| Population: | 24,994,885 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.) |
| Nationality: | noun: Cameroonian(s) |
| Nationality: | adjective: Cameroonian |
| Ethnic groups: | Cameroon Highlanders 31%, Equatorial Bantu 19%, Kirdi 11%, Fulani 10%, Northwestern Bantu 8%, Eastern Nigritic 7%, other African 13%, non-African less than 1% |
| Languages: | 24 major African language groups, English (official), French (official) |
| Religions: | Roman Catholic 38.4%, Protestant 26.3%, other Christian 4.5%, Muslim 20.9%, animist 5.6%, other 1%, non-believer 3.2% (2005 est.) |
| Demographic profile: | Cameroon has a large youth population, with more than 60% of the populace under the age of 25. Fertility is falling but remains at a high level, especially among poor, rural, and uneducated women, in part because of inadequate access to contraception. Life expectancy remains low at about 55 years due to the prevalence of HIV and AIDs and an elevated maternal mortality rate, which has remained high since 1990. Cameroon, particularly the northern region, is vulnerable to food insecurity largely because of government mismanagement, corruption, high production costs, inadequate infrastructure, and natural disasters. Despite economic growth in some regions, poverty is on the rise, and is most prevalent in rural areas, which are especially affected by a shortage of jobs, declining incomes, poor school and health care infrastructure, and a lack of clean water and sanitation. Underinvestment in social safety nets and ineffective public financial management also contribute to Cameroon’s high rate of poverty. |
| Demographic profile: | International migration has been driven by unemployment (including fewer government jobs), poverty, the search for educational opportunities, and corruption. The US and Europe are preferred destinations, but, with tighter immigration restrictions in these countries, young Cameroonians are increasingly turning to neighboring states, such as Gabon and Nigeria, South Africa, other parts of Africa, and the Near and Far East. Cameroon’s limited resources make it dependent on UN support to host more than 320,000 refugees and asylum seekers as of September 2017. These refugees and asylum seekers are primarily from the Central African Republic and more recently Nigeria. |
| Age structure: | 0-14 years: 42.39% (male 5,337,879/female 5,257,026) |
| Age structure: | 15-24 years: 19.56% (male 2,456,061/female 2,432,500) |
| Age structure: | 25-54 years: 30.87% (male 3,880,906/female 3,835,107) |
| Age structure: | 55-64 years: 3.98% (male 485,059/female 509,649) |
| Age structure: | 65 years and over: 3.2% (male 372,415/female 428,283) (2017 est.) |
| Dependency ratios: | total dependency ratio: 85.9 |
| Dependency ratios: | youth dependency ratio: 80 |
| Dependency ratios: | elderly dependency ratio: 5.9 |
| Dependency ratios: | potential support ratio: 17 (2015 est.) |
| Median age: | total: 18.5 years |
| Median age: | male: 18.4 years |
| Median age: | female: 18.7 years (2017 est.) |
| Population growth rate: | 2.56% (2017 est.) |
| Birth rate: | 35.4 births/1,000 population (2017 est.) |
| Death rate: | 9.6 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.1 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population concentrated in the west and north, with the interior of the country sparsely populated |
| Urbanization: | urban population: 55.5% of total population (2017) |
| Urbanization: | rate of urbanization: 3.4% annual rate of change (2015-20 est.) |
| Major urban areas - population: | YAOUNDE (capital) 3.066 million; Douala 2.943 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
