| People and Society | CAMEROON |
| --- | --- |
| Population: | 24,360,803 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2016 est.) |
| Nationality: | noun: Cameroonian(s) |
| Nationality: | adjective: Cameroonian |
| Ethnic groups: | Cameroon Highlanders 31%, Equatorial Bantu 19%, Kirdi 11%, Fulani 10%, Northwestern Bantu 8%, Eastern Nigritic 7%, other African 13%, non-African less than 1% |
| Languages: | 24 major African language groups, English (official), French (official) |
| Religions: | Catholic 38.4%, Protestant 26.3%, other Christian 4.5%, Muslim 20.9%, animist 5.6%, other 1%, non-believer 3.2% (2005 est.) |
| Demographic profile: | Cameroon has a large youth population, with more than 60% of the populace under the age of 25. Fertility is falling but remains at a high level, especially among poor, rural, and uneducated women, in part because of inadequate access to contraception. Life expectancy remains low at about 55 years due to the prevalence of HIV and AIDs and an elevated maternal mortality rate, which has remained high since 1990. Cameroon, particularly the northern region, is vulnerable to food insecurity largely because of government mismanagement, corruption, high production costs, inadequate infrastructure, and natural disasters. Despite economic growth in some regions, poverty is on the rise, and is most prevalent in rural areas, which are especially affected by a shortage of jobs, declining incomes, poor school and health care infrastructure, and a lack of clean water and sanitation. Underinvestment in social safety nets and ineffective public financial management also contribute to Cameroon’s high rate of poverty. |
| Demographic profile: | International migration has been driven by unemployment (including fewer government jobs), poverty, the search for educational opportunities, and corruption. The US and Europe are preferred destinations, but, with tighter immigration restrictions in these countries, young Cameroonians are increasingly turning to neighboring states, such as Gabon and Nigeria, South Africa, other parts of Africa, and the Near and Far East. Cameroon’s limited resources make it dependent on UN support to host more than 300,000 refugees and asylum seekers. These refugees and asylum seekers are primarily from the Central African Republic and more recently Nigeria. |
| Age structure: | 0-14 years: 42.6% (male 5,228,047/female 5,149,228) |
| Age structure: | 15-24 years: 19.55% (male 2,393,598/female 2,368,557) |
| Age structure: | 25-54 years: 30.71% (male 3,762,054/female 3,718,266) |
| Age structure: | 55-64 years: 3.97% (male 471,306/female 495,462) |
| Age structure: | 65 years and over: 3.18% (male 360,386/female 413,899) (2016 est.) |
| Dependency ratios: | total dependency ratio: 84.3% |
| Dependency ratios: | youth dependency ratio: 78.4% |
| Dependency ratios: | elderly dependency ratio: 5.9% |
| Dependency ratios: | potential support ratio: 16.9% (2015 est.) |
| Median age: | total: 18.5 years |
| Median age: | male: 18.4 years |
| Median age: | female: 18.6 years (2016 est.) |
