| People and Society | Tanzania |
| --- | --- |
| Nationality: | noun: Tanzanian(s) |
| Nationality: | adjective: Tanzanian |
| Ethnic groups: | mainland - African 99% (of which 95% are Bantu consisting of more than 130 tribes), other 1% (consisting of Asian, European, and Arab); Zanzibar - Arab, African, mixed Arab and African |
| Languages: | Kiswahili or Swahili (official), Kiunguja (name for Swahili in Zanzibar), English (official, primary language of commerce, administration, and higher education), Arabic (widely spoken in Zanzibar), many local languages |
| Languages: | note: Kiswahili (Swahili) is the mother tongue of the Bantu people living in Zanzibar and nearby coastal Tanzania; although Kiswahili is Bantu in structure and origin, its vocabulary draws on a variety of sources including Arabic and English; it has become the lingua franca of central and eastern Africa; the first language of most people is one of the local languages |
| Religions: | mainland - Christian 30%, Muslim 35%, indigenous beliefs 35%; Zanzibar - more than 99% Muslim |
| Population: | 46,912,768 (July 2012 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 45% (male 10,646,436/ female 10,461,674) |
| Age structure: | 15-64 years: 52.1% (male 12,110,684/ female 12,329,951) |
| Age structure: | 65 years and over: 2.9% (male 590,927/ female 773,096) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 18.7 years |
| Median age: | male: 18.5 years |
| Median age: | female: 19 years (2012 est.) |
| Population growth rate: | 2.85% (2012 est.) |
| Birth rate: | 37.7 births/1,000 population (2012 est.) |
| Death rate: | 8.6 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | -0.29 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 26% of total population (2010) |
| Urbanization: | rate of urbanization: 4.7% annual rate of change (2010-15 est.) |
| Major cities - population: | DAR ES SALAAM (capital) 3.207 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2011 est.) |
| Maternal mortality rate: | 460 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 46.5 deaths/1,000 live births |
| Infant mortality rate: | male: 48.5 deaths/1,000 live births |
| Infant mortality rate: | female: 44.4 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 53.14 years |
| Life expectancy at birth: | male: 51.62 years |
| Life expectancy at birth: | female: 54.7 years (2012 est.) |
| Total fertility rate: | 5.08 children born/woman (2012 est.) |
| Health expenditures: | 5.1% of GDP (2009) |
| Physicians density: | 0.008 physicians/1,000 population (2006) |
| Hospital bed density: | 1.1 beds/1,000 population (2006) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 32% of population |
| Sanitation facility access: | rural: 21% of population |
| Sanitation facility access: | total: 24% of population |
| unimproved: | urban: 68% of population |
| unimproved: | rural: 79% of population |
| unimproved: | total: 76% of population |
| HIV/AIDS - adult prevalence rate: | 5.6% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.4 million (2009 est.) |
| HIV/AIDS - deaths: | 86,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and plague |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 16.7% (2005) |
| Education expenditures: | 6.8% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write Kiswahili (Swahili), English, or Arabic |
| Literacy: | total population: 69.4% |
| Literacy: | male: 77.5% |
| Literacy: | female: 62.2% (2002 census) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2007) |
| Unemployment, youth ages 15-24: | total: 8.8% |
| Unemployment, youth ages 15-24: | male: 7.4% |
| Unemployment, youth ages 15-24: | female: 10.1% (2005) |
