| People | Tanzania |
| --- | --- |
| Population: | 41,892,895 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2010 est.) |
| Age structure: | 0-14 years: 43% (male 8,853,529/female 8,805,810) |
| Age structure: | 15-64 years: 54.1% (male 10,956,133/female 11,255,868) |
| Age structure: | 65 years and over: 2.9% (male 513,959/female 663,233) (2010 est.) |
| Median age: | total: 18.3 years |
| Median age: | male: 18 years |
| Median age: | female: 18.5 years (2010 est.) |
| Population growth rate: | 2.032% (2010 est.) |
| Birth rate: | 33.44 births/1,000 population (2010 est.) |
| Death rate: | 12.31 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | -0.81 migrant(s)/1,000 population (2010 est.) |
| Urbanization: | urban population: 25% of total population (2008) |
| Urbanization: | rate of urbanization: 4.2% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 68.13 deaths/1,000 live births |
| Infant mortality rate: | male: 75 deaths/1,000 live births |
| Infant mortality rate: | female: 61.05 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 52.49 years |
| Life expectancy at birth: | male: 50.99 years |
| Life expectancy at birth: | female: 54.03 years (2010 est.) |
| Total fertility rate: | 4.31 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 6.2% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.4 million (2007 est.) |
| HIV/AIDS - deaths: | 96,000 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and plague |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Nationality: | noun: Tanzanian(s) |
| Nationality: | adjective: Tanzanian |
| Ethnic groups: | mainland - African 99% (of which 95% are Bantu consisting of more than 130 tribes), other 1% (consisting of Asian, European, and Arab); Zanzibar - Arab, African, mixed Arab and African |
| Religions: | mainland - Christian 30%, Muslim 35%, indigenous beliefs 35%; Zanzibar - more than 99% Muslim |
| Languages: | Kiswahili or Swahili (official), Kiunguja (name for Swahili in Zanzibar), English (official, primary language of commerce, administration, and higher education), Arabic (widely spoken in Zanzibar), many local languages |
| Languages: | note: Kiswahili (Swahili) is the mother tongue of the Bantu people living in Zanzibar and nearby coastal Tanzania; although Kiswahili is Bantu in structure and origin, its vocabulary draws on a variety of sources including Arabic and English; it has become the lingua franca of central and eastern Africa; the first language of most people is one of the local languages |
| Literacy: | definition: age 15 and over can read and write Kiswahili (Swahili), English, or Arabic |
| Literacy: | total population: 69.4% |
| Literacy: | male: 77.5% |
| Literacy: | female: 62.2% (2002 census) |
| School life expectancy (primary to tertiary education): | total: 5 years |
| School life expectancy (primary to tertiary education): | male: 5 years |
| School life expectancy (primary to tertiary education): | female: 5 years (1999) |
| Education expenditures: | 6.8% of GDP (2008) |
