| People and Society | Tanzania |
| --- | --- |
| Nationality: | noun: Tanzanian(s) |
| Nationality: | adjective: Tanzanian |
| Ethnic groups: | mainland - African 99% (of which 95% are Bantu consisting of more than 130 tribes), other 1% (consisting of Asian, European, and Arab); Zanzibar - Arab, African, mixed Arab and African |
| Languages: | Kiswahili or Swahili (official), Kiunguja (name for Swahili in Zanzibar), English (official, primary language of commerce, administration, and higher education), Arabic (widely spoken in Zanzibar), many local languages |
| Languages: | note: Kiswahili (Swahili) is the mother tongue of the Bantu people living in Zanzibar and nearby coastal Tanzania; although Kiswahili is Bantu in structure and origin, its vocabulary draws on a variety of sources including Arabic and English; it has become the lingua franca of central and eastern Africa; the first language of most people is one of the local languages |
| Religions: | mainland - Christian 30%, Muslim 35%, indigenous beliefs 35%; Zanzibar - more than 99% Muslim |
| Population: | 49,639,138 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.) |
| Age structure: | 0-14 years: 44.6% (male 11,173,655/female 10,962,186) |
| Age structure: | 15-24 years: 19.5% (male 4,838,216/female 4,841,338) |
| Age structure: | 25-54 years: 29.5% (male 7,340,129/female 7,289,483) |
| Age structure: | 55-64 years: 3.5% (male 745,214/female 985,524) |
| Age structure: | 65 years and over: 2.9% (male 629,483/female 833,910) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 92.4 % |
| population pyramid: | youth dependency ratio: 86.1 % |
| population pyramid: | elderly dependency ratio: 6.2 % |
| population pyramid: | potential support ratio: 16.1 (2014 est.) |
| Median age: | total: 17.4 years |
| Median age: | male: 17.1 years |
| Median age: | female: 17.7 years (2014 est.) |
| Population growth rate: | 2.8% (2014 est.) |
| Birth rate: | 36.82 births/1,000 population (2014 est.) |
| Death rate: | 8.2 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.57 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 26.7% of total population (2011) |
| Urbanization: | rate of urbanization: 4.77% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DAR ES SALAAM (capital) 3.588 million (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 19.6 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2010 est.) |
| Maternal mortality rate: | 460 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 43.74 deaths/1,000 live births |
| Infant mortality rate: | male: 45.78 deaths/1,000 live births |
| Infant mortality rate: | female: 41.64 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 61.24 years |
| Life expectancy at birth: | male: 59.91 years |
| Life expectancy at birth: | female: 62.62 years (2014 est.) |
| Total fertility rate: | 4.95 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 34.4% (2009/10) |
| Health expenditures: | 7.3% of GDP (2011) |
| Physicians density: | 0.01 physicians/1,000 population (2006) |
| Hospital bed density: | 0.7 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 77.9% of population |
| Drinking water source: | rural: 44% of population |
| Drinking water source: | total: 53.2% of population |
| unimproved: | urban: 22.1% of population |
| unimproved: | rural: 56% of population |
| unimproved: | total: 46.8% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 24.9% of population |
| Sanitation facility access: | rural: 7.5% of population |
| Sanitation facility access: | total: 12.2% of population |
| unimproved: | urban: 75.1% of population |
| unimproved: | rural: 92.5% of population |
| unimproved: | total: 87.8% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 5.1% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,472,400 (2012 est.) |
| HIV/AIDS - deaths: | 80,000 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and Rift Valley fever |
| Major infectious diseases: | water contact diseases: schistosomiasis and leptospirosis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 5% (2008) |
| Children under the age of 5 years underweight: | 16.2% (2010) |
| Education expenditures: | 6.2% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write Kiswahili (Swahili), English, or Arabic |
| Literacy: | total population: 67.8% |
| Literacy: | male: 75.5% |
| Literacy: | female: 60.8% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2012) |
| Child labor - children ages 5-14: | total number: 2,815,085 |
| Child labor - children ages 5-14: | percentage: 21 % |
| Child labor - children ages 5-14: | note: data represents children ages 5-17 and does not in (2006 est.) |
| Unemployment, youth ages 15-24: | total: 7.1% (2011) |
