| People and Society | PAKISTAN |
| --- | --- |
| Nationality: | noun: Pakistani(s) |
| Nationality: | adjective: Pakistani |
| Ethnic groups: | Punjabi 44.68%, Pashtun (Pathan) 15.42%, Sindhi 14.1%, Sariaki 8.38%, Muhajirs 7.57%, Balochi 3.57%, other 6.28% |
| Languages: | Punjabi 48%, Sindhi 12%, Saraiki (a Punjabi variant) 10%, Pashto (alternate name, Pashtu) 8%, Urdu (official) 8%, Balochi 3%, Hindko 2%, Brahui 1%, English (official; lingua franca of Pakistani elite and most government ministries), Burushaski, and other 8% |
| Religions: | Muslim (official) 96.4% (Sunni 85-90%, Shia 10-15%), other (includes Christian and Hindu) 3.6% (2010 est.) |
| Population: | 199,085,847 (July 2015 est.) |
| Age structure: | 0-14 years: 32.65% (male 33,396,847/female 31,611,641) |
| Age structure: | 15-24 years: 21.44% (male 22,016,207/female 20,673,562) |
| Age structure: | 25-54 years: 36.28% (male 37,526,930/female 34,701,271) |
| Age structure: | 55-64 years: 5.28% (male 5,254,347/female 5,253,526) |
| Age structure: | 65 years and over: 4.35% (male 4,036,727/female 4,614,789) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 65.3% |
| population pyramid: | youth dependency ratio: 57.9% |
| population pyramid: | elderly dependency ratio: 7.4% |
| population pyramid: | potential support ratio: 13.5% (2015 est.) |
| Median age: | total: 22.6 years |
| Median age: | male: 22.6 years |
| Median age: | female: 22.6 years (2014 est.) |
| Population growth rate: | 1.46% (2015 est.) |
| Birth rate: | 22.58 births/1,000 population (2015 est.) |
| Death rate: | 6.49 deaths/1,000 population (2015 est.) |
| Net migration rate: | -1.54 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 38.8% of total population (2015) |
| Urbanization: | rate of urbanization: 2.81% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Karachi 16.618 million; Lahore 8.741 million; Faisalabad 3.567 million; Rawalpindi 2.506 million; Multan 1.921 million; ISLAMABAD (capital) 1.365 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.08 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 1.06 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 55.67 deaths/1,000 live births |
| Infant mortality rate: | male: 58.84 deaths/1,000 live births |
| Infant mortality rate: | female: 52.35 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 67.39 years |
| Life expectancy at birth: | male: 65.47 years |
| Life expectancy at birth: | female: 69.4 years (2015 est.) |
| Total fertility rate: | 2.75 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 35.4% (2012/13) |
| Health expenditures: | 2.8% of GDP (2013) |
| Physicians density: | 0.83 physicians/1,000 population (2010) |
| Hospital bed density: | 0.6 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93.9% of population |
| Drinking water source: | rural: 89.9% of population |
| Drinking water source: | total: 91.4% of population |
| unimproved: | urban: 6.1% of population |
| unimproved: | rural: 10.1% of population |
| unimproved: | total: 8.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 83.1% of population |
| Sanitation facility access: | rural: 51.1% of population |
| Sanitation facility access: | total: 63.5% of population |
| unimproved: | urban: 16.9% of population |
| unimproved: | rural: 48.9% of population |
| unimproved: | total: 36.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.07% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 68,000 (2013 est.) |
| HIV/AIDS - deaths: | 2,200 (2013 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 4.8% (2014) |
| Children under the age of 5 years underweight: | 31.6% (2013) |
| Education expenditures: | 2.5% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 57.9% |
| Literacy: | male: 69.5% |
| Literacy: | female: 45.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2013) |
| Unemployment, youth ages 15-24: | total: 7.7% |
| Unemployment, youth ages 15-24: | male: 7% |
| Unemployment, youth ages 15-24: | female: 10.5% (2008 est.) |
