| People and Society | IRELAND |
| --- | --- |
| Nationality: | noun: Irishman(men), Irishwoman(women), Irish (collective plural) |
| Nationality: | adjective: Irish |
| Ethnic groups: | Irish 84.5%, other white 9.8%, Asian 1.9%, black 1.4%, mixed and other 0.9%, unspecified 1.6% (2011 est.) |
| Languages: | English (official, the language generally used), Irish (Gaelic or Gaeilge) (official, spoken by approximately 38.7% of the population as a first or second language in 2011; mainly spoken in areas along the western coast) |
| Religions: | Roman Catholic 84.7%, Church of Ireland 2.7%, other Christian 2.7%, Muslim 1.1%, other 1.7%, unspecified 1.5%, none 5.7% (2011 est.) |
| Population: | 4,892,305 (July 2015 est.) |
| Age structure: | 0-14 years: 21.5% (male 537,239/female 514,369) |
| Age structure: | 15-24 years: 11.84% (male 294,771/female 284,710) |
| Age structure: | 25-54 years: 43.82% (male 1,076,579/female 1,067,193) |
| Age structure: | 55-64 years: 10.23% (male 250,926/female 249,453) |
| Age structure: | 65 years and over: 12.61% (male 284,399/female 332,666) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 53.7% |
| population pyramid: | youth dependency ratio: 33.5% |
| population pyramid: | elderly dependency ratio: 20.2% |
| population pyramid: | potential support ratio: 5% (2015 est.) |
| Median age: | total: 36.1 years |
| Median age: | male: 35.8 years |
| Median age: | female: 36.4 years (2015 est.) |
| Population growth rate: | 1.25% (2015 est.) |
| Birth rate: | 14.84 births/1,000 population (2015 est.) |
| Death rate: | 6.48 deaths/1,000 population (2015 est.) |
| Net migration rate: | 4.09 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 63.2% of total population (2015) |
| Urbanization: | rate of urbanization: 1.58% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DUBLIN (capital) 1.169 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2015 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.7 deaths/1,000 live births |
| Infant mortality rate: | male: 4.07 deaths/1,000 live births |
| Infant mortality rate: | female: 3.32 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 80.68 years |
| Life expectancy at birth: | male: 78.39 years |
| Life expectancy at birth: | female: 83.11 years (2015 est.) |
| Total fertility rate: | 1.99 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 64.8% |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 (2004/05) |
| Health expenditures: | 8.9% of GDP (2013) |
| Physicians density: | 2.67 physicians/1,000 population (2013) |
| Hospital bed density: | 2.9 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.9% of population |
| Drinking water source: | rural: 97.8% of population |
| Drinking water source: | total: 97.9% of population |
| unimproved: | urban: 2.1% of population |
| unimproved: | rural: 2.2% of population |
| unimproved: | total: 2.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 89.1% of population |
| Sanitation facility access: | rural: 92.9% of population |
| Sanitation facility access: | total: 90.5% of population |
| unimproved: | urban: 10.9% of population |
| unimproved: | rural: 7.1% of population |
| unimproved: | total: 9.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.28% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,000 (2014 est.) |
| HIV/AIDS - deaths: | 100 (2014 est.) |
| Obesity - adult prevalence rate: | 27% (2014) |
| Education expenditures: | 6.2% of GDP (2011) |
| School life expectancy (primary to tertiary education): | total: 19 years |
| School life expectancy (primary to tertiary education): | male: 19 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2012) |
| Unemployment, youth ages 15-24: | total: 24% |
| Unemployment, youth ages 15-24: | male: 36.4% |
| Unemployment, youth ages 15-24: | female: 24% (2012 est.) |
