| People and Society | British Virgin Islands |
| --- | --- |
| Nationality: | noun: British Virgin Islander(s) |
| Nationality: | adjective: British Virgin Islander |
| Ethnic groups: | black 82%, white 6.8%, other 11.2% (includes Indian and mixed) (2008) |
| Languages: | English (official) |
| Religions: | Protestant 84% (Methodist 33%, Anglican 17%, Church of God 9%, Seventh-Day Adventist 6%, Baptist 4%, other 15%), Roman Catholic 10%, Jehovah's Witnesses 2%, other 2%, none 2% (1991) |
| Population: | 25,383 (July 2011 est.) |
| Age structure: | 0-14 years: 19.6% (male 2,526/female 2,457) |
| Age structure: | 15-64 years: 74.1% (male 9,631/female 9,174) |
| Age structure: | 65 years and over: 6.3% (male 827/female 768) (2011 est.) |
| Median age: | total: 32.9 years |
| Median age: | male: 32.9 years |
| Median age: | female: 32.8 years (2011 est.) |
| Population growth rate: | 1.741% (2011 est.) |
| Birth rate: | 14.5 births/1,000 population (2011 est.) |
| Death rate: | 4.49 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 7.41 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 41% of total population (2010) |
| Urbanization: | rate of urbanization: 1.7% annual rate of change (2010-15 est.) |
| Major cities - population: | ROAD TOWN (capital) 9,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.03 male(s)/female |
| Sex ratio: | 15-64 years: 1.05 male(s)/female |
| Sex ratio: | 65 years and over: 1.07 male(s)/female |
| Sex ratio: | total population: 1.05 male(s)/female (2011 est.) |
| Infant mortality rate: | total: 13.63 deaths/1,000 live births |
| Infant mortality rate: | male: 15.47 deaths/1,000 live births |
| Infant mortality rate: | female: 11.71 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 77.63 years |
| Life expectancy at birth: | male: 76.32 years |
| Life expectancy at birth: | female: 78.99 years (2011 est.) |
| Total fertility rate: | 1.71 children born/woman (2011 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98% of population |
| Drinking water source: | rural: 98% of population |
| Drinking water source: | total: 98% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 2% of population |
| unimproved: | total: 2% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population (2008) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 3.2% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.8% |
| Literacy: | male: NA |
| Literacy: | female: NA (1991 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2009) |
