| People and Society | British Virgin Islands |
| --- | --- |
| Population: | 37,381 (July 2020 est.) |
| Nationality: | noun: British Virgin Islander(s) |
| Nationality: | adjective: British Virgin Islander |
| Ethnic groups: | African/Black 76.3%, Latino 5.5%, White 5.4%, mixed 5.3%, Indian 2.1%, East Indian 1.6%, other 3%, unspecified 0.8% (2010 est.) |
| Languages: | English (official) |
| Religions: | Protestant 70.2% (Methodist 17.6%, Church of God 10.4%, Anglican 9.5%, Seventh Day Adventist 9.0%, Pentecostal 8.2%, Baptist 7.4%, New Testament Church of God 6.9%, other Protestant 1.2%), Roman Catholic 8.9%, Jehovah's Witness 2.5%, Hindu 1.9%, other 6.2%, none 7.9%, unspecified 2.4% (2010 est.) |
| Age structure: | 0-14 years: 16.59% (male 3,060/female 3,142) |
| Age structure: | 15-24 years: 12.53% (male 2,240/female 2,445) |
| Age structure: | 25-54 years: 48.27% (male 8,424/female 9,620) |
| Age structure: | 55-64 years: 12.51% (male 2,261/female 2,416) |
| Age structure: | 65 years and over: 10.09% (male 1,808/female 1,965) (2020 est.) |
| Median age: | total: 37.2 years |
| Median age: | male: 37 years |
| Median age: | female: 37.5 years (2020 est.) |
| Population growth rate: | 2.14% (2020 est.) |
| Birth rate: | 11.1 births/1,000 population (2020 est.) |
| Death rate: | 5.4 deaths/1,000 population (2020 est.) |
| Net migration rate: | 15.5 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | a fairly even distribution throughout the inhabited islands, with the largest islands of Tortola, Anegada, Virgin Gorda, and Jost Van Dyke having the largest populations |
| Urbanization: | urban population: 48.5% of total population (2020) |
| Urbanization: | rate of urbanization: 2.42% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 15,000 ROAD TOWN (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 0.97 male(s)/female |
| Sex ratio: | 15-24 years: 0.92 male(s)/female |
| Sex ratio: | 25-54 years: 0.88 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.92 male(s)/female |
| Sex ratio: | total population: 0.91 male(s)/female (2020 est.) |
| Infant mortality rate: | total: 11 deaths/1,000 live births |
| Infant mortality rate: | male: 12.5 deaths/1,000 live births |
| Infant mortality rate: | female: 9.4 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 79.2 years |
| Life expectancy at birth: | male: 77.7 years |
| Life expectancy at birth: | female: 80.8 years (2020 est.) |
| Total fertility rate: | 1.33 children born/woman (2020 est.) |
| Drinking water source: | improved: total: 100% of population |
| Drinking water source: | unimproved: total: 0% of population (2017 est.) |
| Sanitation facility access: | improved: urban: 97.5% of population |
| Sanitation facility access: | rural: 97.5% of population |
| Sanitation facility access: | total: 97.5% of population |
| Sanitation facility access: | unimproved: urban: 2.5% of population |
| Sanitation facility access: | rural: 2.5% of population |
| Sanitation facility access: | total: 2.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 2.5% of GDP (2018) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years NA |
| School life expectancy (primary to tertiary education): | female: 12 years NA (2018) |
