| People and Society | British Virgin Islands |
| --- | --- |
| Population: | 35,802 (July 2018 est.) |
| Nationality: | noun: British Virgin Islander(s) |
| Nationality: | adjective: British Virgin Islander |
| Ethnic groups: | African/black 76.3%, Latino 5.5%, white 5.4%, mixed 5.3%, Indian 2.1%, East Indian 1.6%, other 3%, unspecified 0.8% (2010 est.) |
| Languages: | English (official) |
| Religions: | Protestant 70.2% (Methodist 17.6%, Church of God 10.4%, Anglican 9.5%, Seventh Day Adventist 9.0%, Pentecostal 8.2%, Baptist 7.4%, New Testament Church of God 6.9%, other Protestant 1.2%), Roman Catholic 8.9%, Jehovah's Witness 2.5%, Hindu 1.9%, other 6.2%, none 7.9%, unspecified 2.4% (2010 est.) |
| Age structure: | 0-14 years: 16.72% (male 2,949 /female 3,036) |
| Age structure: | 15-24 years: 12.98% (male 2,223 /female 2,425) |
| Age structure: | 25-54 years: 49.05% (male 8,230 /female 9,330) |
| Age structure: | 55-64 years: 11.93% (male 2,073 /female 2,199) |
| Age structure: | 65 years and over: 9.32% (male 1,611 /female 1,726) (2018 est.) |
| Median age: | total: 36.7 years (2018 est.) |
| Median age: | male: 36.5 years |
| Median age: | female: 36.9 years |
| Population growth rate: | 2.2% (2018 est.) |
| Birth rate: | 11.1 births/1,000 population (2018 est.) |
| Death rate: | 5.2 deaths/1,000 population (2018 est.) |
| Net migration rate: | 16.1 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | a fairly even distribution throughout the inhabited islands, with the largest islands of Tortola, Anegada, Virgin Gorda, and Jost Van Dyke having the largest populations |
| Urbanization: | urban population: 48.1% of total population (2019) |
| Urbanization: | rate of urbanization: 2.42% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 15,000 ROAD TOWN (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 0.97 male(s)/female |
| Sex ratio: | 15-24 years: 0.92 male(s)/female |
| Sex ratio: | 25-54 years: 0.88 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.93 male(s)/female |
| Sex ratio: | total population: 0.91 male(s)/female (2018 est.) |
| Infant mortality rate: | total: 11.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 13.4 deaths/1,000 live births |
| Infant mortality rate: | female: 10 deaths/1,000 live births |
| Life expectancy at birth: | total population: 78.9 years (2018 est.) |
| Life expectancy at birth: | male: 77.5 years |
| Life expectancy at birth: | female: 80.4 years |
| Total fertility rate: | 1.3 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 98% of population |
| Drinking water source: | rural: 98% of population |
| Drinking water source: | total: 98% of population |
| Drinking water source: | unimproved: urban: 2% of population |
| Drinking water source: | rural: 2% of population |
| Drinking water source: | total: 2% of population (2010 est.) |
| Sanitation facility access: | improved: urban: 97.5% of population (2015 est.) |
| Sanitation facility access: | rural: 97.5% of population (2015 est.) |
| Sanitation facility access: | total: 97.5% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 2.5% of population (2015 est.) |
| Sanitation facility access: | rural: 2.5% of population (2015 est.) |
| Sanitation facility access: | total: 2.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 3.2% of GDP (2017) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: NA |
| School life expectancy (primary to tertiary education): | female: NA (2015) |
