| People and Society | GUERNSEY |
| --- | --- |
| Population: | 66,502 (July 2017 est.) |
| Nationality: | noun: Channel Islander(s) |
| Nationality: | adjective: Channel Islander |
| Ethnic groups: | British and Norman-French descent with small percentages from other European countries |
| Languages: | English, French, Norman-French dialect spoken in country districts |
| Religions: | Protestant (Anglican, Presbyterian, Baptist, Congregational, Methodist), Roman Catholic |
| Age structure: | 0-14 years: 14.51% (male 4,984/female 4,665) |
| Age structure: | 15-24 years: 11.13% (male 3,780/female 3,620) |
| Age structure: | 25-54 years: 41.67% (male 13,995/female 13,719) |
| Age structure: | 55-64 years: 13.11% (male 4,332/female 4,387) |
| Age structure: | 65 years and over: 19.58% (male 5,929/female 7,091) (2017 est.) |
| Dependency ratios: | total dependency ratio: 47.1 |
| Dependency ratios: | youth dependency ratio: 21.6 |
| Dependency ratios: | elderly dependency ratio: 25.4 |
| Dependency ratios: | potential support ratio: 3.9 |
| Dependency ratios: | note: data represent the Guernsey and Jersey (2015 est.) |
| Median age: | total: 43.8 years |
| Median age: | male: 42.5 years |
| Median age: | female: 45.1 years (2017 est.) |
| Population growth rate: | 0.3% (2017 est.) |
| Birth rate: | 9.8 births/1,000 population (2017 est.) |
| Death rate: | 9 deaths/1,000 population (2017 est.) |
| Net migration rate: | 2.2 migrant(s)/1,000 population (2017 est.) |
| Urbanization: | urban population: 31.7% of total population (2017) |
| Urbanization: | rate of urbanization: 0.86% annual rate of change (2015-20 est.) |
| Urbanization: | note: data are for Guernsey and Jersey |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 3.4 deaths/1,000 live births |
| Infant mortality rate: | male: 3.7 deaths/1,000 live births |
| Infant mortality rate: | female: 3.1 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 82.6 years |
| Life expectancy at birth: | male: 79.9 years |
| Life expectancy at birth: | female: 85.4 years (2017 est.) |
| Total fertility rate: | 1.56 children born/woman (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
