| People and Society | Egypt |
| --- | --- |
| Nationality: | noun: Egyptian(s) |
| Nationality: | adjective: Egyptian |
| Ethnic groups: | Egyptian 99.6%, other 0.4% (2006 census) |
| Languages: | Arabic (official), English and French widely understood by educated classes |
| Religions: | Muslim (mostly Sunni) 90%, Coptic 9%, other Christian 1% |
| Population: | 82,079,636 (July 2011 est.) |
| Age structure: | 0-14 years: 32.7% (male 13,725,282/female 13,112,157) |
| Age structure: | 15-64 years: 62.8% (male 26,187,921/female 25,353,947) |
| Age structure: | 65 years and over: 4.5% (male 1,669,313/female 2,031,016) (2011 est.) |
| Median age: | total: 24.3 years |
| Median age: | male: 24 years |
| Median age: | female: 24.6 years (2011 est.) |
| Population growth rate: | 1.96% (2011 est.) |
| Birth rate: | 24.63 births/1,000 population (2011 est.) |
| Death rate: | 4.82 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -0.21 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 43.4% of total population (2010) |
| Urbanization: | rate of urbanization: 2.1% annual rate of change (2010-15 est.) |
| Major cities - population: | CAIRO (capital) 10.902 million; Alexandria 4.387 million (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2011 est.) |
| Maternal mortality rate: | 82 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 25.2 deaths/1,000 live births |
| Infant mortality rate: | male: 26.8 deaths/1,000 live births |
| Infant mortality rate: | female: 23.52 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 72.66 years |
| Life expectancy at birth: | male: 70.07 years |
| Life expectancy at birth: | female: 75.38 years (2011 est.) |
| Total fertility rate: | 2.97 children born/woman (2011 est.) |
| Health expenditures: | 6.4% of GDP (2009) |
| Physicians density: | 2.83 physicians/1,000 population (2009) |
| Hospital bed density: | 1.7 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 98% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 4% of population |
| unimproved: | total: 1% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97% of population |
| Sanitation facility access: | rural: 92% of population |
| Sanitation facility access: | total: 94% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 8% of population |
| unimproved: | total: 6% of population (2008) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 11,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: Rift Valley fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Obesity - adult prevalence rate: | 30.3% (2006) |
| Children under the age of 5 years underweight: | 6.8% (2008) |
| Education expenditures: | 3.8% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 71.4% |
| Literacy: | male: 83% |
| Literacy: | female: 59.4% (2005 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2004) |
| Unemployment, youth ages 15-24: | total: 24.8% |
| Unemployment, youth ages 15-24: | male: 17.2% |
| Unemployment, youth ages 15-24: | female: 47.9% (2007) |
