| People and Society | Egypt |
| --- | --- |
| Population: | 104,124,440 (July 2020 est.) |
| Nationality: | noun: Egyptian(s) |
| Nationality: | adjective: Egyptian |
| Ethnic groups: | Egyptian 99.7%, other 0.3% (2006 est.) |
| Ethnic groups: | note: data represent respondents by nationality |
| Languages: | Arabic (official), Arabic, English, and French widely understood by educated classes |
| Religions: | Muslim (predominantly Sunni) 90%, Christian (majority Coptic Orthodox, other Christians include Armenian Apostolic, Catholic, Maronite, Orthodox, and Anglican) 10% (2015 est.) |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Demographic profile: | Egypt is the most populous country in the Arab world and the third most populous country in Africa, behind Nigeria and Ethiopia. Most of the country is desert, so about 95% of the population is concentrated in a narrow strip of fertile land along the Nile River, which represents only about 5% of Egyptâ€™s land area. Egyptâ€™s rapid population growth â€“ 46% between 1994 and 2014 â€“ stresses limited natural resources, jobs, housing, sanitation, education, and health care. |
| Demographic profile: | Although the countryâ€™s total fertility rate (TFR) fell from roughly 5.5 children per woman in 1980 to just over 3 in the late 1990s, largely as a result of state-sponsored family planning programs, the population growth rate dropped more modestly because of decreased mortality rates and longer life expectancies. During the last decade, Egyptâ€™s TFR decline stalled for several years and then reversed, reaching 3.6 in 2011, and has plateaued the last few years. Contraceptive use has held steady at about 60%, while preferences for larger families and early marriage may have strengthened in the wake of the recent 2011 revolution. The large cohort of women of or nearing childbearing age will sustain high population growth for the foreseeable future (an effect called population momentum). |
| Demographic profile: | Nevertheless, post-MUBARAK governments have not made curbing population growth a priority. To increase contraceptive use and to prevent further overpopulation will require greater government commitment and substantial social change, including encouraging smaller families and better educating and empowering women. Currently, literacy, educational attainment, and labor force participation rates are much lower for women than men. In addition, the prevalence of violence against women, the lack of female political representation, and the perpetuation of the nearly universal practice of female genital cutting continue to keep women from playing a more significant role in Egyptâ€™s public sphere. |
| Demographic profile: | Population pressure, poverty, high unemployment, and the fragmentation of inherited land holdings have historically motivated Egyptians, primarily young men, to migrate internally from rural and smaller urban areas in the Nile Delta region and the poorer rural south to Cairo, Alexandria, and other urban centers in the north, while a much smaller number migrated to the Red Sea and Sinai areas. Waves of forced internal migration also resulted from the 1967 Arab-Israeli War and the floods caused by the completion of the Aswan High Dam in 1970. Limited numbers of students and professionals emigrated temporarily prior to the early 1970s, when economic problems and high unemployment pushed the Egyptian Government to lift restrictions on labor migration. At the same time, high oil revenues enabled Saudi Arabia, Iraq, and other Gulf states, as well as Libya and Jordan, to fund development projects, creating a demand for unskilled labor (mainly in construction), which attracted tens of thousands of young Egyptian men. |
| Demographic profile: | Between 1970 and 1974 alone, Egyptian migrants in the Gulf countries increased from approximately 70,000 to 370,000. Egyptian officials encouraged legal labor migration both to alleviate unemployment and to generate remittance income (remittances continue to be one of Egyptâ€™s largest sources of foreign currency and GDP). During the mid-1980s, however, depressed oil prices resulting from the Iran-Iraq War, decreased demand for low-skilled labor, competition from less costly South Asian workers, and efforts to replace foreign workers with locals significantly reduced Egyptian migration to the Gulf States. The number of Egyptian migrants dropped from a peak of almost 3.3 million in 1983 to about 2.2 million at the start of the 1990s, but numbers gradually recovered. |
| Demographic profile: | In the 2000s, Egypt began facilitating more labor migration through bilateral agreements, notably with Arab countries and Italy, but illegal migration to Europe through overstayed visas or maritime human smuggling via Libya also rose. The Egyptian Government estimated there were 6.5 million Egyptian migrants in 2009, with roughly 75% being temporary migrants in other Arab countries (Libya, Saudi Arabia, Jordan, Kuwait, and the United Arab Emirates) and 25% being predominantly permanent migrants in the West (US, UK, Italy, France, and Canada). |
| Demographic profile: | During the 2000s, Egypt became an increasingly important transit and destination country for economic migrants and asylum seekers, including Palestinians, East Africans, and South Asians and, more recently, Iraqis and Syrians. Egypt draws many refugees because of its resettlement programs with the West; Cairo has one of the largest urban refugee populations in the world. Many East African migrants are interned or live in temporary encampments along the Egypt-Israel border, and some have been shot and killed by Egyptian border guards. |
| Age structure: | 0-14 years: 33.62% (male 18,112,550/female 16,889,155) |
| Age structure: | 15-24 years: 18.01% (male 9,684,437/female 9,071,163) |
| Age structure: | 25-54 years: 37.85% (male 20,032,310/female 19,376,847) |
| Age structure: | 55-64 years: 6.08% (male 3,160,438/female 3,172,544) |
| Age structure: | 65 years and over: 4.44% (male 2,213,539/female 2,411,457) (2020 est.) |
| Dependency ratios: | total dependency ratio: 64.6 |
| Dependency ratios: | youth dependency ratio: 55.8 |
| Dependency ratios: | elderly dependency ratio: 8.8 |
| Dependency ratios: | potential support ratio: 11.4 (2020 est.) |
| Median age: | total: 24.1 years |
| Median age: | male: 23.8 years |
| Median age: | female: 24.5 years (2020 est.) |
| Population growth rate: | 2.28% (2020 est.) |
| Birth rate: | 27.2 births/1,000 population (2020 est.) |
| Death rate: | 4.4 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.3 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | approximately 95% of the population lives within 20 km of the Nile River and its delta; vast areas of the country remain sparsely populated or uninhabited as shown in this population distribution map |
| Urbanization: | urban population: 42.8% of total population (2020) |
| Urbanization: | rate of urbanization: 1.86% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 20.901 million CAIRO (capital), 5.281 million Alexandria (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.92 male(s)/female |
| Sex ratio: | total population: 1.05 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 22.7 years (2014 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 37 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 17.1 deaths/1,000 live births |
| Infant mortality rate: | male: 18.2 deaths/1,000 live births |
| Infant mortality rate: | female: 15.8 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 73.7 years |
| Life expectancy at birth: | male: 72.3 years |
| Life expectancy at birth: | female: 75.3 years (2020 est.) |
| Total fertility rate: | 3.29 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 58.5% (2014) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 98.8% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 1.2% of population |
| Drinking water source: | total: 0.6% of population (2017 est.) |
| Current Health Expenditure: | 5.3% (2017) |
| Physicians density: | 0.8 physicians/1,000 population (2017) |
| Hospital bed density: | 1.4 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 99.8% of population |
| Sanitation facility access: | rural: 97.6% of population |
| Sanitation facility access: | total: 98.5% of population |
| Sanitation facility access: | unimproved: urban: 0.2% of population |
| Sanitation facility access: | rural: 2.4% of population |
| Sanitation facility access: | total: 1.5% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 26,000 (2019 est.) |
| HIV/AIDS - deaths: | <500 (2019 est.) |
| Major infectious diseases: | degree of risk: intermediate (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | note: clusters of cases of a respiratory illness caused by the novel coronavirus (COVID-19) are occurring throughout Egypt; as of 8 December 2020, Egypt has reported a total of 118,014 cases of COVID-19 or 1,153 cumulative cases of COVID-19 per 1 million population with 66 cumulative deaths per 1 million population |
