| People and Society | CAMBODIA |
| --- | --- |
| Population: | 15,957,223 |
| Population: | note: estimates for this country take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2016 est.) |
| Nationality: | noun: Cambodian(s) |
| Nationality: | adjective: Cambodian |
| Ethnic groups: | Khmer 97.6%, Cham 1.2%, Chinese 0.1%, Vietnamese 0.1%, other 0.9% (2013 est.) |
| Languages: | Khmer (official) 96.3%, other 3.7% (2008 est.) |
| Religions: | Buddhist (official) 96.9%, Muslim 1.9%, Christian 0.4%, other 0.8% (2008 est.) |
| Age structure: | 0-14 years: 31.24% (male 2,515,435/female 2,468,855) |
| Age structure: | 15-24 years: 19.02% (male 1,501,070/female 1,533,500) |
| Age structure: | 25-54 years: 40.18% (male 3,139,851/female 3,271,077) |
| Age structure: | 55-64 years: 5.43% (male 342,063/female 524,114) |
| Age structure: | 65 years and over: 4.14% (male 248,454/female 412,804) (2016 est.) |
| Dependency ratios: | total dependency ratio: 55.6% |
| Dependency ratios: | youth dependency ratio: 49.2% |
| Dependency ratios: | elderly dependency ratio: 6.4% |
| Dependency ratios: | potential support ratio: 15.6% (2015 est.) |
| Median age: | total: 24.9 years |
| Median age: | male: 24.2 years |
| Median age: | female: 25.6 years (2016 est.) |
| Population growth rate: | 1.56% (2016 est.) |
| Birth rate: | 23.4 births/1,000 population (2016 est.) |
| Death rate: | 7.6 deaths/1,000 population (2016 est.) |
| Net migration rate: | -0.3 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 20.7% of total population (2015) |
| Urbanization: | rate of urbanization: 2.65% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PHNOM PENH (capital) 1.731 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.65 male(s)/female |
| Sex ratio: | 65 years and over: 0.6 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 22.9 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2014 est.) |
| Maternal mortality rate: | 161 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 48.7 deaths/1,000 live births |
| Infant mortality rate: | male: 55.2 deaths/1,000 live births |
| Infant mortality rate: | female: 41.9 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 64.5 years |
| Life expectancy at birth: | male: 62 years |
| Life expectancy at birth: | female: 67.1 years (2016 est.) |
| Total fertility rate: | 2.56 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 50.5% (2010/11) |
| Health expenditures: | 5.7% of GDP (2014) |
| Physicians density: | 0.17 physicians/1,000 population (2012) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 69.1% of population |
| Drinking water source: | total: 75.5% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 30.9% of population |
| unimproved: | total: 24.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 88.1% of population |
| Sanitation facility access: | rural: 30.5% of population |
| Sanitation facility access: | total: 42.4% of population |
| unimproved: | urban: 11.9% of population |
| unimproved: | rural: 69.5% of population |
| unimproved: | total: 57.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.63% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 74,100 (2015 est.) |
| HIV/AIDS - deaths: | 2,000 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, Japanese encephalitis, and malaria (2016) |
| Obesity - adult prevalence rate: | 2.9% (2014) |
| Children under the age of 5 years underweight: | 23.9% (2014) |
| Education expenditures: | 2% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 77.2% |
| Literacy: | male: 84.5% |
| Literacy: | female: 70.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2008) |
| Unemployment, youth ages 15-24: | total: 0.5% |
| Unemployment, youth ages 15-24: | male: 0.7% |
| Unemployment, youth ages 15-24: | female: 0.4% |
| Unemployment, youth ages 15-24: | note: according to official statistics (2010 est.) |
