| People | Cambodia |
| --- | --- |
| Population: | 13,995,904 |
| Population: | note: estimates for this country take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2007 est.) |
| Age structure: | 0-14 years: 34% (male 2,405,561/female 2,355,404) |
| Age structure: | 15-64 years: 62.4% (male 4,234,701/female 4,500,994) |
| Age structure: | 65 years and over: 3.6% (male 189,090/female 310,154) (2007 est.) |
| Median age: | total: 21.3 years |
| Median age: | male: 20.6 years |
| Median age: | female: 22.1 years (2007 est.) |
| Population growth rate: | 1.729% (2007 est.) |
| Birth rate: | 25.53 births/1,000 population (2007 est.) |
| Death rate: | 8.24 deaths/1,000 population (2007 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.021 male(s)/female |
| Sex ratio: | 15-64 years: 0.941 male(s)/female |
| Sex ratio: | 65 years and over: 0.61 male(s)/female |
| Sex ratio: | total population: 0.953 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 58.45 deaths/1,000 live births |
| Infant mortality rate: | male: 65.74 deaths/1,000 live births |
| Infant mortality rate: | female: 50.84 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 61.29 years |
| Life expectancy at birth: | male: 59.27 years |
| Life expectancy at birth: | female: 63.4 years (2007 est.) |
| Total fertility rate: | 3.12 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 2.6% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 170,000 (2003 est.) |
| HIV/AIDS - deaths: | 15,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Japanese encephalitis are high risks in some locations |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified among birds in this country or surrounding region; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2007) |
| Nationality: | noun: Cambodian(s) |
| Nationality: | adjective: Cambodian |
| Ethnic groups: | Khmer 90%, Vietnamese 5%, Chinese 1%, other 4% |
| Religions: | Theravada Buddhist 95%, other 5% |
| Languages: | Khmer (official) 95%, French, English |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 73.6% |
| Literacy: | male: 84.7% |
| Literacy: | female: 64.1% (2004 est.) |
