| People and Society | Bahamas, The |
| --- | --- |
| Nationality: | noun: Bahamian(s) |
| Nationality: | adjective: Bahamian |
| Ethnic groups: | black 90.6%, white 4.7%, black and white 2.1%, other 1.9%, unspecified 0.7% (2010 est.) |
| Languages: | English (official), Creole (among Haitian immigrants) |
| Religions: | Protestant 69.9% (includes Baptist 34.9%, Anglican 13.7%, Pentecostal 8.9% Seventh Day Adventist 4.4%, Methodist 3.6%, Church of God 1.9%, Brethren 1.6%), Roman Catholic 12%, other Christian 13% (includes Jehovah's Witness 1.1%), other 0.6%, none 1.9%, unspecified 2.6% (2010 est.) |
| Population: | 321,834 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.) |
| Age structure: | 0-14 years: 23.2% (male 37,962/female 36,857) |
| Age structure: | 15-24 years: 17.4% (male 28,387/female 27,639) |
| Age structure: | 25-54 years: 44.1% (male 70,765/female 71,038) |
| Age structure: | 55-64 years: 8.3% (male 11,882/female 14,885) |
| Age structure: | 65 years and over: 7% (male 8,591/female 13,828) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 40.9 % |
| population pyramid: | youth dependency ratio: 29.6 % |
| population pyramid: | elderly dependency ratio: 11.3 % |
| population pyramid: | potential support ratio: 8.9 (2014 est.) |
| Median age: | total: 31.2 years |
| Median age: | male: 30.1 years |
| Median age: | female: 32.3 years (2014 est.) |
| Population growth rate: | 0.87% (2014 est.) |
| Birth rate: | 15.65 births/1,000 population (2014 est.) |
| Death rate: | 7 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 84.3% of total population (2011) |
| Urbanization: | rate of urbanization: 1.37% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NASSAU (capital) 254,000 (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2014 est.) |
| Maternal mortality rate: | 47 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 12.5 deaths/1,000 live births |
| Infant mortality rate: | male: 12.51 deaths/1,000 live births |
| Infant mortality rate: | female: 12.49 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 71.93 years |
| Life expectancy at birth: | male: 69.48 years |
| Life expectancy at birth: | female: 74.46 years (2014 est.) |
| Total fertility rate: | 1.97 children born/woman (2014 est.) |
| Health expenditures: | 7.7% of GDP (2011) |
| Physicians density: | 2.82 physicians/1,000 population (2008) |
| Hospital bed density: | 3.1 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.4% of population |
| Drinking water source: | rural: 98.4% of population |
| Drinking water source: | total: 98.4% of population |
| unimproved: | urban: 1.6% of population |
| unimproved: | rural: 1.6% of population |
| unimproved: | total: 1.6% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 92% of population |
| Sanitation facility access: | rural: 92% of population |
| Sanitation facility access: | total: 92% of population |
| unimproved: | urban: 8% of population |
| unimproved: | rural: 8% of population |
| unimproved: | total: 8% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 3.3% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 7,000 (2012 est.) |
| HIV/AIDS - deaths: | 300 (2012 est.) |
| Obesity - adult prevalence rate: | 34.7% (2008) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.6% |
| Literacy: | male: 94.7% |
| Literacy: | female: 96.5% (2003 est.) |
| Unemployment, youth ages 15-24: | total: 30.8% |
| Unemployment, youth ages 15-24: | male: 29.6% |
| Unemployment, youth ages 15-24: | female: 32.2% (2012) |
