| People and Society | Laos |
| --- | --- |
| Nationality: | noun: Lao(s) or Laotian(s) |
| Nationality: | adjective: Lao or Laotian |
| Ethnic groups: | Lao 55%, Khmou 11%, Hmong 8%, other (over 100 minor ethnic groups) 26% (2005 census) |
| Languages: | Lao (official), French, English, various ethnic languages |
| Religions: | Buddhist 67%, Christian 1.5%, other and unspecified 31.5% (2005 census) |
| Population: | 6,803,699 (July 2014 est.) |
| Age structure: | 0-14 years: 34.8% (male 1,195,364/female 1,173,520) |
| Age structure: | 15-24 years: 21.3% (male 719,205/female 728,729) |
| Age structure: | 25-54 years: 35% (male 1,176,018/female 1,208,452) |
| Age structure: | 55-64 years: 5.1% (male 169,291/female 175,815) |
| Age structure: | 65 years and over: 3.7% (male 116,299/female 141,006) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 62.6 % |
| population pyramid: | youth dependency ratio: 56.4 % |
| population pyramid: | elderly dependency ratio: 6.2 % |
| population pyramid: | potential support ratio: 16.1 (2014 est.) |
| Median age: | total: 22 years |
| Median age: | male: 21.7 years |
| Median age: | female: 22.3 years (2014 est.) |
| Population growth rate: | 1.59% (2014 est.) |
| Birth rate: | 24.76 births/1,000 population (2014 est.) |
| Death rate: | 7.74 deaths/1,000 population (2014 est.) |
| Net migration rate: | -1.1 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 34.3% of total population (2011) |
| Urbanization: | rate of urbanization: 4.41% annual rate of change (2010-15 est.) |
| Major urban areas - population: | VIENTIANE (capital) 810,000 (2011) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.97 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2014 est.) |
| Maternal mortality rate: | 470 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 54.53 deaths/1,000 live births |
| Infant mortality rate: | male: 60.19 deaths/1,000 live births |
| Infant mortality rate: | female: 48.64 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 63.51 years |
| Life expectancy at birth: | male: 61.54 years |
| Life expectancy at birth: | female: 65.56 years (2014 est.) |
| Total fertility rate: | 2.9 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 38.4% (2005) |
| Health expenditures: | 2.8% of GDP (2011) |
| Physicians density: | 0.19 physicians/1,000 population (2009) |
| Hospital bed density: | 0.7 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 83.7% of population |
| Drinking water source: | rural: 64.9% of population |
| Drinking water source: | total: 71.5% of population |
| unimproved: | urban: 16.3% of population |
| unimproved: | rural: 35.1% of population |
| unimproved: | total: 28.5% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 90.4% of population |
| Sanitation facility access: | rural: 50.5% of population |
| Sanitation facility access: | total: 64.6% of population |
| unimproved: | urban: 9.6% of population |
| unimproved: | rural: 49.5% of population |
| unimproved: | total: 35.4% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 11,500 (2012 est.) |
| HIV/AIDS - deaths: | 400 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 2.6% (2008) |
| Children under the age of 5 years underweight: | 31.6% (2006) |
| Education expenditures: | 2.8% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 72.7% |
| Literacy: | male: 82.5% |
| Literacy: | female: 63.2% (2005 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2012) |
| Child labor - children ages 5-14: | total number: 175,138 |
| Child labor - children ages 5-14: | percentage: 11 % (2006 est.) |
