| People and Society | Laos |
| --- | --- |
| Population: | 7,234,171 (July 2018 est.) |
| Nationality: | noun: Lao(s) or Laotian(s) |
| Nationality: | adjective: Lao or Laotian |
| Ethnic groups: | Lao 53.2%, Khmou 11%, Hmong 9.2%, Phouthay 3.4%, Tai 3.1%, Makong 2.5%, Katong 2.2%, Lue 2%, Akha 1.8%, other 11.6% (2015 est.) |
| Ethnic groups: | note: the Laos Government officially recognizes 49 ethnic groups, but the total number of ethnic groups is estimated to be well over 200 |
| Languages: | Lao (official), French, English, various ethnic languages |
| Religions: | Buddhist 64.7%, Christian 1.7%, none 31.4%, other/not stated 2.1% (2015 est.) |
| Age structure: | 0-14 years: 32.19% (male 1,177,639 /female 1,151,134) |
| Age structure: | 15-24 years: 21% (male 754,198 /female 764,673) |
| Age structure: | 25-54 years: 37.29% (male 1,332,231 /female 1,365,715) |
| Age structure: | 55-64 years: 5.57% (male 196,509 /female 206,613) |
| Age structure: | 65 years and over: 3.95% (male 129,336 /female 156,123) (2018 est.) |
| Dependency ratios: | total dependency ratio: 60.2 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 54 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 6.2 (2015 est.) |
| Dependency ratios: | potential support ratio: 16.1 (2015 est.) |
| Median age: | total: 23.4 years |
| Median age: | male: 23 years |
| Median age: | female: 23.7 years (2018 est.) |
| Population growth rate: | 1.48% (2018 est.) |
| Birth rate: | 23.2 births/1,000 population (2018 est.) |
| Death rate: | 7.3 deaths/1,000 population (2018 est.) |
| Net migration rate: | -1.1 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most densely populated area is in and around the capital city of Vientiane; large communities are primarily found along the Mekong River along the southwestern border; overall density is considered one of the lowest in Southeast Asia |
| Urbanization: | urban population: 35% of total population (2018) |
| Urbanization: | rate of urbanization: 3.28% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 665,000 VIENTIANE (capital) (2018) |
| Sex ratio: | at birth: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 0.99 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.97 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.96 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.83 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.99 male(s)/female (2017 est.) |
| Maternal mortality rate: | 197 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 48.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 53.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 43 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 65 years (2018 est.) |
| Life expectancy at birth: | male: 62.9 years (2018 est.) |
| Life expectancy at birth: | female: 67.1 years (2018 est.) |
| Total fertility rate: | 2.65 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 49.8% (2011/12) |
| Health expenditures: | 1.9% of GDP (2014) |
| Physicians density: | 0.49 physicians/1,000 population (2014) |
| Hospital bed density: | 1.5 beds/1,000 population (2012) |
| Drinking water source: | improved: urban: 85.6% of population |
| Drinking water source: | rural: 69.4% of population |
| Drinking water source: | total: 75.7% of population |
| Drinking water source: | unimproved: urban: 14.4% of population |
| Drinking water source: | rural: 30.6% of population |
| Drinking water source: | total: 24.3% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 94.5% of population (2015 est.) |
| Sanitation facility access: | rural: 56% of population (2015 est.) |
| Sanitation facility access: | total: 70.9% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 5.5% of population (2015 est.) |
| Sanitation facility access: | rural: 44% of population (2015 est.) |
| Sanitation facility access: | total: 29.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 12,000 (2017 est.) |
| HIV/AIDS - deaths: | <500 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2016) |
| Obesity - adult prevalence rate: | 5.3% (2016) |
| Children under the age of 5 years underweight: | 26.5% (2011) |
| Education expenditures: | 2.9% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 79.9% (2015 est.) |
| Literacy: | male: 87.1% (2015 est.) |
| Literacy: | female: 72.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years (2015) |
| School life expectancy (primary to tertiary education): | male: 11 years (2015) |
| School life expectancy (primary to tertiary education): | female: 11 years (2015) |
| Unemployment, youth ages 15-24: | total: 1.8% (2010 est.) |
| Unemployment, youth ages 15-24: | male: 1.9% (2010 est.) |
| Unemployment, youth ages 15-24: | female: 1.6% (2010 est.) |
