| People and Society | Svalbard |
| --- | --- |
| Population: | 2,583 (July 2017 est.) |
| Ethnic groups: | Norwegian 58%, foreign population 42% (consists primarily of Russians, Thais, Swedes, Filipinos, and Ukrainians) (2019 est.) |
| Ethnic groups: | note: foreigners account for almost one third of the population of the Norwegian settlements, Longyearbyen and Ny-Alesund (where the majority of Svalbard's resident population lives), as of mid-2019 |
| Languages: | Norwegian, Russian |
| Population growth rate: | -0.03% (2014 est.) |
| Population distribution: | the small population is primarily concentrated on the island of Spitsbergen in a handful of settlements on the south side of the Isfjorden, with Longyearbyen being the largest |
| Sex ratio: | NA |
| Infant mortality rate: | total: NA (2018) |
| Infant mortality rate: | male: NA |
| Infant mortality rate: | female: NA |
| Life expectancy at birth: | total population: NA (2017 est.) |
| Life expectancy at birth: | male: NA |
| Life expectancy at birth: | female: NA |
| Total fertility rate: | NA |
| Education expenditures: | NA |
