| People and Society | GUATEMALA |
| --- | --- |
| Population: | 15,460,732 (July 2017 est.) |
| Nationality: | noun: Guatemalan(s) |
| Nationality: | adjective: Guatemalan |
| Ethnic groups: | mestizo (mixed Amerindian-Spanish - in local Spanish called Ladino) and European 60.1%, Maya 39.3% (K'iche 11.3%, Q'eqchi 7.6%, Kaqchikel 7.4%, Mam 5.5%, other 7.5%), non-Maya, non-mestizo 0.15% (Xinca (indigenous, non-Maya), Garifuna (mixed West and Central African, Island Carib, and Arawak)), other 0.5% (2001 est.) |
| Languages: | Spanish (official) 68.9%, Maya languages 30.9% (K'iche 8.7%, Q'eqchi 7%, Mam 4.6%, Kaqchikel 4.3%, other 6.3%), other 0.3% (includes Xinca and Garifuna) |
| Languages: | note: the 2003 Law of National Languages officially recognized 23 indigenous languages, including 21 Maya languages, Xinka, and Garifuna (2001 est.) |
| Religions: | Roman Catholic, Protestant, indigenous Mayan beliefs |
| Demographic profile: | Guatemala is a predominantly poor country that struggles in several areas of health and development, including infant, child, and maternal mortality, malnutrition, literacy, and contraceptive awareness and use. The country's large indigenous population is disproportionately affected. Guatemala is the most populous country in Central America and has the highest fertility rate in Latin America. It also has the highest population growth rate in Latin America, which is likely to continue because of its large reproductive-age population and high birth rate. Almost half of Guatemala's population is under age 19, making it the youngest population in Latin America. Guatemala's total fertility rate has slowly declined during the last few decades due in part to limited government-funded health programs. However, the birth rate is still more close to three children per woman and is markedly higher among its rural and indigenous populations. |
| Demographic profile: | Guatemalans have a history of emigrating legally and illegally to Mexico, the United States, and Canada because of a lack of economic opportunity, political instability, and natural disasters. Emigration, primarily to the United States, escalated during the 1960 to 1996 civil war and accelerated after a peace agreement was signed. Thousands of Guatemalans who fled to Mexico returned after the war, but labor migration to southern Mexico continues. |
| Age structure: | 0-14 years: 34.5% (male 2,719,027/female 2,614,720) |
| Age structure: | 15-24 years: 21.58% (male 1,677,634/female 1,658,941) |
| Age structure: | 25-54 years: 34.12% (male 2,516,456/female 2,759,393) |
| Age structure: | 55-64 years: 5.26% (male 384,967/female 428,198) |
| Age structure: | 65 years and over: 4.54% (male 324,492/female 376,904) (2017 est.) |
| Dependency ratios: | total dependency ratio: 68.7 |
| Dependency ratios: | youth dependency ratio: 61.1 |
| Dependency ratios: | elderly dependency ratio: 7.6 |
| Dependency ratios: | potential support ratio: 13.1 (2015 est.) |
| Median age: | total: 22.1 years |
| Median age: | male: 21.4 years |
| Median age: | female: 22.8 years (2017 est.) |
| Population growth rate: | 1.75% (2017 est.) |
| Birth rate: | 24.1 births/1,000 population (2017 est.) |
| Death rate: | 4.7 deaths/1,000 population (2017 est.) |
| Net migration rate: | -1.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas |
| Urbanization: | urban population: 52.5% of total population (2017) |
| Urbanization: | rate of urbanization: 3.23% annual rate of change (2015-20 est.) |
| Major urban areas - population: | GUATEMALA CITY (capital) 2.918 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.91 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 21.2 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2014/15 est.) |
| Maternal mortality rate: | 88 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 21.3 deaths/1,000 live births |
| Infant mortality rate: | male: 23.2 deaths/1,000 live births |
| Infant mortality rate: | female: 19.3 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 72.6 years |
| Life expectancy at birth: | male: 70.6 years |
