| People and Society | Guatemala |
| --- | --- |
| Nationality: | noun: Guatemalan(s) |
| Nationality: | adjective: Guatemalan |
| Ethnic groups: | Mestizo (mixed Amerindian-Spanish - in local Spanish called Ladino) and European 59.4%, K'iche 9.1%, Kaqchikel 8.4%, Mam 7.9%, Q'eqchi 6.3%, other Mayan 8.6%, indigenous non-Mayan 0.2%, other 0.1% (2001 census) |
| Languages: | Spanish (official) 60%, Amerindian languages 40% |
| Languages: | note: there are 23 officially recognized Amerindian languages, including Quiche, Cakchiquel, Kekchi, Mam, Garifuna, and Xinca |
| Religions: | Roman Catholic, Protestant, indigenous Mayan beliefs |
| Demographic profile: | Guatemala is a predominantly poor country that struggles in several areas of health and development, including infant, child, and maternal mortality, malnutrition, literacy, and contraceptive awareness and use. The country's large indigenous population is disproportionately affected. Guatemala is the most populous country in Central America and has the highest fertility rate in Latin America. It also has the highest population growth rate in Latin America, which is likely to continue because of its large reproductive-age population and high birth rate. Almost half of Guatemala's population is under age 19, making it the youngest population in Latin America. Guatemala's total fertility rate has slowly declined during the last few decades due in part to limited government-funded health programs. However, the birth rate is still more than three children per woman and is markedly higher among its rural and indigenous populations. |
| Demographic profile: | Guatemalans have a history of emigrating legally and illegally to Mexico, the United States, and Canada because of a lack of economic opportunity, political instability, and natural disasters. Emigration, primarily to the United States, escalated during the 1960 to 1996 civil war and accelerated after a peace agreement was signed. Thousands of Guatemalans who fled to Mexico returned after the war, but labor migration to southern Mexico continues. |
| Population: | 14,647,083 (July 2014 est.) |
| Age structure: | 0-14 years: 36.2% (male 2,698,238/female 2,597,026) |
| Age structure: | 15-24 years: 22.1% (male 1,625,139/female 1,615,543) |
| Age structure: | 25-54 years: 32.4% (male 2,251,665/female 2,487,332) |
| Age structure: | 55-64 years: 5.2% (male 362,686/female 393,273) |
| Age structure: | 65 years and over: 4.1% (male 286,041/female 330,140) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 80.7 % |
| population pyramid: | youth dependency ratio: 72.4 % |
| population pyramid: | elderly dependency ratio: 8.3 % |
| population pyramid: | potential support ratio: 12 (2014 est.) |
| Median age: | total: 21 years |
| Median age: | male: 20.4 years |
| Median age: | female: 21.7 years (2014 est.) |
| Population growth rate: | 1.86% (2014 est.) |
| Birth rate: | 25.46 births/1,000 population (2014 est.) |
| Death rate: | 4.82 deaths/1,000 population (2014 est.) |
| Net migration rate: | -2 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 49.8% of total population (2011) |
| Urbanization: | rate of urbanization: 3.43% annual rate of change (2010-15 est.) |
| Major urban areas - population: | GUATEMALA CITY (capital) 1.168 million (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.91 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 20.3 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2008-09 est.) |
| Maternal mortality rate: | 120 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 23.51 deaths/1,000 live births |
| Infant mortality rate: | male: 25.57 deaths/1,000 live births |
| Infant mortality rate: | female: 21.35 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 71.74 years |
| Life expectancy at birth: | male: 69.82 years |
| Life expectancy at birth: | female: 73.76 years (2014 est.) |
