| People and Society | TOGO |
| --- | --- |
| Population: | 7,756,937 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2016 est.) |
| Nationality: | noun: Togolese (singular and plural) |
| Nationality: | adjective: Togolese |
| Ethnic groups: | African (37 tribes; largest and most important are Ewe, Mina, and Kabre) 99%, European and Syrian-Lebanese less than 1% |
| Languages: | French (official, the language of commerce), Ewe and Mina (the two major African languages in the south), Kabye (sometimes spelled Kabiye) and Dagomba (the two major African languages in the north) |
| Religions: | Christian 29%, Muslim 20%, indigenous beliefs 51% |
| Demographic profile: | Togo’s population is estimated to have grown to four times its size between 1960 and 2010. With nearly 60% of its populace under the age of 25 and a high annual growth rate attributed largely to high fertility, Togo’s population is likely to continue to expand for the foreseeable future. Reducing fertility, boosting job creation, and improving education will be essential to reducing the country’s high poverty rate. In 2008, Togo eliminated primary school enrollment fees, leading to higher enrollment but increased pressure on limited classroom space, teachers, and materials. Togo has a good chance of achieving universal primary education, but educational quality, the underrepresentation of girls, and the low rate of enrollment in secondary and tertiary schools remain concerns. |
| Demographic profile: | Togo is both a country of emigration and asylum. In the early 1990s, southern Togo suffered from the economic decline of the phosphate sector and ethnic and political repression at the hands of dictator Gnassingbe EYADEMA and his northern, Kabye-dominated administration. The turmoil led 300,000 to 350,000 predominantly southern Togolese to flee to Benin and Ghana, with most not returning home until relative stability was restored in 1997. In 2005, another outflow of 40,000 Togolese to Benin and Ghana occurred when violence broke out between the opposition and security forces over the disputed election of EYADEMA’s son Faure GNASSINGBE to the presidency. About half of the refugees reluctantly returned home in 2006, many still fearing for their safety. Despite ethnic tensions and periods of political unrest, Togo in 2016 was home to more than 18,000 refugees from Ghana. |
| Age structure: | 0-14 years: 40.44% (male 1,573,363/female 1,563,267) |
| Age structure: | 15-24 years: 19.34% (male 749,002/female 751,571) |
| Age structure: | 25-54 years: 32.58% (male 1,255,524/female 1,271,804) |
| Age structure: | 55-64 years: 4.27% (male 156,249/female 175,089) |
| Age structure: | 65 years and over: 3.37% (male 112,845/female 148,223) (2016 est.) |
| Dependency ratios: | total dependency ratio: 81.8% |
| Dependency ratios: | youth dependency ratio: 76.8% |
| Dependency ratios: | elderly dependency ratio: 5% |
| Dependency ratios: | potential support ratio: 19.9% (2015 est.) |
| Median age: | total: 19.7 years |
| Median age: | male: 19.4 years |
| Median age: | female: 20 years (2016 est.) |
| Population growth rate: | 2.66% (2016 est.) |
