| People | Togo |
| --- | --- |
| Population: | 6,587,239 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2010 est.) |
| Age structure: | 0-14 years: 41.4% (male 1,252,389/female 1,244,914) |
| Age structure: | 15-64 years: 55.8% (male 1,645,885/female 1,719,810) |
| Age structure: | 65 years and over: 2.8% (male 66,192/female 102,618) (2010 est.) |
| Median age: | total: 19.2 years |
| Median age: | male: 18.9 years |
| Median age: | female: 19.4 years (2010 est.) |
| Population growth rate: | 2.773% (2010 est.) |
| Birth rate: | 35.88 births/1,000 population (2010 est.) |
| Death rate: | 8.15 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population |
| Urbanization: | urban population: 42% of total population (2008) |
| Urbanization: | rate of urbanization: 4.3% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.63 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 53.23 deaths/1,000 live births |
| Infant mortality rate: | male: 60.29 deaths/1,000 live births |
| Infant mortality rate: | female: 45.97 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 62.25 years |
| Life expectancy at birth: | male: 59.74 years |
| Life expectancy at birth: | female: 64.83 years (2010 est.) |
| Total fertility rate: | 4.74 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 3.3% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 130,000 (2007 est.) |
| HIV/AIDS - deaths: | 9,100 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Nationality: | noun: Togolese (singular and plural) |
| Nationality: | adjective: Togolese |
| Ethnic groups: | African (37 tribes; largest and most important are Ewe, Mina, and Kabre) 99%, European and Syrian-Lebanese less than 1% |
| Religions: | Christian 29%, Muslim 20%, indigenous beliefs 51% |
| Languages: | French (official and the language of commerce), Ewe and Mina (the two major African languages in the south), Kabye (sometimes spelled Kabiye) and Dagomba (the two major African languages in the north) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 60.9% |
| Literacy: | male: 75.4% |
| Literacy: | female: 46.9% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2007) |
| Education expenditures: | 3.7% of GDP (2007) |
