| People | Togo |
| --- | --- |
| Population: | 5,858,673 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2008 est.) |
| Age structure: | 0-14 years: 41.7% (male 1,226,320/female 1,218,182) |
| Age structure: | 15-64 years: 55.6% (male 1,588,354/female 1,666,274) |
| Age structure: | 65 years and over: 2.7% (male 63,508/female 96,035) (2008 est.) |
| Median age: | total: 18.6 years |
| Median age: | male: 18.2 years |
| Median age: | female: 19 years (2008 est.) |
| Population growth rate: | 2.717% (2008 est.) |
| Birth rate: | 36.66 births/1,000 population (2008 est.) |
| Death rate: | 9.48 deaths/1,000 population (2008 est.) |
| Net migration rate: | NA (2008 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 57.66 deaths/1,000 live births |
| Infant mortality rate: | male: 65.01 deaths/1,000 live births |
| Infant mortality rate: | female: 50.09 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 58.28 years |
| Life expectancy at birth: | male: 56.2 years |
| Life expectancy at birth: | female: 60.43 years (2008 est.) |
| Total fertility rate: | 4.85 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 4.1% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 110,000 (2003 est.) |
| HIV/AIDS - deaths: | 10,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2008) |
| Nationality: | noun: Togolese (singular and plural) |
| Nationality: | adjective: Togolese |
| Ethnic groups: | African (37 tribes; largest and most important are Ewe, Mina, and Kabre) 99%, European and Syrian-Lebanese less than 1% |
| Religions: | Christian 29%, Muslim 20%, indigenous beliefs 51% |
| Languages: | French (official and the language of commerce), Ewe and Mina (the two major African languages in the south), Kabye (sometimes spelled Kabiye) and Dagomba (the two major African languages in the north) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 60.9% |
| Literacy: | male: 75.4% |
| Literacy: | female: 46.9% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2000) |
| Education expenditures: | 2.6% of GDP (2002) |
