| People and Society | Norway |
| --- | --- |
| Population: | 5,467,439 (July 2020 est.) |
| Nationality: | noun: Norwegian(s) |
| Nationality: | adjective: Norwegian |
| Ethnic groups: | Norwegian 83.2% (includes about 60,000 Sami), other European 8.3%, other 8.5% (2017 est.) |
| Languages: | Bokmal Norwegian (official), Nynorsk Norwegian (official), small Sami- and Finnish-speaking minorities |
| Languages: | note: Sami has three dialects: Lule, North Sami, and South Sami; Sami is an official language in nine municipalities in Norway's three northernmost counties: Finnmark, Nordland, and Troms |
| Religions: | Church of Norway (Evangelical Lutheran - official) 70.6%, Muslim 3.2%, Roman Catholic 3%, other Christian 3.7%, other 2.5%, unspecified 17% (2016 est.) |
| Age structure: | 0-14 years: 17.96% (male 503,013/female 478,901) |
| Age structure: | 15-24 years: 12.02% (male 336,597/female 320,720) |
| Age structure: | 25-54 years: 40.75% (male 1,150,762/female 1,077,357) |
| Age structure: | 55-64 years: 11.84% (male 328,865/female 318,398) |
| Age structure: | 65 years and over: 17.43% (male 442,232/female 510,594) (2020 est.) |
| Dependency ratios: | total dependency ratio: 53.3 |
| Dependency ratios: | youth dependency ratio: 26.5 |
| Dependency ratios: | elderly dependency ratio: 26.9 |
| Dependency ratios: | potential support ratio: 3.7 (2020 est.) |
| Dependency ratios: | note: data include Svalbard and Jan Mayen Islands |
| Median age: | total: 39.5 years |
| Median age: | male: 38.8 years |
| Median age: | female: 40.2 years (2020 est.) |
| Population growth rate: | 0.85% (2020 est.) |
| Birth rate: | 12.2 births/1,000 population (2020 est.) |
| Death rate: | 8.1 deaths/1,000 population (2020 est.) |
| Net migration rate: | 4 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | most Norweigans live in the south where the climate is milder and there is better connectivity to mainland Europe; population clusters are found all along the North Sea coast in the southwest, and Skaggerak in the southeast; the interior areas of the north remain sparsely populated |
| Urbanization: | urban population: 83% of total population (2020) |
| Urbanization: | rate of urbanization: 1.4% annual rate of change (2015-20 est.) |
| Urbanization: | note: data include Svalbard and Jan Mayen Islands |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1.041 million OSLO (capital) (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.07 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 29.3 years (2017 est.) |
| Mother's mean age at first birth: | note: data is calculated based on actual age at first births |
| Maternal mortality rate: | 2 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 2.5 deaths/1,000 live births |
| Infant mortality rate: | male: 2.8 deaths/1,000 live births |
| Infant mortality rate: | female: 2.2 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 82.1 years |
| Life expectancy at birth: | male: 80 years |
| Life expectancy at birth: | female: 84.4 years (2020 est.) |
| Total fertility rate: | 1.84 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 10.4% (2017) |
| Physicians density: | 2.83 physicians/1,000 population (2017) |
| Hospital bed density: | 3.6 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0% of population |
| Sanitation facility access: | total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 5,800 (2018 est.) |
| HIV/AIDS - deaths: | <100 (2018 est.) |
| Obesity - adult prevalence rate: | 23.1% (2016) |
| Education expenditures: | 7.9% of GDP (2017) |
| School life expectancy (primary to tertiary education): | total: 18 years |
| School life expectancy (primary to tertiary education): | male: 18 years |
| School life expectancy (primary to tertiary education): | female: 19 years (2018) |
| Unemployment, youth ages 15-24: | total: 9.7% |
| Unemployment, youth ages 15-24: | male: 10.7% |
| Unemployment, youth ages 15-24: | female: 8.6% (2018 est.) |
