| People and Society | Monaco |
| --- | --- |
| Nationality: | noun: Monegasque(s) or Monacan(s) |
| Nationality: | adjective: Monegasque or Monacan |
| Ethnic groups: | French 47%, Monegasque 16%, Italian 16%, other 21% |
| Languages: | French (official), English, Italian, Monegasque |
| Religions: | Roman Catholic 90% (official), other 10% |
| Population: | 30,508 |
| Population: | note: immigrants make up more than 60% of the total population, according to UN data (2013) (July 2014 est.) |
| Age structure: | 0-14 years: 11.7% (male 1,828/female 1,742) |
| Age structure: | 15-24 years: 9.2% (male 1,445/female 1,371) |
| Age structure: | 25-54 years: 35.1% (male 5,332/female 5,363) |
| Age structure: | 55-64 years: 14.5% (male 2,223/female 2,203) |
| Age structure: | 65 years and over: 28.7% (male 4,020/female 4,981) (2014 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 51.1 years |
| population pyramid: | male: 50 years |
| population pyramid: | female: 52.3 years (2014 est.) |
| Population growth rate: | 0.06% (2014 est.) |
| Birth rate: | 6.72 births/1,000 population (2014 est.) |
| Death rate: | 9.01 deaths/1,000 population (2014 est.) |
| Net migration rate: | 2.85 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 100% of total population (2011) |
| Urbanization: | rate of urbanization: 0.04% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2014 est.) |
| Infant mortality rate: | total: 1.81 deaths/1,000 live births |
| Infant mortality rate: | male: 2.05 deaths/1,000 live births |
| Infant mortality rate: | female: 1.56 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 89.57 years |
| Life expectancy at birth: | male: 85.66 years |
| Life expectancy at birth: | female: 93.64 years (2014 est.) |
| Total fertility rate: | 1.52 children born/woman (2014 est.) |
| Health expenditures: | 4.3% of GDP (2011) |
| Physicians density: | 7.06 physicians/1,000 population (2011) |
| Hospital bed density: | 16.5 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | total: 100% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 1.6% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2003 est.) |
| Unemployment, youth ages 15-24: | total: 6.9% |
| Unemployment, youth ages 15-24: | male: 6.6% |
| Unemployment, youth ages 15-24: | female: 7.4% (2000) |
