| People and Society | Ukraine |
| --- | --- |
| Population: | 43,952,299 (July 2018 est.) |
| Nationality: | noun: Ukrainian(s) |
| Nationality: | adjective: Ukrainian |
| Ethnic groups: | Ukrainian 77.8%, Russian 17.3%, Belarusian 0.6%, Moldovan 0.5%, Crimean Tatar 0.5%, Bulgarian 0.4%, Hungarian 0.3%, Romanian 0.3%, Polish 0.3%, Jewish 0.2%, other 1.8% (2001 est.) |
| Languages: | Ukrainian (official) 67.5%, Russian (regional language) 29.6%, other (includes small Crimean Tatar-, Moldovan/Romanian-, and Hungarian-speaking minorities) 2.9% (2001 est.) |
| Languages: | note: in February 2018, the Constitutional Court ruled that 2012 language legislation entitling a language spoken by at least 10% of an oblast's population to be given the status of "regional language" - allowing for its use in courts, schools, and other government institutions - was unconstitutional, thus making the law invalid; Ukrainian remains the country's only official nationwide language |
| Religions: | Orthodox (includesÂ the Orthodox Church of Ukraine (OCU) and theÂ Ukrainian Orthodox - Moscow Patriarchate (UOC-MP)), Ukrainian Greek Catholic, Roman Catholic, Protestant, Muslim, Jewish (2013 est.) |
| Religions: | note: Ukraine's population is overwhelmingly Christian; the vast majority - up to two thirds - identify themselves as Orthodox, but many do not specify a particular branch; theÂ OCU and the UOC-MP each represent less than a quarter of the country's population, the Ukrainian Greek Catholic Church accounts for 8-10%, and the UAOC accounts for 1-2%; Muslim and Jewish adherents each compose less than 1% of the total population |
| Age structure: | 0-14 years: 15.95% (male 3,609,386 /female 3,400,349) |
| Age structure: | 15-24 years: 9.57% (male 2,156,338 /female 2,047,821) |
| Age structure: | 25-54 years: 44.03% (male 9,522,108 /female 9,831,924) |
| Age structure: | 55-64 years: 13.96% (male 2,638,173 /female 3,499,718) |
| Age structure: | 65 years and over: 16.49% (male 2,433,718 /female 4,812,764) (2018 est.) |
| Dependency ratios: | total dependency ratio: 44.8 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 21.8 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 23 (2015 est.) |
| Dependency ratios: | potential support ratio: 4.3 (2015 est.) |
| Dependency ratios: | note: data include Crimea |
| Median age: | total: 40.8 years (2018 est.) |
| Median age: | male: 37.7 years |
| Median age: | female: 43.9 years |
| Population growth rate: | 0.04% (2018 est.) |
| Birth rate: | 10.1 births/1,000 population (2018 est.) |
| Death rate: | 14.3 deaths/1,000 population (2018 est.) |
| Net migration rate: | 4.6 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | densest settlement in the eastern (Donbas) and western regions; noteable concentrations in and around major urban areas of Kyiv, Kharkiv, Donets'k, Dnipropetrovs'k, and Odesa |
| Urbanization: | urban population: 69.5% of total population (2019) |
| Urbanization: | rate of urbanization: -0.33% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 2.973 million KYIV (capital), 1.432 million Kharkiv, 1.01 million Odesa, 963,000 Dnipropetrovsk, 912,000 Donetsk (2019) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 0.97 male(s)/female |
| Sex ratio: | 55-64 years: 0.75 male(s)/female |
| Sex ratio: | 65 years and over: 0.51 male(s)/female |
| Sex ratio: | total population: 0.86 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 24.9 years (2014 est.) |
| Maternal mortality rate: | 19 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 7.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 8.6 deaths/1,000 live births |
| Infant mortality rate: | female: 6.7 deaths/1,000 live births |
| Life expectancy at birth: | total population: 72.4 years (2018 est.) |
| Life expectancy at birth: | male: 67.7 years |
| Life expectancy at birth: | female: 77.4 years |
| Total fertility rate: | 1.55 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 65.4% (2012) |
| Drinking water source: | improved: urban: 95.5% of population |
| Drinking water source: | rural: 97.8% of population |
| Drinking water source: | total: 96.2% of population |
| Drinking water source: | unimproved: urban: 4.5% of population |
| Drinking water source: | rural: 2.2% of population |
| Drinking water source: | total: 3.8% of population (2015 est.) |
| Current Health Expenditure: | 6.7% (2016) |
| Physicians density: | 3.01 physicians/1,000 population (2014) |
| Hospital bed density: | 8.8 beds/1,000 population (2013) |
| Sanitation facility access: | improved: urban: 97.4% of population (2015 est.) |
| Sanitation facility access: | rural: 92.6% of population (2015 est.) |
| Sanitation facility access: | total: 95.9% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 2.6% of population (2015 est.) |
| Sanitation facility access: | rural: 7.4% of population (2015 est.) |
| Sanitation facility access: | total: 4.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 240,000 (2018 est.) |
| HIV/AIDS - deaths: | 6,100 (2018 est.) |
| Obesity - adult prevalence rate: | 24.1% (2016) |
| Education expenditures: | 5.4% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.8% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.7% (2015) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2014) |
| Unemployment, youth ages 15-24: | total: 23% |
| Unemployment, youth ages 15-24: | male: 24% |
| Unemployment, youth ages 15-24: | female: 21.5% (2016 est.) |
