| People and Society | Niger |
| --- | --- |
| Population: | 22,772,361 (July 2020 est.) |
| Nationality: | noun: Nigerien(s) |
| Nationality: | adjective: Nigerien |
| Ethnic groups: | Hausa 53.1%, Zarma/Songhai 21.2%, Tuareg 11%, Fulani (Peuhl) 6.5%, Kanuri 5.9%, Gurma 0.8%, Arab 0.4%, Tubu 0.4%, other/unavailable 0.9% (2006 est.) |
| Languages: | French (official), Hausa, Djerma |
| Religions: | Muslim 99.3%, Christian 0.3%, animist 0.2%, none 0.1% (2012 est.) |
| Demographic profile: | Niger has the highest total fertility rate (TFR) of any country in the world, averaging close to 7 children per woman in 2016. A slight decline in fertility over the last few decades has stalled. This leveling off of the high fertility rate is in large part a product of the continued desire for large families. In Niger, the TFR is lower than the desired fertility rate, which makes it unlikely that contraceptive use will increase. The high TFR sustains rapid population growth and a large youth population â€“ almost 70% of the populace is under the age of 25. Gender inequality, including a lack of educational opportunities for women and early marriage and childbirth, also contributes to high population growth. |
| Demographic profile: | Because of large family sizes, children are inheriting smaller and smaller parcels of land. The dependence of most Nigeriens on subsistence farming on increasingly small landholdings, coupled with declining rainfall and the resultant shrinkage of arable land, are all preventing food production from keeping up with population growth. |
| Demographic profile: | For more than half a century, Niger's lack of economic development has led to steady net outmigration. In the 1960s, Nigeriens mainly migrated to coastal West African countries to work on a seasonal basis. Some headed to Libya and Algeria in the 1970s to work in the booming oil industry until its decline in the 1980s. Since the 1990s, the principal destinations for Nigerien labor migrants have been West African countries, especially Burkina Faso and Cote dâ€™Ivoire, while emigration to Europe and North America has remained modest. During the same period, Nigerâ€™s desert trade route town Agadez became a hub for West African and other Sub-Saharan migrants crossing the Sahara to North Africa and sometimes onward to Europe. |
| Demographic profile: | More than 60,000 Malian refugees have fled to Niger since violence between Malian government troops and armed rebels began in early 2012. Ongoing attacks by the Boko Haram Islamist insurgency, dating to 2013 in northern Nigeria and February 2015 in southeastern Niger, have pushed tens of thousands of Nigerian refugees and Nigerien returnees across the border to Niger and to displace thousands of locals in Nigerâ€™s already impoverished Diffa region. |
| Age structure: | 0-14 years: 50.58% (male 5,805,102/female 5,713,815) |
| Age structure: | 15-24 years: 19.99% (male 2,246,670/female 2,306,285) |
| Age structure: | 25-54 years: 23.57% (male 2,582,123/female 2,784,464) |
| Age structure: | 55-64 years: 3.17% (male 357,832/female 364,774) |
| Age structure: | 65 years and over: 2.68% (male 293,430/female 317,866) (2020 est.) |
| Dependency ratios: | total dependency ratio: 109.5 |
| Dependency ratios: | youth dependency ratio: 104.1 |
| Dependency ratios: | elderly dependency ratio: 5.4 |
| Dependency ratios: | potential support ratio: 18.4 (2020 est.) |
| Median age: | total: 14.8 years |
| Median age: | male: 14.5 years |
| Median age: | female: 15.1 years (2020 est.) |
| Population growth rate: | 3.66% (2020 est.) |
| Birth rate: | 47.5 births/1,000 population (2020 est.) |
