| People and Society | Niger |
| --- | --- |
| Nationality: | noun: Nigerien(s) |
| Nationality: | adjective: Nigerien |
| Ethnic groups: | Haoussa 55.4%, Djerma Sonrai 21%, Tuareg 9.3%, Peuhl 8.5%, Kanouri Manga 4.7%, other 1.2% (2001 census) |
| Languages: | French (official), Hausa, Djerma |
| Religions: | Muslim 80%, other (includes indigenous beliefs and Christian) 20% |
| Population: | 16,468,886 (July 2011 est.) |
| Age structure: | 0-14 years: 49.6% (male 4,129,164/female 4,045,412) |
| Age structure: | 15-64 years: 48% (male 3,944,586/female 3,964,249) |
| Age structure: | 65 years and over: 2.3% (male 170,741/female 214,734) (2011 est.) |
| Median age: | total: 15.2 years |
| Median age: | male: 15 years |
| Median age: | female: 15.4 years (2011 est.) |
| Population growth rate: | 3.643% (2011 est.) |
| Birth rate: | 50.54 births/1,000 population (2011 est.) |
| Death rate: | 14.11 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 17% of total population (2010) |
| Urbanization: | rate of urbanization: 4.7% annual rate of change (2010-15 est.) |
| Major cities - population: | NIAMEY (capital) 1.004 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2011 est.) |
| Maternal mortality rate: | 820 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 112.22 deaths/1,000 live births |
| Infant mortality rate: | male: 117.19 deaths/1,000 live births |
| Infant mortality rate: | female: 107.1 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 53.4 years |
| Life expectancy at birth: | male: 52.13 years |
| Life expectancy at birth: | female: 54.7 years (2011 est.) |
| Total fertility rate: | 7.6 children born/woman (2011 est.) |
| Health expenditures: | 6.1% of GDP (2009) |
| Physicians density: | 0.019 physicians/1,000 population (2008) |
| Hospital bed density: | 0.31 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96% of population |
| Drinking water source: | rural: 39% of population |
| Drinking water source: | total: 48% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 61% of population |
| unimproved: | total: 52% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 34% of population |
| Sanitation facility access: | rural: 4% of population |
| Sanitation facility access: | total: 9% of population |
| unimproved: | urban: 66% of population |
| unimproved: | rural: 96% of population |
| unimproved: | total: 91% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 61,000 (2009 est.) |
| HIV/AIDS - deaths: | 4,300 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 39.9% (2006) |
| Education expenditures: | 4.5% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 28.7% |
| Literacy: | male: 42.9% |
| Literacy: | female: 15.1% (2005 est.) |
| School life expectancy (primary to tertiary education): | total: 5 years |
| School life expectancy (primary to tertiary education): | male: 6 years |
| School life expectancy (primary to tertiary education): | female: 5 years (2010) |
| Unemployment, youth ages 15-24: | total: 3.2% |
| Unemployment, youth ages 15-24: | male: 4% |
| Unemployment, youth ages 15-24: | female: 1.7% (2001) |
