| People and Society | Tuvalu |
| --- | --- |
| Nationality: | noun: Tuvaluan(s) |
| Nationality: | adjective: Tuvaluan |
| Ethnic groups: | Polynesian 96%, Micronesian 4% |
| Languages: | Tuvaluan (official), English (official), Samoan, Kiribati (on the island of Nui) |
| Religions: | Protestant 98.4% (Church of Tuvalu (Congregationalist) 97%, Seventh-Day Adventist 1.4%), Baha'i 1%, other 0.6% |
| Population: | 10,782 (July 2014 est.) |
| Age structure: | 0-14 years: 29.6% (male 1,636/female 1,553) |
| Age structure: | 15-24 years: 20.6% (male 1,176/female 1,048) |
| Age structure: | 25-54 years: 36.2% (male 1,901/female 1,999) |
| Age structure: | 55-64 years: 8.2% (male 360/female 525) |
| Age structure: | 65 years and over: 5.3% (male 242/female 342) (2014 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 24.9 years |
| population pyramid: | male: 23.7 years |
| population pyramid: | female: 26.4 years (2014 est.) |
| Population growth rate: | 0.8% (2014 est.) |
| Birth rate: | 23.74 births/1,000 population (2014 est.) |
| Death rate: | 8.9 deaths/1,000 population (2014 est.) |
| Net migration rate: | -6.86 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 50% of total population (2011) |
| Urbanization: | rate of urbanization: 1.04% annual rate of change (2010-15 est.) |
| Major urban areas - population: | FUNAFUTI (capital) 5,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.12 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 23.5 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2007 est.) |
| Infant mortality rate: | total: 31.69 deaths/1,000 live births |
| Infant mortality rate: | male: 34.44 deaths/1,000 live births |
| Infant mortality rate: | female: 28.81 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 65.81 years |
| Life expectancy at birth: | male: 63.69 years |
| Life expectancy at birth: | female: 68.05 years (2014 est.) |
| Total fertility rate: | 3.03 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 30.5% (2007) |
| Health expenditures: | 17.3% of GDP (2011) |
| Physicians density: | 1.09 physicians/1,000 population (2009) |
| Hospital bed density: | 5.6 beds/1,000 population (2001) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.3% of population |
| Drinking water source: | rural: 97% of population |
| Drinking water source: | total: 97.7% of population |
| unimproved: | urban: 1.7% of population |
| unimproved: | rural: 3% of population |
| unimproved: | total: 2.3% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 86.3% of population |
| Sanitation facility access: | rural: 80.2% of population |
| Sanitation facility access: | total: 83.3% of population |
| unimproved: | urban: 13.7% of population |
| unimproved: | rural: 19.8% of population |
| unimproved: | total: 16.7% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Children under the age of 5 years underweight: | 1.6% (2007) |
| Education expenditures: | NA |
| Literacy: | NA |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2001) |
