| People and Society | World |
| --- | --- |
| Languages: | Mandarin Chinese 12.44%, Spanish 4.85%, English 4.83%, Arabic 3.25%, Hindi 2.68%, Bengali 2.66%, Portuguese 2.62%, Russian 2.12%, Japanese 1.8%, Standard German 1.33%, Javanese 1.25% (2009 est.) |
| Languages: | note 1: percents are for "first language" speakers only; the six UN languages - Arabic, Chinese (Mandarin), English, French, Russian, and Spanish (Castilian) - are the mother tongue or second language of about half of the world's population, and are the official languages in more than half the states in the world; some 150 to 200 languages have more than a million speakers |
| note 2: | all told, there are an estimated 7,100 languages spoken in the world; aproximately 80% of these languages are spoken by less than 100,000 people; about 50 languages are spoken by only 1 person; communities that are isolated from each other in mountainous regions often develop multiple languages; Papua New Guinea, for example, boasts about 836 separate languages |
| note 3: | approximately 2,300 languages are spoken in Asia, 2,150, in Africa, 1,311 in the Pacific, 1,060 in the Americas, and 280 in Europe |
| Religions: | Christian 33.39% (of which Roman Catholic 16.85%, Protestant 6.15%, Orthodox 3.96%, Anglican 1.26%), Muslim 22.74%, Hindu 13.8%, Buddhist 6.77%, Sikh 0.35%, Jewish 0.22%, Baha'i 0.11%, other religions 10.95%, non-religious 9.66%, atheists 2.01% (2010 est.) |
| Population: | 7,095,217,980 (July 2013 est.) |
| Population: | top ten most populous countries (in millions): China 1,349.59; India 1,220.80; United States 316.67; Indonesia 251.16; Brazil 201.01; Pakistan 193.24; Nigeria 174.51; Bangladesh 163.65; Russia 142.50; Japan 127.25 |
| Age structure: | 0-14 years: 26% (male 953,496,513/female 890,372,474) |
| Age structure: | 15-24 years: 16.8% (male 614,574,389/female 579,810,490) |
| Age structure: | 25-54 years: 40.6% (male 1,454,831,900/female 1,426,721,773) |
| Age structure: | 55-64 years: 8.4% (male 291,435,881/female 305,185,398) |
| Age structure: | 65 years and over: 8.2% (male 257,035,416/female 321,753,746) (2013 est.) |
| Dependency ratios: | total dependency ratio: 52 % |
| Dependency ratios: | youth dependency ratio: 39.9 % |
| Dependency ratios: | elderly dependency ratio: 12.1 % |
| Dependency ratios: | potential support ratio: 8.3 (2013) |
| Median age: | total: 29.4 years |
| Median age: | male: 28.7 years |
| Median age: | female: 30.2 years (2013 est.) |
| Population growth rate: | 1.1% |
| Population growth rate: | note: this rate results in about 148 net additions to the worldwide population every minute or 2.5 every second (2013 est.) |
| Birth rate: | 18.9 births/1,000 population |
| Birth rate: | note: this rate results in about 255 worldwide births per minute or 4.3 births every second (2013 est.) |
| Death rate: | 7.9 deaths/1,000 population |
| Death rate: | note: this rate results in about 107 worldwide deaths per minute or 1.8 deaths every second (2013 est.) |
| Urbanization: | urban population: 50.5% of total population (2010) |
| Urbanization: | rate of urbanization: 1.85% annual rate of change (2010-15 est.) |
| Urbanization: | ten largest urban agglomerations: Tokyo (Japan) - 36,669,000; Delhi (India) - 22,157,000; Sao Paulo (Brazil) - 20,262,000; Mumbai (India) - 20,041,000; Mexico City (Mexico) - 19,460,000; New York-Newark (US) - 19,425,000; Shanghai (China) - 16,575,000; Kolkata (India) - 15,552,000; Dhaka (Bangladesh) - 14,648,000; Karachi (Pakistan) - 13,125,000 (2009) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 37.61 deaths/1,000 live births |
| Infant mortality rate: | male: 39.39 deaths/1,000 live births |
| Infant mortality rate: | female: 35.69 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 68.09 years |
| Life expectancy at birth: | male: 66.09 years |
| Life expectancy at birth: | female: 70.24 years (2013 est.) |
| Total fertility rate: | 2.45 children born/woman (2013 est.) |
| Hospital bed density: | 2.9 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96% of population |
| Drinking water source: | rural: 81% of population |
| Drinking water source: | total: 89% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 19% of population |
| unimproved: | total: 11% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 79% of population |
| Sanitation facility access: | rural: 47% of population |
| Sanitation facility access: | total: 63% of population |
| unimproved: | urban: 21% of population |
| unimproved: | rural: 53% of population |
| unimproved: | total: 37% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 33.3 million (2009 est.) |
| HIV/AIDS - deaths: | 1.8 million (2009 est.) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 84.1% |
| Literacy: | male: 88.6% |
| Literacy: | female: 79.7% |
| Literacy: | note: almost three-quarters of the world's 775 million illiterate adults are found in only ten countries (in descending order: India, China, Pakistan, Bangladesh, Nigeria, Ethiopia, Egypt, Brazil, Indonesia, and the Democratic Republic of the Congo); of all the illiterate adults in the world, two-thirds are women; extremely low literacy rates are concentrated in South and West Asia and Sub-Saharan Africa (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2011) |
