| People and Society | WORLD |
| --- | --- |
| Languages: | Mandarin Chinese 11.82%, Spanish 5.77%, English 4.67%, Hindi 3.62%, Arabic 3.3%, Portuguese 2.83%, Bengali 2.69%, Russian 2.33%, Japanese 1.7%, Javanese 1.15%, Standard German 1.09% (2014 est.) |
| Languages: | note 1: percents are for "first language" speakers only; the six UN languages - Arabic, Chinese (Mandarin), English, French, Russian, and Spanish (Castilian) - are the mother tongue or second language of about half of the world's population, and are the official languages in more than half the states in the world; some 150 to 200 languages have more than a million speakers |
| Languages: | note 2: all told, there are an estimated 7,100 languages spoken in the world; aproximately 80% of these languages are spoken by less than 100,000 people; about 140 languages are spoken by less than 10 people; communities that are isolated from each other in mountainous regions often develop multiple languages; Papua New Guinea, for example, boasts about 839 separate languages |
| Languages: | note 3: approximately 2,300 languages are spoken in Asia, 2,140, in Africa, 1,300 in the Pacific, 1,060 in the Americas, and 280 in Europe (2015) |
| Religions: | Christian 33.39% (of which Roman Catholic 16.85%, Protestant 6.15%, Orthodox 3.96%, Anglican 1.26%), Muslim 22.74%, Hindu 13.8%, Buddhist 6.77%, Sikh 0.35%, Jewish 0.22%, Baha'i 0.11%, other religions 10.95%, non-religious 9.66%, atheists 2.01% (2010 est.) |
| Population: | 7,256,490,011 (July 2015 est.) |
| Population: | top ten most populous countries (in millions): China 1361.51; India 1251.70; United States 321.36; Indonesia 255.99; Brazil 204.26; Pakistan 199.09; Nigeria 181.56; Bangladesh 168.96; Russia 142.42; Japan 126.92 |
| Age structure: | 0-14 years: 25.64% (male 962,504,434/female 897,959,144) |
| Age structure: | 15-24 years: 16.34% (male 610,915,870/female 574,498,881) |
| Age structure: | 25-54 years: 40.98% (male 1,502,925,383/female 1,470,748,023) |
| Age structure: | 55-64 years: 8.56% (male 303,057,587/female 317,738,739) |
| Age structure: | 65 years and over: 8.49% (male 274,517,510/female 341,624,440) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 52.3% |
| population pyramid: | youth dependency ratio: 39.7% |
| population pyramid: | elderly dependency ratio: 12.6% |
| population pyramid: | potential support ratio: 7.9% (2015 est.) |
| Median age: | total: 29.9 years |
| Median age: | male: 29.1 years |
| Median age: | female: 30.6 years (2015 est.) |
| Population growth rate: | 1.08% |
| Population growth rate: | note: this rate results in about 149 net additions to the worldwide population every minute or 2.5 every second (2015 est.) |
| Birth rate: | 18.6 births/1,000 population |
| Birth rate: | note: this rate results in about 256 worldwide births per minute or 4.3 births every second (2015 est.) |
| Death rate: | 7.8 deaths/1,000 population |
| Death rate: | note: this rate results in about 108 worldwide deaths per minute or 1.8 deaths every second (2015 est.) |
| Urbanization: | urban population: 54% of total population (2015) |
| Urbanization: | rate of urbanization: 2.05% annual rate of change (2010-15 est.) |
| Urbanization: | ten largest urban agglomerations: Tokyo (Japan) - 38,001,000; New Delhi (India) - 25,703,000; Shanghai (China) - 23,741,000; Sao Paulo (Brazil) - 21,066,000; Mumbai (India) - 21,043,000; Mexico City (Mexico) - 20,999,000; Beijing (China) - 20,384,000; Osaka (Japan) - 20,238,000; Cairo (Egypt) - 18,772,000; New York-Newark (US) - 18,593,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 35.4 deaths/1,000 live births |
| Infant mortality rate: | male: 37.3 deaths/1,000 live births |
| Infant mortality rate: | female: 33.4 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 68.7 years |
| Life expectancy at birth: | male: 66.7 years |
| Life expectancy at birth: | female: 70.8 years (2015 est.) |
| Total fertility rate: | 2.42 children born/woman (2015 est.) |
| Hospital bed density: | 2.9 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.5% of population |
| Drinking water source: | rural: 84.7% of population |
| Drinking water source: | total: 91.1% of population |
| unimproved: | urban: 3.5% of population |
| unimproved: | rural: 15.3% of population |
| unimproved: | total: 8.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 82.3% of population |
| Sanitation facility access: | rural: 50.5% of population |
| Sanitation facility access: | total: 67.7% of population |
| unimproved: | urban: 17.7% of population |
| unimproved: | rural: 49.5% of population |
| unimproved: | total: 32.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.79% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 36,872,500 (2014 est.) |
| HIV/AIDS - deaths: | 1,181,700 (2014 est.) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 86.1% |
| Literacy: | male: 89.9% |
| Literacy: | female: 82.2% (2015 est.) |
| Literacy: | note: more than three-quarters of the world's 781 million illiterate adults are found in South and West Asia and sub-Saharan Africa; of all the illiterate adults in the world, almost two-thirds are women (2012) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2012) |
