| People and Society | SYRIA |
| --- | --- |
| Nationality: | noun: Syrian(s) |
| Nationality: | adjective: Syrian |
| Ethnic groups: | Arab 90.3%, Kurds, Armenians, and other 9.7% |
| Languages: | Arabic (official), Kurdish, Armenian, Aramaic, Circassian (widely understood); French, English (somewhat understood) |
| Religions: | Muslim 87% (official; includes Sunni 74% and Alawi, Ismaili, and Shia 13%), Christian (includes Orthodox, Uniate, and Nestorian) 10% (includes Orthodox, Uniate, and Nestorian), Druze 3%, Jewish (few remaining in Damascus and Aleppo) |
| Population: | 17,064,854 (July 2014 est.) |
| Population: | note: approximately 18,900 Israeli settlers live in the Golan Heights (2012) (July 2015 est.) |
| Age structure: | 0-14 years: 32.49% (male 2,841,760/female 2,701,998) |
| Age structure: | 15-24 years: 19.85% (male 1,713,286/female 1,673,560) |
| Age structure: | 25-54 years: 38.57% (male 3,283,267/female 3,298,387) |
| Age structure: | 55-64 years: 5.07% (male 427,655/female 438,105) |
| Age structure: | 65 years and over: 4.02% (male 309,947/female 376,889) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 70% |
| population pyramid: | youth dependency ratio: 63.1% |
| population pyramid: | elderly dependency ratio: 6.9% |
| population pyramid: | potential support ratio: 14.5% (2015 est.) |
| Median age: | total: 23.3 years |
| Median age: | male: 22.9 years |
| Median age: | female: 23.7 years (2014 est.) |
| Population growth rate: | -0.16% (2015 est.) |
| Birth rate: | 22.17 births/1,000 population (2015 est.) |
| Death rate: | 4 deaths/1,000 population (2015 est.) |
| Net migration rate: | -19.79 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 57.7% of total population (2015) |
| Urbanization: | rate of urbanization: 1.37% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Aleppo 3.562 million; DAMASCUS (capital) 2.566 million; Hims 1.641 million; Hamah 1.237 million; Lattakia 781,000 (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 15.61 deaths/1,000 live births |
| Infant mortality rate: | male: 17.95 deaths/1,000 live births |
| Infant mortality rate: | female: 13.13 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 74.69 years |
| Life expectancy at birth: | male: 72.31 years |
| Life expectancy at birth: | female: 77.21 years (2015 est.) |
| Total fertility rate: | 2.6 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 53.9% (2009/10) |
| Health expenditures: | 3.3% of GDP (2013) |
| Physicians density: | 1.46 physicians/1,000 population (2010) |
| Hospital bed density: | 1.5 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 92.3% of population |
| Drinking water source: | rural: 87.2% of population |
| Drinking water source: | total: 90.1% of population |
| unimproved: | urban: 7.7% of population |
| unimproved: | rural: 12.8% of population |
| unimproved: | total: 9.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.2% of population |
| Sanitation facility access: | rural: 95.1% of population |
| Sanitation facility access: | total: 95.7% of population |
| unimproved: | urban: 3.8% of population |
| unimproved: | rural: 4.9% of population |
| unimproved: | total: 4.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 21.6% (2014) |
| Children under the age of 5 years underweight: | 10.1% (2009) |
| Education expenditures: | 4.9% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 86.4% |
| Literacy: | male: 91.7% |
| Literacy: | female: 81% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2012) |
| Child labor - children ages 5-14: | total number: 192,915 |
| Child labor - children ages 5-14: | percentage: 4% (2006 est.) |
| Unemployment, youth ages 15-24: | total: 19.2% |
| Unemployment, youth ages 15-24: | male: 15.3% |
| Unemployment, youth ages 15-24: | female: 40.2% (2010 est.) |
