| People and Society | Syria |
| --- | --- |
| Population: | 19,454,263 (July 2017 est.) (July 2018 est.) |
| Population: | note: approximately 22,000 Israeli settlers live in the Golan Heights (2016) |
| Nationality: | noun: Syrian(s) |
| Nationality: | adjective: Syrian |
| Ethnic groups: | Arab ~50%, Alawite ~15%, Kurd ~10%, Levantine ~10%, other ~15% (includes Druze, Ismaili, Imami, Nusairi, Assyrian, Turkoman, Armenian) |
| Languages: | Arabic (official), Kurdish, Armenian, Aramaic, Circassian, French, English |
| Religions: | Muslim 87% (official; includes Sunni 74% and Alawi, Ismaili, and Shia 13%), Christian 10% (includes Orthodox, Uniate, and Nestorian), Druze 3%, Jewish (few remaining in Damascus and Aleppo) |
| Religions: | note:Â  the Christian population may be considerably smaller as a result of Christians fleeing the country duringÂ the ongoing civil war |
| Age structure: | 0-14 years: 31.39% (male 3,132,619 /female 2,974,394) |
| Age structure: | 15-24 years: 19.52% (male 1,933,185 /female 1,863,991) |
| Age structure: | 25-54 years: 39.26% (male 3,807,664 /female 3,829,150) |
| Age structure: | 55-64 years: 5.52% (male 531,455 /female 542,738) |
| Age structure: | 65 years and over: 4.31% (male 379,360 /female 459,707) (2018 est.) |
| Dependency ratios: | total dependency ratio: 72.8 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 65.8 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 7 (2015 est.) |
| Dependency ratios: | potential support ratio: 14.3 (2015 est.) |
| Median age: | total: 24.5 years |
| Median age: | male: 24 years |
| Median age: | female: 25 years (2018 est.) |
| Population growth rate: | 7.37% NA (2018 est.) |
| Birth rate: | 20.7 births/1,000 population (2018 est.) |
| Death rate: | 4 deaths/1,000 population (2018 est.) |
| Net migration rate: | NA |
| Population distribution: | significant population density along the Mediterranean coast; larger concentrations found in the major cities of Damascus, Aleppo (the country's largest city), and Hims (Homs); more than half of the population lives in the coastal plain, the province of Halab, and the Euphrates River valley |
| Population distribution: | note: the ongoing civil war has altered the population distribution |
| Urbanization: | urban population: 54.2% of total population (2018) |
| Urbanization: | rate of urbanization: 1.43% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 2.32 million DAMASCUS (capital), 1.754 million Aleppo, 1.295 million Hims (Homs), 894,000 Hamah (2018) |
| Sex ratio: | at birth: 1.06 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.99 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.98 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.82 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.01 male(s)/female (2017 est.) |
| Maternal mortality rate: | 68 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 14.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 16.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 12.2 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 75.2 years (2018 est.) |
| Life expectancy at birth: | male: 72.8 years (2018 est.) |
| Life expectancy at birth: | female: 77.8 years (2018 est.) |
| Total fertility rate: | 2.44 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 53.9% (2009) |
| Health expenditures: | 3.3% of GDP (2014) |
| Physicians density: | 1.55 physicians/1,000 population (2014) |
| Hospital bed density: | 1.5 beds/1,000 population (2014) |
| Drinking water source: | improved: urban: 92.3% of population |
| Drinking water source: | rural: 87.2% of population |
| Drinking water source: | total: 90.1% of population |
| Drinking water source: | unimproved: urban: 7.7% of population |
| Drinking water source: | rural: 12.8% of population |
| Drinking water source: | total: 9.9% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 96.2% of population (2015 est.) |
| Sanitation facility access: | rural: 95.1% of population (2015 est.) |
| Sanitation facility access: | total: 95.7% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 3.8% of population (2015 est.) |
| Sanitation facility access: | rural: 4.9% of population (2015 est.) |
| Sanitation facility access: | total: 4.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 27.8% (2016) |
| Children under the age of 5 years underweight: | 10.1% (2009) |
| Education expenditures: | 5.1% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 86.4% (2015 est.) |
| Literacy: | male: 91.7% (2015 est.) |
| Literacy: | female: 81% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years (2013) |
| School life expectancy (primary to tertiary education): | male: 9 years (2013) |
| School life expectancy (primary to tertiary education): | female: 9 years (2013) |
| Unemployment, youth ages 15-24: | total: 35.8% (2011 est.) |
| Unemployment, youth ages 15-24: | male: 26.6% (2011 est.) |
| Unemployment, youth ages 15-24: | female: 71.1% (2011 est.) |
