| People and Society | Syria |
| --- | --- |
| Nationality: | noun: Syrian(s) |
| Nationality: | adjective: Syrian |
| Ethnic groups: | Arab 90.3%, Kurds, Armenians, and other 9.7% |
| Languages: | Arabic (official), Kurdish, Armenian, Aramaic, Circassian (widely understood); French, English (somewhat understood) |
| Religions: | Muslim 87% (official; includes Sunni 74% and Alawi, Ismaili, and Shia 13%), Christian (includes Orthodox, Uniate, and Nestorian) 10% (includes Orthodox, Uniate, and Nestorian), Druze 3%, Jewish (few remaining in Damascus and Aleppo) |
| Population: | 17,951,639 |
| Population: | note: approximately 18,900 Israeli settlers live in the Golan Heights (2012) (July 2014 est.) |
| Age structure: | 0-14 years: 33.1% (male 3,046,922/female 2,898,060) |
| Age structure: | 15-24 years: 20.2% (male 1,833,802/female 1,789,854) |
| Age structure: | 25-54 years: 37.9% (male 3,406,744/female 3,396,756) |
| Age structure: | 55-64 years: 4.8% (male 429,644/female 440,980) |
| Age structure: | 65 years and over: 3.9% (male 320,946/female 387,931) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 63.9 % |
| population pyramid: | youth dependency ratio: 57 % |
| population pyramid: | elderly dependency ratio: 6.9 % |
| population pyramid: | potential support ratio: 14.6 (2014 est.) |
| Median age: | total: 23.3 years |
| Median age: | male: 22.9 years |
| Median age: | female: 23.7 years (2014 est.) |
| Population growth rate: | -9.73% (2014 est.) |
| Birth rate: | 22.76 births/1,000 population (2014 est.) |
| Death rate: | 6.51 deaths/1,000 population (2014 est.) |
| Net migration rate: | -113.51 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 56.1% of total population (2011) |
| Urbanization: | rate of urbanization: 2.36% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Aleppo 3.164 million; DAMASCUS (capital) 2.65 million; Hims 1.369 million; Hamah 933,000 (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2014 est.) |
| Maternal mortality rate: | 70 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 15.79 deaths/1,000 live births |
| Infant mortality rate: | male: 18.14 deaths/1,000 live births |
| Infant mortality rate: | female: 13.31 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 68.41 years |
| Life expectancy at birth: | male: 61.4 years |
| Life expectancy at birth: | female: 75.84 years (2014 est.) |
| Total fertility rate: | 2.68 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 58.3% (2006) |
| Health expenditures: | 3.7% of GDP (2011) |
| Physicians density: | 1.5 physicians/1,000 population (2008) |
| Hospital bed density: | 1.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 92.3% of population |
| Drinking water source: | rural: 87.2% of population |
| Drinking water source: | total: 90.1% of population |
| unimproved: | urban: 7.7% of population |
| unimproved: | rural: 12.8% of population |
| unimproved: | total: 9.9% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.2% of population |
| Sanitation facility access: | rural: 95.1% of population |
| Sanitation facility access: | total: 95.7% of population |
| unimproved: | urban: 3.8% of population |
| unimproved: | rural: 4.9% of population |
| unimproved: | total: 4.3% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 500 (2003 est.) |
| HIV/AIDS - deaths: | fewer than 200 (2003 est.) |
| Obesity - adult prevalence rate: | 27.1% (2008) |
| Children under the age of 5 years underweight: | 10.1% (2009) |
| Education expenditures: | 5.1% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 84.1% |
| Literacy: | male: 90.3% |
| Literacy: | female: 77.7% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2011) |
| Child labor - children ages 5-14: | total number: 192,915 |
| Child labor - children ages 5-14: | percentage: 4 % (2006 est.) |
| Unemployment, youth ages 15-24: | total: 19.2% |
| Unemployment, youth ages 15-24: | male: 15.3% |
| Unemployment, youth ages 15-24: | female: 40.2% (2010) |
