| People and Society | COLOMBIA |
| --- | --- |
| Population: | 47,698,524 (July 2017 est.) |
| Nationality: | noun: Colombian(s) |
| Nationality: | adjective: Colombian |
| Ethnic groups: | mestizo and white 84.2%, Afro-Colombian (includes mulatto, Raizal, and Palenquero) 10.4%, Amerindian 3.4%, Romani <.01, unspecified 2.1% (2005 est.) |
| Languages: | Spanish (official) |
| Religions: | Roman Catholic 79%, Protestant 14% (includes Pentecostal 6%, mainline Protestant 2%, other 6%), other 2%, unspecified 5% (2014 est.) |
| Demographic profile: | Colombia is in the midst of a demographic transition resulting from steady declines in its fertility, mortality, and population growth rates. The birth rate has fallen from more than 6 children per woman in the 1960s to just above replacement level today as a result of increased literacy, family planning services, and urbanization. However, income inequality is among the worst in the world, and more than a third of the population lives below the poverty line. |
| Demographic profile: | Colombia experiences significant legal and illegal economic emigration and refugee outflows. Large-scale labor emigration dates to the 1960s; the United States and, until recently, Venezuela have been the main host countries. Emigration to Spain picked up in the 1990s because of its economic growth, but this flow has since diminished because of Spain’s ailing economy and high unemployment. Colombia has been the largest source of Latin American refugees in Latin America, nearly 400,000 of whom live primarily in Venezuela and Ecuador. Venezuela’s political and economic crisis since 2015, however, has created a reverse flow, consisting largely of Colombians returning home. |
| Demographic profile: | Forced displacement continues to be prevalent because of violence among guerrillas, paramilitary groups, and Colombian security forces. Afro-Colombian and indigenous populations are disproportionately affected. Even with the Colombian Government’s December 2016 peace agreement with the Revolutionary Armed Forces of Colombia (FARC), the risk of displacement remains as other rebel groups fill the void left by the FARC. Between 1985 and September 2017, nearly 7.6 million persons have been internally displaced, the highest total in the world. These estimates may undercount actual numbers because many internally displaced persons are not registered. Historically, Colombia also has one of the world’s highest levels of forced disappearances. About 30,000 cases have been recorded over the last four decades—although the number is likely to be much higher—including human rights activists, trade unionists, Afro-Colombians, indigenous people, and farmers in rural conflict zones. |
| Demographic profile: | Because of political violence and economic problems, Colombia received limited numbers of immigrants during the 19th and 20th centuries, mostly from the Middle East, Europe, and Japan. More recently, growth in the oil, mining, and manufacturing sectors has attracted increased labor migration; the primary source countries are Venezuela, the US, Mexico, and Argentina. Colombia has also become a transit area for illegal migrants from Africa, Asia, and the Caribbean who are en route to the US or Canada. |
| Age structure: | 0-14 years: 24.22% (male 5,917,425/female 5,634,516) |
| Age structure: | 15-24 years: 17.25% (male 4,191,033/female 4,038,314) |
| Age structure: | 25-54 years: 41.91% (male 9,918,698/female 10,071,419) |
| Age structure: | 55-64 years: 9.18% (male 2,059,712/female 2,318,320) |
| Age structure: | 65 years and over: 7.44% (male 1,480,966/female 2,068,121) (2017 est.) |
| Dependency ratios: | total dependency ratio: 45.6 |
| Dependency ratios: | youth dependency ratio: 35.4 |
| Dependency ratios: | elderly dependency ratio: 10.2 |
| Dependency ratios: | potential support ratio: 9.8 (2015 est.) |
| Median age: | total: 30 years |
| Median age: | male: 29 years |
| Median age: | female: 31 years (2017 est.) |
| Population growth rate: | 0.99% (2017 est.) |
| Birth rate: | 16.1 births/1,000 population (2017 est.) |
| Death rate: | 5.5 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.6 migrant(s)/1,000 population (2017 est.) |
